原路径,操作,字节数,SHA256,保留位置或说明
outputs/history/approval_before_final_zip_20260913/AI使用报告.md,删除重复副本,1590,d30929f89cf63e60e763371bec2aea1e4a152c6ba0edb9b43a57fad3751e8261,approval/AI使用报告.md
outputs/history/approval_before_final_zip_20260913/README.md,保留独有文件,2986,8affa81c73537fd7d38e8001b01c309eaa2a4ac29476c38600433178d42f1b39,outputs/history/approval_unique_20260913/approval_before_final_zip_20260913/README.md
outputs/history/approval_before_final_zip_20260913/approval_previous.tar.xz,删除已被最终ZIP替代的试压缩包/系统缓存,19909612,f33bf4da7f720cc76f026cc2240636441c7b3e4cd5d8d027890ffcb19cecba3c,docs/支撑材料.zip
outputs/history/approval_before_final_zip_20260913/approval_standard_32MB.zip,删除已被最终ZIP替代的试压缩包/系统缓存,32253872,d00a0c3a0876fb64d291b905f93aec3d0a4f8d636fa755e2ce5fa542db6f1c85,docs/支撑材料.zip
outputs/history/approval_before_final_zip_20260913/docs/1/final/第一问_MILP_边际价值强化版.md,删除重复副本,37219,a0c0186c626a145a9c7bd4479fdb1bf9b84fd60af284d5d28d9d12d216acec8b,docs/1/final/第一问_MILP_边际价值强化版.md
outputs/history/approval_before_final_zip_20260913/docs/2/dierwen1.md,删除重复副本,13981,f4313206fe4e7869bfdbc4f8d502749c63f794b3ea3471ccbcef2053950a3fa4,docs/2/dierwen1.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/Codex_问题二求解加速任务书.md,删除重复副本,17652,22215e59ed0d9a24fde455821ea20cdf5ba6bfe9fbe3a6d350146bff4042a562,docs/2/final/Codex_问题二求解加速任务书.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/Q2_Codex_最终模型修改任务书.md,删除重复副本,16409,20992d36ebb6caf5b135e6bc2bd264d6b66df7298a68dbf54e3ba3322f81b385,docs/2/final/Q2_Codex_最终模型修改任务书.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/求解精度执行修订_2pct.md,删除重复副本,4358,5af171ccb952dfc28932a8bb6ef06a521ed3bd06e0034ec485e8d4a0c67d68af,docs/2/final/求解精度执行修订_2pct.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/求解精度执行修订_3pct.md,删除重复副本,3340,53f0fcddf9dcfea1a0cfeaff535c8884092bd915a27e237af9dcaa5da2254025,docs/2/final/求解精度执行修订_3pct.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/第二问_最终建模思路_最高优先级修订版_修订后.md,删除重复副本,93119,bb9292abcaf2bd04dde4a4d1f1997ade582cbd0e81177d585bff8f0264b58b95,docs/2/final/第二问_最终建模思路_最高优先级修订版_修订后.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/第二问_最终建模思路_论文精简终版.md,删除重复副本,58444,b970d34a64d37f5392f75174e3519a3b5629cd2d058f0e43c1194c28fbd419de,docs/2/final/第二问_最终建模思路_论文精简终版.md
outputs/history/approval_before_final_zip_20260913/docs/2/final/计算执行提速修订_延迟K1与基准复用.md,删除重复副本,5873,4b2bc254a8808f7223f746328f33d7eea4d82592a81ef6bf178c6fe8dd88707f,docs/2/final/计算执行提速修订_延迟K1与基准复用.md
outputs/history/approval_before_final_zip_20260913/docs/2/tail_reserve_work/run_guide.md,删除重复副本,1739,b01b76b7895236152ace08f002a0f4d778a6a1cc3c06e218ae00f8965d802492,docs/2/tail_reserve_work/run_guide.md
outputs/history/approval_before_final_zip_20260913/docs/3/Q3_第三问_最终建模_严格修订终稿_v4.md,删除重复副本,83319,c0cb96b81d0d92b36bcf42786f64545cafb91cf009665b7719c7b030934aa826,docs/3/Q3_第三问_最终建模_严格修订终稿_v4.md
outputs/history/approval_before_final_zip_20260913/docs/3/production_rescue/acceptance.json,删除重复副本,5483,7f44010d670f1bb5dc70c0b0f54dbc364592a42fd1574dea725473122168887d,docs/3/production_rescue/acceptance.json
