scenario,resource,base_limit,increment,increment_period_kwh,base_cost_yuan,relaxed_cost_yuan,saving_yuan,value_per_unit_day,unit,active_count,active_periods,economic_bottleneck,global_gap
main_l95_pv95,storage_upper,10800.0,1.0,1.0,33042.51527274401,33041.86022718845,0.6550455555552617,0.6550455555552617,yuan/(kWh day),21,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l95_pv95,charge_power,5000,1.0,0.16666666666666666,33042.51527274401,33042.47315607734,0.04211666666378733,0.04211666666378733,yuan/(kW day),18,1;2;3;4;5;34;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l95_pv95,discharge_power,5000,1.0,0.16666666666666666,33042.51527274401,33042.51527274401,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l95_pv100,storage_upper,10800.0,1.0,1.0,31552.184280896938,31551.529235341382,0.6550455555552617,0.6550455555552617,yuan/(kWh day),20,34;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l95_pv100,charge_power,5000,1.0,0.16666666666666666,31552.184280896938,31552.151414230273,0.03286666666463134,0.03286666666463134,yuan/(kW day),16,1;2;3;4;5;34;72;73;75;76;132;133;135;136;138;141,1,0.0
main_l95_pv100,discharge_power,5000,1.0,0.16666666666666666,31552.184280896938,31552.184280896938,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l95_pv105,storage_upper,10800.0,1.0,1.0,30142.461986241095,30141.80616290776,0.6558233333344106,0.6558233333344106,yuan/(kWh day),20,89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l95_pv105,charge_power,5000,1.0,0.16666666666666666,30142.461986241095,30142.440252907763,0.021733333331212634,0.021733333331212634,yuan/(kW day),12,1;2;3;5;34;76;132;133;135;136;138;141,1,0.0
main_l95_pv105,discharge_power,5000,1.0,0.16666666666666666,30142.461986241095,30142.461986241095,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l100_pv95,storage_upper,10800.0,1.0,1.0,36697.187485855306,36696.53244029975,0.6550455555552617,0.6550455555552617,yuan/(kWh day),21,34;35;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l100_pv95,charge_power,5000,1.0,0.16666666666666666,36697.187485855306,36697.09541918864,0.09206666666432284,0.09206666666432284,yuan/(kW day),22,1;2;3;4;5;34;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l100_pv95,discharge_power,5000,1.0,0.16666666666666666,36697.187485855306,36697.187485855306,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l100_pv100,storage_upper,10800.0,1.0,1.0,35126.94858928963,35126.29354373407,0.6550455555552617,0.6550455555552617,yuan/(kWh day),21,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l100_pv100,storage_upper,10800.0,10.0,10.0,35126.94858928963,35120.398133734074,6.550455555552617,0.6550455555552617,yuan/(kWh day),21,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l100_pv100,storage_upper,10800.0,100.0,100.0,35126.94858928963,35061.44403373407,65.50455555555527,0.6550455555555527,yuan/(kWh day),21,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l100_pv100,charge_power,5000,1.0,0.16666666666666666,35126.94858928963,35126.892122622965,0.05646666666143574,0.05646666666143574,yuan/(kW day),19,1;2;3;4;5;34;67;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l100_pv100,charge_power,5000,10.0,1.6666666666666665,35126.94858928963,35126.38392262296,0.5646666666652891,0.05646666666652891,yuan/(kW day),19,1;2;3;4;5;34;67;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l100_pv100,charge_power,5000,100.0,16.666666666666664,35126.94858928963,35121.301922622966,5.646666666660167,0.05646666666660167,yuan/(kW day),19,1;2;3;4;5;34;67;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l100_pv100,discharge_power,5000,1.0,0.16666666666666666,35126.94858928963,35126.94858928963,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l100_pv100,discharge_power,5000,10.0,1.6666666666666665,35126.94858928963,35126.94858928963,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l100_pv100,discharge_power,5000,100.0,16.666666666666664,35126.94858928963,35126.94858928963,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l100_pv105,storage_upper,10800.0,1.0,1.0,33630.57996634062,33629.924920785066,0.6550455555552617,0.6550455555552617,yuan/(kWh day),20,34;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
main_l100_pv105,charge_power,5000,1.0,0.16666666666666666,33630.57996634062,33630.54709967395,0.03286666666826932,0.03286666666826932,yuan/(kW day),16,1;2;3;4;5;34;72;73;75;76;132;133;135;136;138;141,1,0.0
main_l100_pv105,discharge_power,5000,1.0,0.16666666666666666,33630.57996634062,33630.57996634062,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l105_pv95,storage_upper,10800.0,1.0,1.0,40580.22525385369,40579.45526163147,0.7699922222236637,0.7699922222236637,yuan/(kWh day),25,34;35;84;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,1,0.0
main_l105_pv95,charge_power,5000,1.0,0.16666666666666666,40580.22525385369,40580.01273718703,0.2125166666592122,0.2125166666592122,yuan/(kW day),23,1;2;3;4;5;34;66;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l105_pv95,discharge_power,5000,1.0,0.16666666666666666,40580.22525385369,40580.22525385369,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l105_pv100,storage_upper,10800.0,1.0,1.0,38834.16769585598,38833.35422363375,0.8134722222239361,0.8134722222239361,yuan/(kWh day),25,34;35;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,1,0.0
main_l105_pv100,charge_power,5000,1.0,0.16666666666666666,38834.16769585598,38834.07562918931,0.09206666666432284,0.09206666666432284,yuan/(kW day),22,1;2;3;4;5;34;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l105_pv100,discharge_power,5000,1.0,0.16666666666666666,38834.16769585598,38834.16769585598,0.0,0.0,yuan/(kW day),0,,0,0.0
main_l105_pv105,storage_upper,10800.0,1.0,1.0,37223.02717248745,37222.34332693189,0.6838455555553082,0.6838455555553082,yuan/(kWh day),25,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,1,0.0
main_l105_pv105,charge_power,5000,1.0,0.16666666666666666,37223.02717248745,37222.97070582078,0.056466666668711696,0.056466666668711696,yuan/(kW day),19,1;2;3;4;5;34;67;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
main_l105_pv105,discharge_power,5000,1.0,0.16666666666666666,37223.02717248745,37223.02717248745,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l95_pv95,storage_upper,10800.0,1.0,1.0,34470.11739721659,34469.5531239813,0.5642732352935127,0.5642732352935127,yuan/(kWh day),21,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta085_l95_pv95,charge_power,5000,1.0,0.16666666666666666,34470.11739721659,34470.05533054993,0.06206666666548699,0.06206666666548699,yuan/(kW day),20,1;2;3;4;5;34;67;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta085_l95_pv95,discharge_power,5000,1.0,0.16666666666666666,34470.11739721659,34470.11739721659,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l95_pv100,storage_upper,10800.0,1.0,1.0,32916.48925380279,32915.9249805675,0.5642732352935127,0.5642732352935127,yuan/(kWh day),21,34;35;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta085_l95_pv100,charge_power,5000,1.0,0.16666666666666666,32916.48925380279,32916.456387136124,0.03286666666826932,0.03286666666826932,yuan/(kW day),16,1;2;3;4;5;34;72;73;75;76;132;133;135;136;138;141,1,0.0
eta085_l95_pv100,discharge_power,5000,1.0,0.16666666666666666,32916.48925380279,32916.48925380279,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l95_pv105,storage_upper,10800.0,1.0,1.0,31464.88847756654,31464.323380801834,0.5650967647052312,0.5650967647052312,yuan/(kWh day),20,89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta085_l95_pv105,charge_power,5000,1.0,0.16666666666666666,31464.88847756654,31464.866744233204,0.021733333334850613,0.021733333334850613,yuan/(kW day),12,1;2;3;5;34;76;132;133;135;136;138;141,1,0.0
eta085_l95_pv105,discharge_power,5000,1.0,0.16666666666666666,31464.88847756654,31464.88847756654,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l100_pv95,storage_upper,10800.0,1.0,1.0,38271.91160882739,38271.32013559209,0.5914732352975989,0.5914732352975989,yuan/(kWh day),25,34;35;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,1,0.0
eta085_l100_pv95,charge_power,5000,1.0,0.16666666666666666,38271.91160882739,38271.72828066072,0.18332816666952567,0.18332816666952567,yuan/(kW day),23,1;2;3;4;5;34;66;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta085_l100_pv95,discharge_power,5000,1.0,0.16666666666666666,38271.91160882739,38271.91160882739,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l100_pv100,storage_upper,10800.0,1.0,1.0,36603.40648002707,36602.815006791774,0.5914732352975989,0.5914732352975989,yuan/(kWh day),25,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,1,0.0
eta085_l100_pv100,charge_power,5000,1.0,0.16666666666666666,36603.40648002707,36603.3207842354,0.08569579166942276,0.08569579166942276,yuan/(kW day),21,1;2;3;4;5;34;67;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta085_l100_pv100,discharge_power,5000,1.0,0.16666666666666666,36603.40648002707,36603.40648002707,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l100_pv105,storage_upper,10800.0,1.0,1.0,35038.047734416934,35037.45626118164,0.5914732352975989,0.5914732352975989,yuan/(kWh day),25,34;35;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112,1,0.0
eta085_l100_pv105,charge_power,5000,1.0,0.16666666666666666,35038.047734416934,35038.00561775026,0.042116666671063285,0.042116666671063285,yuan/(kW day),17,1;2;3;4;5;34;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta085_l100_pv105,discharge_power,5000,1.0,0.16666666666666666,35038.047734416934,35038.047734416934,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l105_pv95,storage_upper,10800.0,1.0,1.0,42257.956885181295,42257.321296946,0.6355882352945628,0.6355882352945628,yuan/(kWh day),26,34;35;84;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113,1,0.0
eta085_l105_pv95,charge_power,5000,1.0,0.16666666666666666,42257.956885181295,42257.676505514624,0.280379666670342,0.280379666670342,yuan/(kW day),24,1;2;3;4;5;34;66;67;68;69;70;71;72;73;74;75;76;77;132;133;135;136;138;141,1,0.0
eta085_l105_pv95,discharge_power,5000,1.0,0.16666666666666666,42257.956885181295,42257.956885181295,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l105_pv100,storage_upper,10800.0,1.0,1.0,40439.48730329731,40438.84256565025,0.6447376470605377,0.6447376470605377,yuan/(kWh day),26,34;35;86;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113,1,0.0
eta085_l105_pv100,charge_power,5000,1.0,0.16666666666666666,40439.48730329731,40439.27478663064,0.21251666667376412,0.21251666667376412,yuan/(kW day),23,1;2;3;4;5;34;66;67;68;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta085_l105_pv100,discharge_power,5000,1.0,0.16666666666666666,40439.48730329731,40439.48730329731,0.0,0.0,yuan/(kW day),0,,0,0.0
eta085_l105_pv105,storage_upper,10800.0,1.0,1.0,38744.64901113095,38743.952741719186,0.6962694117610226,0.6962694117610226,yuan/(kWh day),26,34;35;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113,1,0.0
eta085_l105_pv105,charge_power,5000,1.0,0.16666666666666666,38744.64901113095,38744.55994446428,0.08906666666734964,0.08906666666734964,yuan/(kW day),21,1;2;3;4;5;34;67;69;70;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta085_l105_pv105,discharge_power,5000,1.0,0.16666666666666666,38744.64901113095,38744.64901113095,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l95_pv95,storage_upper,10800.0,1.0,1.0,31711.23778619777,31710.496432250402,0.7413539473673154,0.7413539473673154,yuan/(kWh day),20,34;87;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l95_pv95,charge_power,5000,1.0,0.16666666666666666,31711.23778619777,31711.195669531102,0.042116666667425307,0.042116666667425307,yuan/(kW day),18,1;2;3;4;5;34;71;72;73;74;75;76;132;133;135;136;138;141,1,0.0
eta095_l95_pv95,discharge_power,5000,1.0,0.16666666666666666,31711.23778619777,31711.23778619777,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l95_pv100,storage_upper,10800.0,1.0,1.0,30274.71464025692,30273.97328630955,0.7413539473709534,0.7413539473709534,yuan/(kWh day),20,34;88;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
eta095_l95_pv100,charge_power,5000,1.0,0.16666666666666666,30274.71464025692,30274.68989025692,0.024750000000494765,0.024750000000494765,yuan/(kW day),13,1;2;3;4;5;34;76;132;133;135;136;138;141,1,0.0
eta095_l95_pv100,discharge_power,5000,1.0,0.16666666666666666,30274.71464025692,30274.71464025692,0.0,0.0,yuan/(kW day),0,,0,0.0
eta095_l95_pv105,storage_upper,10800.0,1.0,1.0,28908.851355285038,28908.10894870609,0.7424065789491578,0.7424065789491578,yuan/(kWh day),20,89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108,1,0.0
