scenario,efficiency_name,load_delta,pv_delta,eta_c,eta_d,roundtrip_efficiency,cost_yuan,grid_kwh,curtail_kwh,charge_kwh,discharge_kwh,load_kwh,pv_kwh,soc_min_kwh,soc_max_kwh,initial_kwh,terminal_kwh,loss_kwh,charge_weighted_price,discharge_weighted_price,pv_surplus_kwh,pv_surplus_absorbed_kwh,arbitrage_price_multiplier,E_min_active_count,E_max_active_count,charge_active_count,discharge_active_count,storage_upper_value,charge_power_value,discharge_power_value,mode_blocks_tendency_count,action_changed_periods,max_soc_change_from_main_kwh
main_l95_pv95,main,-0.05,-0.05,0.9,0.9,0.81,33042.515272744015,56609.89738176954,0.0,20236.96615843621,16391.942588333335,105473.56769499999,52708.69388333333,1200.0,10800.0,6000.0,6000.0,3845.023570102881,0.49056861414143954,1.1407245123450744,5935.564818333332,5935.564818333332,1.2345679012345678,8,21,18,0,0.6550455555552617,0.04211666666378733,0.0,21,2,473.9295972222244
main_l95_pv100,main,-0.05,0.0,0.9,0.9,0.81,31552.184280896938,53832.56760192386,0.0,20220.187229423864,16378.351655833332,105473.56769499999,55482.835666666666,1200.0,10800.0,6000.0,6000.0,3841.8355735905348,0.5147076221880916,1.1267087859573481,7731.5587816666675,7731.5587816666675,1.2345679012345678,8,20,16,0,0.6550455555552617,0.03286666666463134,0.0,21,5,810.4200296111158
main_l95_pv105,main,-0.05,0.05,0.9,0.9,0.81,30142.4619862411,50946.75285590534,0.0,19632.43479423868,15902.27218333333,105473.56769499999,58256.97745,1200.0,10800.0,6000.0,6000.0,3730.1626109053495,0.547368266590096,1.1310829714872683,9626.647395000002,9626.647395000002,1.2345679012345678,8,20,12,0,0.6558233333344106,0.021733333331212634,0.0,23,9,1565.0723565000044
main_l100_pv95,main,0.0,-0.05,0.9,0.9,0.81,36697.187485855306,62418.12221933127,0.0,21589.51580349794,17487.507800833333,111024.8081,52708.69388333333,1200.0,10800.0,6000.0,6000.0,4102.008002664609,0.475163825852344,1.131717754447858,4566.671933333331,4566.671933333331,1.2345679012345678,8,21,22,0,0.6550455555552617,0.09206666666432284,0.0,21,2,998.1601547407422
main_l100_pv100,main,0.0,0.0,0.9,0.9,0.81,35126.948589289634,59482.69899835391,0.0,20740.66613168725,16799.939566666668,111024.8081,55482.835666666666,1200.0,10800.0,6000.0,6000.0,3940.7265650205773,0.4929583907733867,1.1376015555805956,6247.962966666666,6247.962966666666,1.2345679012345678,8,21,19,0,0.6550455555552617,0.05646666666143574,0.0,21,0,0.0
main_l100_pv105,main,0.0,0.05,0.9,0.9,0.81,33630.57996634062,56711.75880806584,0.0,20757.516621399176,16813.58846333333,111024.8081,58256.97745,1200.0,10800.0,6000.0,6000.0,3943.9281580658435,0.516082539384366,1.1229642913406332,8041.639749166668,8041.639749166668,1.2345679012345678,8,20,16,0,0.6550455555552617,0.03286666666826932,0.0,21,3,654.2570907407408
main_l105_pv95,main,0.05,-0.05,0.9,0.9,0.81,40580.22525385369,68016.76944203704,0.0,21839.025370370367,17689.610549999998,116576.048505,52708.69388333333,1200.0,10800.0,6000.0,6000.0,4149.41482037037,0.46586664368038366,1.1441388056155888,3351.0007116666634,3351.0007116666634,1.2345679012345678,9,25,23,0,0.7699922222236637,0.2125166666592122,0.0,22,9,1253.23903674074
main_l105_pv100,main,0.05,0.0,0.9,0.9,0.81,38834.16769585597,65197.34555822016,0.0,21600.69852572016,17496.565805833336,116576.048505,55482.835666666666,1200.0,10800.0,6000.0,6000.0,4104.132719886831,0.47758295559726754,1.1380648417705843,4877.386121666665,4877.386121666665,1.2345679012345678,9,25,22,0,0.8134722222239361,0.09206666666432284,0.0,22,6,959.0214879907398
main_l105_pv105,main,0.05,0.05,0.9,0.9,0.81,37223.02717248745,62355.50061493827,0.0,21244.366104938275,17207.936544999997,116576.048505,58256.97745,1200.0,10800.0,6000.0,6000.0,4036.429559938272,0.49530510588989723,1.134036691877806,6560.361115,6560.361115,1.2345679012345678,8,25,19,0,0.6838455555553082,0.056466666668711696,0.0,21,1,448.2687879629641
eta085_l95_pv95,eta085,-0.05,-0.05,0.85,0.85,0.7224999999999999,34470.1173972166,58876.38117258363,0.0,22023.449949250295,15911.942588333332,105473.56769499999,52708.69388333333,1200.0,10800.0,6000.0,6000.0,6111.507360916957,0.48822026485500164,1.1372440929200465,5935.564818333332,5935.564818333332,1.384083044982699,8,21,20,0,0.5642732352935127,0.06206666666548699,0.0,11,2,420.22136749999936
eta085_l95_pv100,eta085,-0.05,0.0,0.85,0.85,0.7224999999999999,32916.4892538028,55882.21153886101,0.0,21230.55679469435,15339.077284166668,105473.56769499999,55482.835666666666,1200.0,10800.0,6000.0,6000.0,5891.479510527683,0.5110382999151812,1.1429286504003429,7731.5587816666675,7731.5587816666675,1.384083044982699,8,21,16,0,0.5642732352935127,0.03286666666826932,0.0,11,4,877.4184669602423
eta085_l95_pv105,eta085,-0.05,0.05,0.85,0.85,0.7224999999999999,31464.888477566543,52926.10248005189,0.0,20574.818865051904,14865.30663,105473.56769499999,58256.97745,1200.0,10800.0,6000.0,6000.0,5709.512235051905,0.5418154312251913,1.1480385680198602,9626.647395000002,9626.647395000002,1.384083044982699,8,20,12,0,0.5650967647052312,0.021733333334850613,0.0,13,8,1281.202257217593
eta085_l100_pv95,eta085,0.0,-0.05,0.85,0.85,0.7224999999999999,38271.91160882739,64593.62594542632,0.0,22621.663887422146,16344.152158662495,111024.8081,52708.69388333333,1200.0,10800.0,6000.0,6000.0,6277.511728759646,0.4745093784137923,1.1436404591220313,4566.671933333331,4566.671933333331,1.384083044982699,8,25,23,0,0.5914732352975989,0.18332816666952567,0.0,13,4,836.5834734166656
eta085_l100_pv100,eta085,0.0,0.0,0.85,0.85,0.7224999999999999,36603.40648002707,61728.97512460496,0.0,22295.505193771623,16108.502502499998,111024.8081,55482.835666666666,1200.0,10800.0,6000.0,6000.0,6187.002691271627,0.49068551337736277,1.1392105196174125,6247.962966666666,6247.962966666666,1.384083044982699,8,25,21,0,0.5914732352975989,0.08569579166942276,0.0,13,1,511.5097047930285
eta085_l100_pv105,eta085,0.0,0.05,0.85,0.85,0.7224999999999999,35038.047734416934,58815.12489243944,0.0,21792.05132410611,15744.757081666667,111024.8081,58256.97745,1200.0,10800.0,6000.0,6000.0,6047.294242439447,0.5125340593499176,1.1388024743705243,8041.639749166668,8041.639749166668,1.384083044982699,8,25,17,0,0.5914732352975989,0.042116666671063285,0.0,13,3,511.49886557734135
eta085_l105_pv95,eta085,0.05,-0.05,0.85,0.85,0.7224999999999999,42257.956885181295,70203.96301019528,0.0,22834.624823526523,16498.016434997917,116576.048505,52708.69388333333,1200.0,10800.0,6000.0,6000.0,6336.608388528612,0.4666658789364889,1.1543027092436948,3351.0007116666634,3351.0007116666634,1.384083044982699,8,26,24,0,0.6355882352945628,0.280379666670342,0.0,18,14,1072.2529697192304
eta085_l105_pv100,eta085,0.05,0.0,0.85,0.85,0.7224999999999999,40439.487303297305,67444.62738659457,0.0,22887.98035409458,16536.565805833332,116576.048505,55482.835666666666,1200.0,10800.0,6000.0,6000.0,6351.414548261247,0.477452771870109,1.1440531986950664,4877.386121666665,4877.386121666665,1.384083044982699,9,26,23,0,0.6447376470605377,0.21251666667376412,0.0,18,8,991.9206128657399
eta085_l105_pv105,eta085,0.05,0.05,0.85,0.85,0.7224999999999999,38744.64901113095,64624.04637066609,0.0,22720.631768166095,16415.6564525,116576.048505,58256.97745,1200.0,10800.0,6000.0,6000.0,6304.975315666092,0.4932194197593154,1.1377323510042707,6560.361115,6560.361115,1.384083044982699,9,26,21,0,0.6962694117610226,0.08906666666734964,0.0,17,5,904.3350185185191
eta095_l95_pv95,eta095,-0.05,-0.05,0.95,0.95,0.9025,31711.237786197773,54648.27410350877,0.0,19316.92607017544,17433.525778333336,105473.56769499999,52708.69388333333,1200.0,10800.0,6000.0,6000.0,1883.4002918421052,0.49278916766836134,1.1255049568721742,5935.564818333332,5935.564818333332,1.10803324099723,8,20,18,0,0.7413539473673154,0.042116666667425307,0.0,22,4,947.859194444447
eta095_l95_pv100,eta095,-0.05,0.0,0.95,0.95,0.9025,30274.71464025692,51811.99439558401,0.0,18679.614023084025,16858.351655833332,105473.56769499999,55482.835666666666,1200.0,10800.0,6000.0,6000.0,1821.2623672506923,0.5210112036897401,1.1303540486857009,7731.5587816666675,7731.5587816666675,1.10803324099723,8,20,13,0,0.7413539473709534,0.024750000000494765,0.0,22,6,1348.289933553122
eta095_l95_pv105,eta095,-0.05,0.05,0.95,0.95,0.9025,28908.851355285038,48986.420203864254,0.0,18152.1021421976,16382.27218333333,105473.56769499999,58256.97745,1200.0,10800.0,6000.0,6000.0,1769.8299588642658,0.557226402184232,1.1347057638868778,9626.647395000002,9626.647395000002,1.10803324099723,8,20,10,0,0.7424065789491578,0.021466666665219236,0.0,24,10,2458.051832153513
