t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,G_kwh,C_kwh,D_kwh,E_kwh,W_kwh,u,E_start_kwh,soc_fraction,cost_yuan
1,2,00:10:00,00:00-00:10,0,10,0.4248,3439.8466,0.0,573.3077666666666,0.0,1406.6410999999996,833.333333333333,0.0,6708.333333333333,0.0,1.0,6000.0,0.5590277777777778,597.5411392799998
2,3,00:20:00,00:10-00:20,10,20,0.4245,3437.9792,0.0,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,7416.666666666666,0.0,1.0,6708.333333333333,0.6180555555555555,596.9870283999999
3,4,00:30:00,00:20-00:30,20,30,0.4269,3444.3031,0.0,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,8125.0,0.0,1.0,7416.666666666666,0.6770833333333334,600.812165565
4,5,00:40:00,00:30-00:40,30,40,0.4272,3454.4437,0.0,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,8833.333333333332,0.0,1.0,8125.0,0.736111111111111,601.9563914400001
5,6,00:50:00,00:40-00:50,40,50,0.4271,3458.8273,0.0,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,9541.666666666666,0.0,1.0,8833.333333333332,0.7951388888888888,602.127523305
6,7,01:00:00,00:50-01:00,50,60,0.4285,3459.8401,0.0,576.6400166666666,0.0,576.6400166666666,0.0,0.0,9541.666666666666,0.0,-0.0,9541.666666666666,0.7951388888888888,247.09024714166665
7,8,01:10:00,01:00-01:10,60,70,0.4311,3467.1582,0.0,577.8597,0.0,577.8597,0.0,0.0,9541.666666666666,0.0,0.0,9541.666666666666,0.7951388888888888,249.11531666999997
8,9,01:20:00,01:10-01:20,70,80,0.4302,3467.9632,0.0,577.9938666666667,0.0,577.9938666666667,0.0,0.0,9541.666666666666,0.0,-0.0,9541.666666666666,0.7951388888888888,248.65296144
9,10,01:30:00,01:20-01:30,80,90,0.4279,3466.9683,0.0,577.82805,0.0,1224.8868735294118,647.0588235294118,0.0,10091.666666666666,0.0,1.0,9541.666666666666,0.8409722222222221,524.1290931832353
10,11,01:40:00,01:30-01:40,90,100,0.4312,3482.4927,0.0,580.41545,0.0,580.41545,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,250.27514204
11,12,01:50:00,01:40-01:50,100,110,0.4333,3495.0841,0.0,582.5140166666666,0.0,582.5140166666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,252.40332342166667
12,13,02:00:00,01:50-02:00,110,120,0.4311,3498.4443,0.0,583.0740499999999,0.0,583.0740499999999,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,251.36322295499997
13,14,02:10:00,02:00-02:10,120,130,0.4293,3505.2295,0.0,584.2049166666666,0.0,584.2049166666666,0.0,0.0,10091.666666666666,0.0,-0.0,10091.666666666666,0.8409722222222221,250.79917072499998
14,15,02:20:00,02:10-02:20,130,140,0.4324,3512.6387,0.0,585.4397833333333,0.0,585.4397833333333,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,253.1441623133333
15,16,02:30:00,02:20-02:30,140,150,0.4367,3516.8685,0.0,586.1447499999999,0.0,586.1447499999999,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,255.96941232499995
16,17,02:40:00,02:30-02:40,150,160,0.4348,3517.9246,0.0,586.3207666666666,0.0,586.3207666666666,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,254.93226934666666
17,18,02:50:00,02:40-02:50,160,170,0.4335,3518.5518,0.0,586.4253,0.0,586.4253,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,254.21536755
18,19,03:00:00,02:50-03:00,170,180,0.4357,3521.0976,0.0,586.8496,0.0,586.8496,0.0,0.0,10091.666666666666,0.0,0.0,10091.666666666666,0.8409722222222221,255.69037072
