scenario,t,interval,price_yuan_per_kwh,mu_yuan_per_kwh,lambda_yuan_per_kwh,charge_threshold,discharge_threshold,charge_gain,discharge_gain,tendency,actual_action,fixed_u,mode_blocks_tendency,E_min_active,E_max_active,charge_max_active,discharge_max_active
main_l95_pv95,1,00:00-00:10,0.4248,0.4248,0.47544444444444445,0.4279,0.5282716049382716,0.0030999999999999917,-0.10347160493827162,charge,charge,1,0,0,0,1,0
main_l95_pv95,2,00:10-00:20,0.4245,0.4245,0.47544444444444445,0.4279,0.5282716049382716,0.003400000000000014,-0.10377160493827164,charge,charge,1,0,0,0,1,0
main_l95_pv95,3,00:20-00:30,0.4269,0.4269,0.47544444444444445,0.4279,0.5282716049382716,0.0010000000000000009,-0.10137160493827163,charge,charge,1,0,0,0,1,0
main_l95_pv95,4,00:30-00:40,0.4272,0.4272,0.47544444444444445,0.4279,0.5282716049382716,0.0006999999999999784,-0.10107160493827161,charge,charge,1,0,0,0,1,0
main_l95_pv95,5,00:40-00:50,0.4271,0.4271,0.47544444444444445,0.4279,0.5282716049382716,0.0008000000000000229,-0.10117160493827165,charge,charge,1,0,0,0,1,0
main_l95_pv95,6,00:50-01:00,0.4285,0.4285,0.47544444444444445,0.4279,0.5282716049382716,-0.0005999999999999894,-0.09977160493827164,idle_band,idle,0,0,0,0,0,0
main_l95_pv95,7,01:00-01:10,0.4311,0.4311,0.47544444444444445,0.4279,0.5282716049382716,-0.0031999999999999806,-0.09717160493827165,idle_band,idle,0,0,0,0,0,0
main_l95_pv95,8,01:10-01:20,0.4302,0.4302,0.47544444444444445,0.4279,0.5282716049382716,-0.0023000000000000242,-0.0980716049382716,idle_band,idle,0,0,0,0,0,0
main_l95_pv95,9,01:20-01:30,0.4279,0.4279,0.47544444444444445,0.4279,0.5282716049382716,0.0,-0.10037160493827163,indifferent_boundary,charge,1,0,0,0,0,0
main_l95_pv95,10,01:30-01:40,0.4312,0.4312,0.47544444444444445,0.4279,0.5282716049382716,-0.003300000000000025,-0.0970716049382716,idle_band,idle,0,0,0,0,0,0
