scenario,t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,G,C,D,E,W,u
main_l95_pv95,1,2,00:10:00,00:00-00:10,0,10,0.4248,3267.85427,0.0,544.6423783333332,0.0,1377.9757116666665,833.3333333333333,0.0,6750.0,0.0,1.0
main_l95_pv95,2,3,00:20:00,00:10-00:20,10,20,0.4245,3266.0802400000002,0.0,544.3467066666666,0.0,1377.6800399999997,833.3333333333333,0.0,7500.0,0.0,1.0
main_l95_pv95,3,4,00:30:00,00:20-00:30,20,30,0.4269,3272.0879449999998,0.0,545.3479908333334,0.0,1378.6813241666666,833.3333333333333,0.0,8250.0,0.0,1.0
main_l95_pv95,4,5,00:40:00,00:30-00:40,30,40,0.4272,3281.7215149999997,0.0,546.9535858333332,0.0,1380.2869191666664,833.3333333333333,0.0,9000.0,0.0,1.0
main_l95_pv95,5,6,00:50:00,00:40-00:50,40,50,0.4271,3285.885935,0.0,547.6476558333333,0.0,1380.9809891666664,833.3333333333333,0.0,9750.0,0.0,1.0
main_l95_pv95,6,7,01:00:00,00:50-01:00,50,60,0.4285,3286.848095,0.0,547.8080158333332,0.0,547.8080158333332,0.0,0.0,9750.0,0.0,-0.0
main_l95_pv95,7,8,01:10:00,01:00-01:10,60,70,0.4311,3293.8002899999997,0.0,548.9667149999999,0.0,548.9667149999999,0.0,0.0,9750.0,0.0,0.0
main_l95_pv95,8,9,01:20:00,01:10-01:20,70,80,0.4302,3294.56504,0.0,549.0941733333333,0.0,549.0941733333333,0.0,0.0,9750.0,0.0,0.0
main_l95_pv95,9,10,01:30:00,01:20-01:30,80,90,0.4279,3293.619885,0.0,548.9366474999999,0.0,882.2699808333332,333.3333333333333,0.0,10050.0,0.0,0.9999999999999969
main_l95_pv95,10,11,01:40:00,01:30-01:40,90,100,0.4312,3308.3680649999997,0.0,551.3946775,0.0,551.3946775,0.0,0.0,10050.0,0.0,3.0531133177191915e-15
main_l95_pv95,11,12,01:50:00,01:40-01:50,100,110,0.4333,3320.329895,0.0,553.3883158333333,0.0,553.3883158333333,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,12,13,02:00:00,01:50-02:00,110,120,0.4311,3323.522085,0.0,553.9203474999999,0.0,553.9203474999999,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,13,14,02:10:00,02:00-02:10,120,130,0.4293,3329.9680249999997,0.0,554.9946708333332,0.0,554.9946708333332,0.0,0.0,10050.0,0.0,-0.0
main_l95_pv95,14,15,02:20:00,02:10-02:20,130,140,0.4324,3337.0067649999996,0.0,556.1677941666666,0.0,556.1677941666666,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,15,16,02:30:00,02:20-02:30,140,150,0.4367,3341.025075,0.0,556.8375124999999,0.0,556.8375124999999,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,16,17,02:40:00,02:30-02:40,150,160,0.4348,3342.0283699999995,0.0,557.0047283333332,0.0,557.0047283333332,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,17,18,02:50:00,02:40-02:50,160,170,0.4335,3342.62421,0.0,557.104035,0.0,557.104035,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,18,19,03:00:00,02:50-03:00,170,180,0.4357,3345.04272,0.0,557.50712,0.0,557.50712,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,19,20,03:10:00,03:00-03:10,180,190,0.4374,3350.579795,0.0,558.4299658333333,0.0,558.4299658333333,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,20,21,03:20:00,03:10-03:20,190,200,0.4371,3360.42113,0.0,560.0701883333332,0.0,560.0701883333332,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,21,22,03:30:00,03:20-03:30,200,210,0.4356,3367.63676,0.0,561.2727933333333,0.0,561.2727933333333,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,22,23,03:40:00,03:30-03:40,210,220,0.4353,3364.2147649999997,0.0,560.7024608333332,0.0,560.7024608333332,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,23,24,03:50:00,03:40-03:50,220,230,0.436,3369.0777199999998,0.0,561.5129533333333,0.0,561.5129533333333,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,24,25,04:00:00,03:50-04:00,230,240,0.4378,3382.19665,0.0,563.6994416666665,0.0,563.6994416666665,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,25,26,04:10:00,04:00-04:10,240,250,0.4401,3383.8601949999997,0.0,563.9766991666667,0.0,563.9766991666667,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,26,27,04:20:00,04:10-04:20,250,260,0.4389,3378.882385,0.0,563.1470641666666,0.0,563.1470641666666,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,27,28,04:30:00,04:20-04:30,260,270,0.4364,3382.02584,0.0,563.6709733333332,0.0,563.6709733333332,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,28,29,04:40:00,04:30-04:40,270,280,0.4393,3401.6213,0.56943,566.9368833333333,0.094905,566.8419783333333,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,29,30,04:50:00,04:40-04:50,280,290,0.4422,3407.5702,0.22277499999999997,567.9283666666666,0.037129166666666664,567.8912375,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,30,31,05:00:00,04:50-05:00,290,300,0.4395,3392.700325,0.27407499999999996,565.4500541666665,0.04567916666666666,565.4043749999998,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,31,32,05:10:00,05:00-05:10,300,310,0.4333,3384.201245,17.744195,564.0335408333333,2.9573658333333332,561.0761749999999,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,32,33,05:20:00,05:10-05:20,310,320,0.4439,3411.811855,51.746309999999994,568.6353091666666,8.624384999999998,560.0109241666667,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,33,34,05:30:00,05:20-05:30,320,330,0.4301,3400.7192749999995,103.52320999999999,566.7865458333332,17.25386833333333,549.5326774999999,0.0,0.0,10050.0,0.0,0.0
main_l95_pv95,34,35,05:40:00,05:30-05:40,330,340,0.3713,3311.81305,174.952285,551.9688416666665,29.158714166666666,1356.1434608333332,833.3333333333333,0.0,10800.0,0.0,1.0
main_l95_pv95,35,36,05:50:00,05:40-05:50,340,350,0.5708,3632.70443,263.20529,605.4507383333332,43.86754833333333,561.5831899999998,0.0,-0.0,10800.0,0.0,0.0
main_l95_pv95,36,37,06:00:00,05:50-06:00,350,360,0.9099,4178.169064999999,369.12192999999996,696.3615108333332,61.52032166666665,0.0,0.0,634.8411891666666,10094.620900925926,0.0,0.0
main_l95_pv95,37,38,06:10:00,06:00-06:10,360,370,0.9368,4231.311685,495.21628499999997,705.2186141666666,82.5360475,0.0,0.0,622.6825666666666,9402.751382407407,0.0,0.0
main_l95_pv95,38,39,06:20:00,06:10-06:20,370,380,0.8758,4153.202305,639.1293149999999,692.2003841666666,106.5215525,0.0,0.0,585.6788316666666,8751.997125,0.0,0.0
main_l95_pv95,39,40,06:30:00,06:20-06:30,380,390,0.8759,4173.3053500000005,802.0147949999999,695.5508916666668,133.66913249999996,0.0,0.0,561.8817591666668,8127.684059259259,0.0,0.0
main_l95_pv95,40,41,06:40:00,06:30-06:40,390,400,0.8601,4165.365819999999,987.69068,694.2276366666665,164.6151133333333,0.0,0.0,529.6125233333332,7539.2257,0.0,0.0
main_l95_pv95,41,42,06:50:00,06:40-06:50,400,410,0.8442,4213.036915,1196.370625,702.1728191666666,199.39510416666667,0.0,0.0,502.77771499999994,6980.583794444445,0.0,0.0
main_l95_pv95,42,43,07:00:00,06:50-07:00,410,420,0.8334,4297.283295,1433.20021,716.2138825,238.86670166666667,0.0,0.0,477.34718083333325,6450.198037962963,0.0,0.0
main_l95_pv95,43,44,07:10:00,07:00-07:10,420,430,0.8092,4297.868495,1701.8401649999998,716.3114158333333,283.6400275,0.0,0.0,432.6713883333333,5969.452050925926,0.0,0.0
