group,slot,mean_kw,std_kw,n,grouping,series
1,1,3339.500725806452,486.61654335583444,31,month,load_kw
1,2,3372.0385483870969,460.16584065342789,31,month,load_kw
1,3,3404.5445161290322,425.5975502814735,31,month,load_kw
1,4,3395.5566483870966,421.21522854268443,31,month,load_kw
1,5,3405.4471419354836,456.11118623124253,31,month,load_kw
1,6,3468.9793548387097,487.7696225742605,31,month,load_kw
1,7,3554.164858064516,468.16206859606842,31,month,load_kw
1,8,3572.506170967742,482.38156133593401,31,month,load_kw
1,9,3540.7083870967745,504.57572893865836,31,month,load_kw
1,10,3559.5494806451611,442.48608417653122,31,month,load_kw
1,11,3593.034470967742,408.27570892702903,31,month,load_kw
1,12,3615.1416129032259,453.57411240866901,31,month,load_kw
1,13,3640.9408516129033,472.75910658623582,31,month,load_kw
1,14,3668.100383870968,482.8151920300956,31,month,load_kw
1,15,3692.1158064516126,468.84615222035035,31,month,load_kw
1,16,3714.703951612903,448.80394820670409,31,month,load_kw
1,17,3750.1000032258062,445.00835821107194,31,month,load_kw
1,18,3777.9503225806452,433.63679207745491,31,month,load_kw
1,19,3769.7616903225808,392.97127905920496,31,month,load_kw
1,20,3808.3693258064513,412.56026363864146,31,month,load_kw
1,21,3848.5874193548389,470.79959802423889,31,month,load_kw
1,22,3773.3286322580648,466.57382242589466,31,month,load_kw
1,23,3790.7694290322579,456.24881034466574,31,month,load_kw
1,24,3914.5899999999997,456.79656655890051,31,month,load_kw
1,25,3939.5795645161288,435.03279023713958,31,month,load_kw
1,26,3895.0974645161291,457.0819466577575,31,month,load_kw
1,27,3872.5512903225804,500.64233382553618,31,month,load_kw
1,28,3925.208277419355,448.52658358056169,31,month,load_kw
1,29,3957.3674064516126,422.39009392640509,31,month,load_kw
1,30,3950.2061290322581,438.04007221316641,31,month,load_kw
1,31,3978.9434225806453,450.02690719618585,31,month,load_kw
1,32,4035.535177419355,473.62813526426527,31,month,load_kw
1,33,4023.1687096774194,437.38619283757265,31,month,load_kw
1,34,3921.6179032258065,350.62237266345159,31,month,load_kw
1,35,4247.1083580645163,597.61375339870972,31,month,load_kw
1,36,4816.0232258064516,1006.130469797985,31,month,load_kw
1,37,4888.3434903225807,990.34638520779743,31,month,load_kw
1,38,4819.7317483870966,925.8791272843356,31,month,load_kw
1,39,4851.6438709677413,995.17952317049276,31,month,load_kw
1,40,4866.552303225807,1003.0286665232522,31,month,load_kw
1,41,4897.1252903225804,888.80886103449575,31,month,load_kw
1,42,4948.1325806451605,739.98430278832143,31,month,load_kw
1,43,4979.4541193548384,711.50858089510177,31,month,load_kw
1,44,5042.0392838709686,755.68826955942632,31,month,load_kw
1,45,5014.1667741935489,739.62563418433558,31,month,load_kw
1,46,4829.902348387096,632.56740252866814,31,month,load_kw
1,47,5367.9302548387095,986.43796753456411,31,month,load_kw
1,48,6304.0151612903228,1595.3969732303221,31,month,load_kw
1,49,6362.9485709677419,1621.4062794449785,31,month,load_kw
1,50,6198.8431806451617,1533.4122792735818,31,month,load_kw
1,51,6242.6387096774188,1605.931121486311,31,month,load_kw
1,52,6272.8697032258069,1605.1414265244789,31,month,load_kw
1,53,6337.9370516129038,1456.2065312828609,31,month,load_kw
