scope,series,form,month,n,mean_kw,std_kw
full_year,load_kw,raw,1,4464,4725.773469153226,1450.6107308222734
full_year,load_kw,raw,2,4032,4516.8965253224205,1423.0470318347484
full_year,load_kw,raw,3,4464,4355.6989954077062,1381.3410490839542
full_year,load_kw,raw,4,4320,4392.9767990509254,1373.5105681386594
full_year,load_kw,raw,5,4464,4401.6777526881715,1355.5844607840438
full_year,load_kw,raw,6,4320,4800.3726294444441,1338.7901537375553
full_year,load_kw,raw,7,4464,5337.2586560707887,1335.1379770520139
full_year,load_kw,raw,8,4464,5045.1770503360212,1341.1164202634368
full_year,load_kw,raw,9,4320,4535.9104328240746,1348.907637110035
full_year,load_kw,raw,10,4464,4347.019491330645,1376.9306100720466
full_year,load_kw,raw,11,4320,4337.6713466898145,1382.4021446131762
full_year,load_kw,raw,12,4464,4691.3058961917559,1437.4360465118646
full_year,load_kw,diff144,1,4320,-65.66143388888888,1154.1599215507877
full_year,load_kw,diff144,2,4032,-6.8821607638889137,1124.216418171038
full_year,load_kw,diff144,3,4464,56.035695788530454,1133.4895693188073
full_year,load_kw,diff144,4,4320,0.84335430555555058,1083.9713108646222
full_year,load_kw,diff144,5,4464,-57.6674034050179,1135.1845769609272
full_year,load_kw,diff144,6,4320,71.068038888888864,1178.6704556359966
full_year,load_kw,diff144,7,4464,15.42472195340501,1084.5120178883815
full_year,load_kw,diff144,8,4464,-5.4542390905017948,1202.3309657216059
full_year,load_kw,diff144,9,4320,-17.29014550925924,1094.843177262062
full_year,load_kw,diff144,10,4464,-66.085303808243722,1130.2084443145627
full_year,load_kw,diff144,11,4320,64.249785277777747,1152.919672047223
full_year,load_kw,diff144,12,4464,7.7726756048386703,1076.636898385251
full_year,load_kw,diff1008,1,3456,-16.56892335069444,178.13545566860961
full_year,load_kw,diff1008,2,4032,-52.099781646825399,176.89009981715159
full_year,load_kw,diff1008,3,4464,-30.646808400537633,178.18130003857462
full_year,load_kw,diff1008,4,4320,-2.6712808101851859,156.90674457426962
full_year,load_kw,diff1008,5,4464,25.079173207885301,207.47255235898987
full_year,load_kw,diff1008,6,4320,59.932309791666675,280.83614018158306
full_year,load_kw,diff1008,7,4464,112.05173613351258,367.02732354252942
full_year,load_kw,diff1008,8,4464,-37.785740972222222,228.47379276440705
full_year,load_kw,diff1008,9,4320,-130.2963900462963,321.00902761952159
full_year,load_kw,diff1008,10,4464,-30.862420564516132,180.26373856134174
full_year,load_kw,diff1008,11,4320,2.4863881018518468,156.57833707086581
full_year,load_kw,diff1008,12,4464,56.491163620071681,234.46339093998839
full_year,load_kw,diff144_then1008,1,3312,0.47208825483091299,251.42387794099992
full_year,load_kw,diff144_then1008,2,4032,-0.12987852182539661,232.21051104136345
full_year,load_kw,diff144_then1008,3,4464,0.090576724910396283,227.06297548904277
full_year,load_kw,diff144_then1008,4,4320,0.0025985416666656049,217.1281754761234
full_year,load_kw,diff144_then1008,5,4464,0.58084518369175642,262.07496059236917
full_year,load_kw,diff144_then1008,6,4320,-1.1500934259259263,305.70314019366009
full_year,load_kw,diff144_then1008,7,4464,-0.98837540322580575,367.52717276450534
full_year,load_kw,diff144_then1008,8,4464,-0.30081689068100376,318.83690994209906
full_year,load_kw,diff144_then1008,9,4320,1.9956740277777811,307.10263253047788
full_year,load_kw,diff144_then1008,10,4464,-0.16223552867383573,225.13029490091949
full_year,load_kw,diff144_then1008,11,4320,0.85093296296296184,218.83125626988991
full_year,load_kw,diff144_then1008,12,4464,-0.52259198028673803,259.78561951646464
full_year,pv_kw,raw,1,4464,1589.1838943548387,2247.2574858911917
full_year,pv_kw,raw,2,4032,1966.4803466517858,2656.1394506949373
full_year,pv_kw,raw,3,4464,2304.1967555331544,2932.6352820345946
full_year,pv_kw,raw,4,4320,2701.685689328704,3231.719491164758
full_year,pv_kw,raw,5,4464,2806.5023965501791,3203.9997492788871
full_year,pv_kw,raw,6,4320,2369.8265653009257,2662.6400300155965
full_year,pv_kw,raw,7,4464,2723.2542749999998,3095.8109531256091
full_year,pv_kw,raw,8,4464,2915.9930929883517,3428.2615294367884
full_year,pv_kw,raw,9,4320,2607.5995060879627,3251.3540511052156
full_year,pv_kw,raw,10,4464,2364.3130517697132,3143.0550096538977
full_year,pv_kw,raw,11,4320,1854.3763356018519,2592.0628246924302
full_year,pv_kw,raw,12,4464,1513.8368958781361,2168.5094379487023
full_year,pv_kw,diff144,1,4320,8.3258535648148175,237.44667344942317
full_year,pv_kw,diff144,2,4032,16.141246230158732,274.40942962866228
full_year,pv_kw,diff144,3,4464,10.795378673835126,384.90481864334595
full_year,pv_kw,diff144,4,4320,12.919097430555553,433.81999592877423
full_year,pv_kw,diff144,5,4464,-4.0818215725806439,440.03979486580766
full_year,pv_kw,diff144,6,4320,-14.33265893518519,471.77368637611829
full_year,pv_kw,diff144,7,4464,8.9498398521505411,418.9000837392266
full_year,pv_kw,diff144,8,4464,5.3634668010752709,413.17629098883509
full_year,pv_kw,diff144,9,4320,-15.589522847222222,405.6149544743306
full_year,pv_kw,diff144,10,4464,-10.281698028673837,321.34462246887352
full_year,pv_kw,diff144,11,4320,-14.000959236111109,234.13210401240309
full_year,pv_kw,diff144,12,4464,-3.5197905465949826,215.54493263761432
full_year,pv_kw,diff1008,1,3456,67.146453096064818,257.93121572847213
full_year,pv_kw,diff1008,2,4032,109.71716676587303,293.54490106280485
full_year,pv_kw,diff1008,3,4464,85.454308646953393,406.95299859308835
full_year,pv_kw,diff1008,4,4320,75.161501805555545,397.37635801347074
full_year,pv_kw,diff1008,5,4464,-6.9616980510752642,470.16142480508483
full_year,pv_kw,diff1008,6,4320,-108.21081395833333,566.55164485584487
full_year,pv_kw,diff1008,7,4464,62.946423655913975,484.49993160633932
full_year,pv_kw,diff1008,8,4464,27.783562679211485,485.92739923207199
full_year,pv_kw,diff1008,9,4320,-82.887366111111106,399.81907814914013
full_year,pv_kw,diff1008,10,4464,-61.653011088709661,391.09300070067508
full_year,pv_kw,diff1008,11,4320,-105.14217567129629,287.7982613366388
full_year,pv_kw,diff1008,12,4464,-43.506210080645161,226.07739847424313
full_year,pv_kw,diff144_then1008,1,3312,-2.1439961654589363,354.05242915679906
full_year,pv_kw,diff144_then1008,2,4032,1.6596726438492055,379.49068601510447
full_year,pv_kw,diff144_then1008,3,4464,-1.5499620967741907,529.00355679985478
