scope,series,form,lag,lag_days,n_pairs,pearson_r
full_year,load_kw,raw,1,0.0069444444444444441,52559,0.98703764865814148
full_year,load_kw,raw,6,0.041666666666666664,52554,0.9169087326781622
full_year,load_kw,raw,144,1,52416,0.6792228203357924
full_year,load_kw,raw,288,2,52272,0.36609210430993661
full_year,load_kw,raw,1008,7,51552,0.98548417315894976
full_year,load_kw,raw,2016,14,50544,0.97909037512535946
full_year,load_kw,daily_profile_residual,1,0.0069444444444444441,52559,0.98672091518858551
full_year,load_kw,daily_profile_residual,6,0.041666666666666664,52554,0.93833557510136123
full_year,load_kw,daily_profile_residual,144,1,52416,0.38471507983678427
full_year,load_kw,daily_profile_residual,288,2,52272,-0.21414820463983525
full_year,load_kw,daily_profile_residual,1008,7,51552,0.97217407558001878
full_year,load_kw,daily_profile_residual,2016,14,50544,0.95999961262856215
full_year,pv_kw,raw,1,0.0069444444444444441,52559,0.99797049289392903
full_year,pv_kw,raw,6,0.041666666666666664,52554,0.94307695800476055
full_year,pv_kw,raw,144,1,52416,0.99231393650193411
full_year,pv_kw,raw,288,2,52272,0.99194265307194729
full_year,pv_kw,raw,1008,7,51552,0.99033933541448271
full_year,pv_kw,raw,2016,14,50544,0.98654648823010826
full_year,pv_kw,daily_profile_residual,1,0.0069444444444444441,52559,0.99013234573136533
full_year,pv_kw,daily_profile_residual,6,0.041666666666666664,52554,0.88692131327565649
full_year,pv_kw,daily_profile_residual,144,1,52416,0.8770830488693846
full_year,pv_kw,daily_profile_residual,288,2,52272,0.87046357266607877
full_year,pv_kw,daily_profile_residual,1008,7,51552,0.84036281692471448
full_year,pv_kw,daily_profile_residual,2016,14,50544,0.76896846935130692
