scope,month,series,n,mean_kw,std_kw,daily_lag_r,weekly_lag_r,daily_pairs,weekly_pairs,mean_daily_amplitude_kw,mean_profile_amplitude_kw,cv
full_year,1,load_kw,4464,4725.773469153226,1450.6107308222734,0.6827292115085517,0.99245919697646456,4320,3456,3725.5313387096771,3379.9776387096772,0.30695731403354737
full_year,1,pv_kw,4464,1589.1838943548387,2247.2574858911917,0.99442949840409489,0.99398619463901161,4320,3456,6221.0342709677434,6083.4870967741936,1.414095306322942
full_year,1,net_load_kw,4464,3136.5895747983868,1767.0181087272076,0.76337309257100228,0.98453003202740408,4320,3456,6074.0855354838714,5589.241758064516,0.5633564948773343
full_year,2,load_kw,4032,4516.8965253224205,1423.0470318347484,0.67567075875919147,0.99365817901117492,3888,3024,3604.5296821428574,3236.79405,0.31504973024219762
full_year,2,pv_kw,4032,1966.4803466517858,2656.1394506949373,0.99458008882497007,0.99496799587892959,3888,3024,7260.721796428571,7027.8017142857143,1.3507073463599037
full_year,2,net_load_kw,4032,2550.416178670635,2071.7806572023283,0.8384212487271796,0.98735067665676346,3888,3024,7067.190167857143,6701.4503071428571,0.81233042455142046
full_year,3,load_kw,4464,4355.6989954077062,1381.3410490839542,0.65240697853394214,0.99365093689299844,4320,3456,3207.4434806451613,2875.4040161290322,0.31713418455690523
full_year,3,pv_kw,4464,2304.1967555331544,2932.6352820345946,0.99144966326785056,0.99204748181031754,4320,3456,8039.6566096774186,7764.9774193548383,1.2727364861496082
full_year,3,net_load_kw,4464,2051.5022398745514,2338.2047813171403,0.85852053422864638,0.98462807174386657,4320,3456,7888.1327967741918,7397.7313161290331,1.1397524876502794
full_year,4,load_kw,4320,4392.9767990509254,1373.5105681386594,0.67854892448138782,0.99353386654673015,4176,3312,3217.6989799999997,2862.650473333334,0.31266055592085024
full_year,4,pv_kw,4320,2701.685689328704,3231.719491164758,0.9910044585331852,0.99258962563536024,4176,3312,8769.7906533333335,8413.1025499999996,1.1961863306044875
full_year,4,net_load_kw,4320,1691.2911097222222,2563.1020454130157,0.88928383964526503,0.985925624080778,4176,3312,8004.4264199999989,7334.5802533333335,1.5154706547437478
full_year,5,load_kw,4464,4401.6777526881715,1355.5844607840438,0.63849240694425946,0.99052869504765151,4320,3456,3009.6827258064523,2513.6423387096775,0.3079699462224757
full_year,5,pv_kw,4464,2806.5023965501791,3203.9997492788871,0.9905742867324534,0.98983117040431479,4320,3456,8724.8064999999988,8304.6991935483875,1.1416344248333161
full_year,5,net_load_kw,4464,1595.1753561379926,2620.8854477084669,0.89433447408581035,0.982454493340713,4320,3456,8102.3097709677413,7456.1791129032263,1.6430077343056346
full_year,6,load_kw,4320,4800.3726294444441,1338.7901537375553,0.65411225376248905,0.98858949842249644,4176,3312,3254.3054066666664,2843.4569233333332,0.27889296458481305
full_year,6,pv_kw,4320,2369.8265653009257,2662.6400300155965,0.98537222303992755,0.9855761853552476,4176,3312,7449.2129633333334,6971.1912533333334,1.1235590270621718
full_year,6,net_load_kw,4320,2430.5460641435184,2210.7184833505107,0.86399382511257161,0.97428103439351721,4176,3312,7165.5882966666677,6379.1214033333326,0.90955629928763726
full_year,7,load_kw,4464,5337.2586560707887,1335.1379770520139,0.66423179086322715,0.98456447140554093,4320,3456,3457.1573290322581,3015.9566677419366,0.25015425766060262
full_year,7,pv_kw,4464,2723.2542749999998,3095.8109531256091,0.99099389371564517,0.99078350602821696,4320,3456,8517.3353806451632,8166.7648967741934,1.1368056892614662
full_year,7,net_load_kw,4464,2614.0043810707884,2616.4984881970754,0.90200484893704969,0.98278351175277434,4320,3456,8278.5761419354822,7691.9897838709676,1.0009541327261531
