slot,n,zero_points,zero_fraction
1,365,365,1
2,365,365,1
3,365,365,1
4,365,365,1
5,365,365,1
6,365,365,1
7,365,365,1
8,365,365,1
9,365,365,1
10,365,365,1
11,365,365,1
12,365,365,1
13,365,365,1
14,365,365,1
15,365,365,1
16,365,365,1
17,365,365,1
18,365,365,1
19,365,320,0.87671232876712324
20,365,354,0.96986301369863015
21,365,365,1
22,365,279,0.76438356164383559
23,365,314,0.86027397260273974
24,365,365,1
25,365,245,0.67123287671232879
26,365,281,0.76986301369863008
27,365,365,1
28,365,212,0.58082191780821912
29,365,245,0.67123287671232879
30,365,345,0.9452054794520548
31,365,157,0.43013698630136987
32,365,147,0.40273972602739727
33,365,246,0.67397260273972603
34,365,107,0.29315068493150687
35,365,114,0.31232876712328766
36,365,183,0.50136986301369868
37,365,74,0.20273972602739726
38,365,82,0.22465753424657534
39,365,119,0.32602739726027397
40,365,42,0.11506849315068493
41,365,43,0.11780821917808219
42,365,20,0.054794520547945202
43,365,0,0
44,365,0,0
45,365,0,0
46,365,0,0
47,365,0,0
48,365,0,0
49,365,0,0
50,365,0,0
51,365,0,0
52,365,0,0
53,365,0,0
54,365,0,0
55,365,0,0
56,365,0,0
57,365,0,0
58,365,0,0
59,365,0,0
60,365,0,0
61,365,0,0
62,365,0,0
63,365,0,0
64,365,0,0
65,365,0,0
66,365,0,0
67,365,0,0
68,365,0,0
69,365,0,0
70,365,0,0
71,365,0,0
72,365,0,0
73,365,0,0
74,365,0,0
75,365,0,0
76,365,0,0
77,365,0,0
78,365,0,0
79,365,0,0
80,365,0,0
81,365,0,0
82,365,0,0
83,365,0,0
84,365,0,0
85,365,0,0
86,365,0,0
87,365,0,0
88,365,0,0
89,365,0,0
90,365,0,0
91,365,0,0
92,365,0,0
93,365,0,0
94,365,0,0
95,365,0,0
96,365,0,0
97,365,0,0
98,365,0,0
99,365,0,0
100,365,0,0
101,365,0,0
102,365,20,0.054794520547945202
103,365,44,0.12054794520547946
104,365,44,0.12054794520547946
105,365,119,0.32602739726027397
106,365,78,0.21369863013698631
107,365,77,0.21095890410958903
108,365,183,0.50136986301369868
109,365,110,0.30136986301369861
110,365,108,0.29589041095890412
111,365,246,0.67397260273972603
112,365,145,0.39726027397260272
113,365,156,0.42739726027397262
114,365,345,0.9452054794520548
115,365,242,0.66301369863013704
116,365,213,0.58356164383561648
117,365,365,1
118,365,279,0.76438356164383559
119,365,246,0.67397260273972603
120,365,365,1
121,365,312,0.85479452054794525
122,365,278,0.76164383561643834
123,365,365,1
124,365,353,0.9671232876712329
125,365,318,0.87123287671232874
126,365,365,1
127,365,365,1
128,365,365,1
129,365,365,1
130,365,365,1
131,365,365,1
132,365,365,1
133,365,365,1
134,365,365,1
135,365,365,1
136,365,365,1
137,365,365,1
138,365,365,1
139,365,365,1
140,365,365,1
141,365,365,1
142,365,365,1
143,365,365,1
144,365,365,1
