scope,series,form,lag,lag_days,n_pairs,pearson_r
initial_history,load_kw,raw,1,0.0069444444444444441,4462,0.98778852865694744
initial_history,load_kw,raw,6,0.041666666666666664,4457,0.91776054612640834
initial_history,load_kw,raw,144,1,4319,0.68257804184388948
initial_history,load_kw,raw,288,2,4175,0.38982815210461808
initial_history,load_kw,raw,1008,7,3455,0.99245633082048301
initial_history,load_kw,raw,2016,14,2447,0.9929209573230724
initial_history,load_kw,daily_profile_residual,1,0.0069444444444444441,4462,0.98564246761669927
initial_history,load_kw,daily_profile_residual,6,0.041666666666666664,4457,0.93195792480463824
initial_history,load_kw,daily_profile_residual,144,1,4319,0.25159344586911564
initial_history,load_kw,daily_profile_residual,288,2,4175,-0.41233228172897818
initial_history,load_kw,daily_profile_residual,1008,7,3455,0.98253306121810857
initial_history,load_kw,daily_profile_residual,2016,14,2447,0.98370806195230309
initial_history,pv_kw,raw,1,0.0069444444444444441,4462,0.99768695490450088
initial_history,pv_kw,raw,6,0.041666666666666664,4457,0.92953978695696082
initial_history,pv_kw,raw,144,1,4319,0.99442885376997459
initial_history,pv_kw,raw,288,2,4175,0.99395021303517461
initial_history,pv_kw,raw,1008,7,3455,0.99398532849698318
initial_history,pv_kw,raw,2016,14,2447,0.99392691974812819
initial_history,pv_kw,daily_profile_residual,1,0.0069444444444444441,4462,0.96084605159674108
initial_history,pv_kw,daily_profile_residual,6,0.041666666666666664,4457,0.71158586130065149
initial_history,pv_kw,daily_profile_residual,144,1,4319,0.33163244399307312
initial_history,pv_kw,daily_profile_residual,288,2,4175,0.24664283565163217
initial_history,pv_kw,daily_profile_residual,1008,7,3455,0.089656401666095842
initial_history,pv_kw,daily_profile_residual,2016,14,2447,-0.15600615109439953
