材料路径,项目来源,内容与用途,字节数,SHA256
AI使用报告.md,整理自：本次整理生成,AI使用说明、参考文献与运行说明,1590,d30929f89cf63e60e763371bec2aea1e4a152c6ba0edb9b43a57fad3751e8261
README.md,outputs/history/approval_full_20260913_192745/README.md,实验/导出必需文件，原样保留,2986,8affa81c73537fd7d38e8001b01c309eaa2a4ac29476c38600433178d42f1b39
docs/1/final/第一问_MILP_边际价值强化版.md,docs/1/final/第一问_MILP_边际价值强化版.md,原始附件、结果模板及程序读取的模型文件,37219,a0c0186c626a145a9c7bd4479fdb1bf9b84fd60af284d5d28d9d12d216acec8b
docs/2/dierwen1.md,docs/2/dierwen1.md,原始附件、结果模板及程序读取的模型文件,13981,f4313206fe4e7869bfdbc4f8d502749c63f794b3ea3471ccbcef2053950a3fa4
docs/2/final/Codex_问题二求解加速任务书.md,docs/2/final/Codex_问题二求解加速任务书.md,原始附件、结果模板及程序读取的模型文件,17652,22215e59ed0d9a24fde455821ea20cdf5ba6bfe9fbe3a6d350146bff4042a562
docs/2/final/Q2_Codex_最终模型修改任务书.md,docs/2/final/Q2_Codex_最终模型修改任务书.md,原始附件、结果模板及程序读取的模型文件,16409,20992d36ebb6caf5b135e6bc2bd264d6b66df7298a68dbf54e3ba3322f81b385
docs/2/final/求解精度执行修订_2pct.md,docs/2/final/求解精度执行修订_2pct.md,原始附件、结果模板及程序读取的模型文件,4358,5af171ccb952dfc28932a8bb6ef06a521ed3bd06e0034ec485e8d4a0c67d68af
docs/2/final/求解精度执行修订_3pct.md,docs/2/final/求解精度执行修订_3pct.md,原始附件、结果模板及程序读取的模型文件,3340,53f0fcddf9dcfea1a0cfeaff535c8884092bd915a27e237af9dcaa5da2254025
docs/2/final/第二问_最终建模思路_最高优先级修订版_修订后.md,docs/2/final/第二问_最终建模思路_最高优先级修订版_修订后.md,原始附件、结果模板及程序读取的模型文件,93119,bb9292abcaf2bd04dde4a4d1f1997ade582cbd0e81177d585bff8f0264b58b95
docs/2/final/第二问_最终建模思路_论文精简终版.md,docs/2/final/第二问_最终建模思路_论文精简终版.md,原始附件、结果模板及程序读取的模型文件,58444,b970d34a64d37f5392f75174e3519a3b5629cd2d058f0e43c1194c28fbd419de
docs/2/final/计算执行提速修订_延迟K1与基准复用.md,docs/2/final/计算执行提速修订_延迟K1与基准复用.md,原始附件、结果模板及程序读取的模型文件,5873,4b2bc254a8808f7223f746328f33d7eea4d82592a81ef6bf178c6fe8dd88707f
docs/2/tail_reserve_work/run_guide.md,docs/2/tail_reserve_work/run_guide.md,必要的运行/实验说明与正式数值依据,1739,b01b76b7895236152ace08f002a0f4d778a6a1cc3c06e218ae00f8965d802492
docs/3/Q3_第三问_最终建模_严格修订终稿_v4.md,docs/3/Q3_第三问_最终建模_严格修订终稿_v4.md,原始附件、结果模板及程序读取的模型文件,83319,c0cb96b81d0d92b36bcf42786f64545cafb91cf009665b7719c7b030934aa826
docs/3/production_rescue/acceptance.json,docs/3/production_rescue/acceptance.json,必要的运行/实验说明与正式数值依据,5483,7f44010d670f1bb5dc70c0b0f54dbc364592a42fd1574dea725473122168887d
docs/4/Q4_问题四_严格因果波动电价_完整建模_最终修订版.md,docs/4/Q4_问题四_严格因果波动电价_完整建模_最终修订版.md,原始附件、结果模板及程序读取的模型文件,35959,3dfd28fcef42768aaeef1c981a38270cdb902a35047d92c1871df623a8f09605
docs/4/rescue_lp/frozen_source_v2/docs/4/Q4_问题四_严格因果波动电价_完整建模_最终修订版.md,docs/4/rescue_lp/frozen_source_v2/docs/4/Q4_问题四_严格因果波动电价_完整建模_最终修订版.md,源码、依赖及正式运行版本,35871,331a573794fbd8e85f3f75e96fee64ff25cac5e014fa896e927604a624270bd1
docs/4/rescue_lp/frozen_source_v2/manifest.json,docs/4/rescue_lp/frozen_source_v2/manifest.json,源码、依赖及正式运行版本,1888,f1221b0b7b06f586f8724761d3ee9913a2701d8458e2b8136b138db7ec4f93f7
docs/4/rescue_lp/frozen_source_v2/requirements.txt,docs/4/rescue_lp/frozen_source_v2/requirements.txt,源码、依赖及正式运行版本,366,2f6157463699be266cb48c51dc2d1875233a6540314dfb75f283363fb00141e5
docs/4/rescue_lp/frozen_source_v2/src/q2/data.py,docs/4/rescue_lp/frozen_source_v2/src/q2/data.py,源码、依赖及正式运行版本,8039,b7259d5762c83d9dcba2686ff0b3749e1b072323f5f81f072f6ffcdef3992cb0
docs/4/rescue_lp/frozen_source_v2/src/q2/forecast.py,docs/4/rescue_lp/frozen_source_v2/src/q2/forecast.py,源码、依赖及正式运行版本,7498,7893f22f175a3a5dabcef6464ceecd74f97cf877542a972b268617c875d57ae2
docs/4/rescue_lp/frozen_source_v2/src/q2/policy.py,docs/4/rescue_lp/frozen_source_v2/src/q2/policy.py,源码、依赖及正式运行版本,5911,a0794ae68696d4e251d7edab589bceee7d87a08c20ea617c5b14557c325bb11f
docs/4/rescue_lp/frozen_source_v2/src/q2/protocol.py,docs/4/rescue_lp/frozen_source_v2/src/q2/protocol.py,源码、依赖及正式运行版本,2720,a01e4a49e0d19e1bd751159aede4fd1cf5d13143103b2799658dc8da89ebbc27
docs/4/rescue_lp/frozen_source_v2/src/q3/config.py,docs/4/rescue_lp/frozen_source_v2/src/q3/config.py,源码、依赖及正式运行版本,5017,f89cd39b2295bb5b7da9761543151cf04d2aeb220b322fa2a0d14bc6394ccd2a
docs/4/rescue_lp/frozen_source_v2/src/q3/data.py,docs/4/rescue_lp/frozen_source_v2/src/q3/data.py,源码、依赖及正式运行版本,7764,787cb1e2eef6a2994100179df66f38597e1b7c5b08f7e709841e78ff16191eaf
docs/4/rescue_lp/frozen_source_v2/src/q4/__init__.py,docs/4/rescue_lp/frozen_source_v2/src/q4/__init__.py,源码、依赖及正式运行版本,85,af2ad42a63eb91042591eb9420e9e74bb75a2602d860efef898f8ba2e1ba09ee
docs/4/rescue_lp/frozen_source_v2/src/q4/config.py,docs/4/rescue_lp/frozen_source_v2/src/q4/config.py,源码、依赖及正式运行版本,3734,274e6e80c68615551aa72213214f650d68269276fe5acae17a0316fa26fb62af
docs/4/rescue_lp/frozen_source_v2/src/q4/data.py,docs/4/rescue_lp/frozen_source_v2/src/q4/data.py,源码、依赖及正式运行版本,9445,36017edfaeb29aa74adecfc665cb44c104da150a0c81be97ced6f5eb9f397fa5
docs/4/rescue_lp/frozen_source_v2/src/q4/diagnostics.py,docs/4/rescue_lp/frozen_source_v2/src/q4/diagnostics.py,源码、依赖及正式运行版本,10676,d9a880e338e81674dd11d10ef8717d4ab31e555724c95c354927691ecb736aba
docs/4/rescue_lp/frozen_source_v2/src/q4/export.py,docs/4/rescue_lp/frozen_source_v2/src/q4/export.py,源码、依赖及正式运行版本,8975,c9c465fcc8b3c832eaf18a247480d46858453c40c933ccf4d3e23a93195450ae
docs/4/rescue_lp/frozen_source_v2/src/q4/optimization.py,docs/4/rescue_lp/frozen_source_v2/src/q4/optimization.py,源码、依赖及正式运行版本,12631,aa32fbf88850ec8d6bfe5a6705b405e0d3b398b4ada991a2a89098ceac7f38ee
docs/4/rescue_lp/frozen_source_v2/src/q4/physics.py,docs/4/rescue_lp/frozen_source_v2/src/q4/physics.py,源码、依赖及正式运行版本,2705,3fd0bed219d85ed847fec4101a9a6d82d914c9c1c838a13b029c0752643f83e1
docs/4/rescue_lp/frozen_source_v2/src/q4/price.py,docs/4/rescue_lp/frozen_source_v2/src/q4/price.py,源码、依赖及正式运行版本,6339,b5c4989466984952ac2855e62b122903020524305cf5ca46dcb962f9293610db
docs/4/rescue_lp/frozen_source_v2/src/q4/rolling.py,docs/4/rescue_lp/frozen_source_v2/src/q4/rolling.py,源码、依赖及正式运行版本,14396,a32f21b8bf96b8c01448afb842d92885195188aa62cfa782027d6f7e29e8c382
docs/4/rescue_lp/frozen_source_v2/src/q4/run.py,docs/4/rescue_lp/frozen_source_v2/src/q4/run.py,源码、依赖及正式运行版本,3984,eed3e7d5e164688535dc32bf7380d79229bc25755145180690445a93c3126640
docs/4/rescue_lp/frozen_source_v2/src/q4/scenarios.py,docs/4/rescue_lp/frozen_source_v2/src/q4/scenarios.py,源码、依赖及正式运行版本,9188,9caf29784c716f6fd98da580834c7b59515085f014dcd35eb96d43cb17879887
docs/4/rescue_lp/frozen_source_v2/src/q4/traceability.py,docs/4/rescue_lp/frozen_source_v2/src/q4/traceability.py,源码、依赖及正式运行版本,2719,7755d1cb1aad0de9257d5ed42e5ea282b69e49e41721f5ba6d516e18d48a5696
docs/4/rescue_lp/frozen_source_v2/src/q4/vertical_slice.py,docs/4/rescue_lp/frozen_source_v2/src/q4/vertical_slice.py,源码、依赖及正式运行版本,1607,2f835f65cc39cc5eb4a48f3141685f52e84cfe8de6b0425f0bd60e5931d9683a
docs/4/rescue_lp/frozen_source_v3/docs/4/Q4_问题四_严格因果波动电价_完整建模_最终修订版.md,docs/4/rescue_lp/frozen_source_v3/docs/4/Q4_问题四_严格因果波动电价_完整建模_最终修订版.md,源码、依赖及正式运行版本,35959,3dfd28fcef42768aaeef1c981a38270cdb902a35047d92c1871df623a8f09605
docs/4/rescue_lp/frozen_source_v3/manifest.json,docs/4/rescue_lp/frozen_source_v3/manifest.json,源码、依赖及正式运行版本,1888,ee6afc31d7d6c6b5c6d78d9fd6c6ce1b892419a541c3676834b815c2297a34cf
docs/4/rescue_lp/frozen_source_v3/requirements.txt,docs/4/rescue_lp/frozen_source_v3/requirements.txt,源码、依赖及正式运行版本,366,2f6157463699be266cb48c51dc2d1875233a6540314dfb75f283363fb00141e5
docs/4/rescue_lp/frozen_source_v3/src/q2/data.py,docs/4/rescue_lp/frozen_source_v3/src/q2/data.py,源码、依赖及正式运行版本,8039,b7259d5762c83d9dcba2686ff0b3749e1b072323f5f81f072f6ffcdef3992cb0
docs/4/rescue_lp/frozen_source_v3/src/q2/forecast.py,docs/4/rescue_lp/frozen_source_v3/src/q2/forecast.py,源码、依赖及正式运行版本,7498,7893f22f175a3a5dabcef6464ceecd74f97cf877542a972b268617c875d57ae2
docs/4/rescue_lp/frozen_source_v3/src/q2/policy.py,docs/4/rescue_lp/frozen_source_v3/src/q2/policy.py,源码、依赖及正式运行版本,5911,a0794ae68696d4e251d7edab589bceee7d87a08c20ea617c5b14557c325bb11f
docs/4/rescue_lp/frozen_source_v3/src/q2/protocol.py,docs/4/rescue_lp/frozen_source_v3/src/q2/protocol.py,源码、依赖及正式运行版本,2720,a01e4a49e0d19e1bd751159aede4fd1cf5d13143103b2799658dc8da89ebbc27
docs/4/rescue_lp/frozen_source_v3/src/q3/config.py,docs/4/rescue_lp/frozen_source_v3/src/q3/config.py,源码、依赖及正式运行版本,5017,f89cd39b2295bb5b7da9761543151cf04d2aeb220b322fa2a0d14bc6394ccd2a
docs/4/rescue_lp/frozen_source_v3/src/q3/data.py,docs/4/rescue_lp/frozen_source_v3/src/q3/data.py,源码、依赖及正式运行版本,7764,787cb1e2eef6a2994100179df66f38597e1b7c5b08f7e709841e78ff16191eaf
docs/4/rescue_lp/frozen_source_v3/src/q4/__init__.py,docs/4/rescue_lp/frozen_source_v3/src/q4/__init__.py,源码、依赖及正式运行版本,85,af2ad42a63eb91042591eb9420e9e74bb75a2602d860efef898f8ba2e1ba09ee
docs/4/rescue_lp/frozen_source_v3/src/q4/config.py,docs/4/rescue_lp/frozen_source_v3/src/q4/config.py,源码、依赖及正式运行版本,3734,d990a4c4a443438d11876e9721a028a4e7cf6c2db7822832005673dfd1190998
docs/4/rescue_lp/frozen_source_v3/src/q4/data.py,docs/4/rescue_lp/frozen_source_v3/src/q4/data.py,源码、依赖及正式运行版本,9445,36017edfaeb29aa74adecfc665cb44c104da150a0c81be97ced6f5eb9f397fa5
docs/4/rescue_lp/frozen_source_v3/src/q4/diagnostics.py,docs/4/rescue_lp/frozen_source_v3/src/q4/diagnostics.py,源码、依赖及正式运行版本,10676,d9a880e338e81674dd11d10ef8717d4ab31e555724c95c354927691ecb736aba
docs/4/rescue_lp/frozen_source_v3/src/q4/export.py,docs/4/rescue_lp/frozen_source_v3/src/q4/export.py,源码、依赖及正式运行版本,8975,c9c465fcc8b3c832eaf18a247480d46858453c40c933ccf4d3e23a93195450ae
docs/4/rescue_lp/frozen_source_v3/src/q4/optimization.py,docs/4/rescue_lp/frozen_source_v3/src/q4/optimization.py,源码、依赖及正式运行版本,13911,64ed09471d622e2bef2a331059d1c0ca0ae5aa5c4e82fa9aa29985d383842482
docs/4/rescue_lp/frozen_source_v3/src/q4/physics.py,docs/4/rescue_lp/frozen_source_v3/src/q4/physics.py,源码、依赖及正式运行版本,2705,3fd0bed219d85ed847fec4101a9a6d82d914c9c1c838a13b029c0752643f83e1
docs/4/rescue_lp/frozen_source_v3/src/q4/price.py,docs/4/rescue_lp/frozen_source_v3/src/q4/price.py,源码、依赖及正式运行版本,6339,b5c4989466984952ac2855e62b122903020524305cf5ca46dcb962f9293610db
docs/4/rescue_lp/frozen_source_v3/src/q4/rolling.py,docs/4/rescue_lp/frozen_source_v3/src/q4/rolling.py,源码、依赖及正式运行版本,14396,a32f21b8bf96b8c01448afb842d92885195188aa62cfa782027d6f7e29e8c382
docs/4/rescue_lp/frozen_source_v3/src/q4/run.py,docs/4/rescue_lp/frozen_source_v3/src/q4/run.py,源码、依赖及正式运行版本,3984,eed3e7d5e164688535dc32bf7380d79229bc25755145180690445a93c3126640
docs/4/rescue_lp/frozen_source_v3/src/q4/scenarios.py,docs/4/rescue_lp/frozen_source_v3/src/q4/scenarios.py,源码、依赖及正式运行版本,9188,9caf29784c716f6fd98da580834c7b59515085f014dcd35eb96d43cb17879887
docs/4/rescue_lp/frozen_source_v3/src/q4/traceability.py,docs/4/rescue_lp/frozen_source_v3/src/q4/traceability.py,源码、依赖及正式运行版本,2719,7755d1cb1aad0de9257d5ed42e5ea282b69e49e41721f5ba6d516e18d48a5696
docs/4/rescue_lp/frozen_source_v3/src/q4/vertical_slice.py,docs/4/rescue_lp/frozen_source_v3/src/q4/vertical_slice.py,源码、依赖及正式运行版本,1576,e0e286ebbd469ef869b47c95e5788574932b3e386ac8f03d8b7686540e2991fb
