材料原路径,保留位置,字节数,SHA256,说明
ai/project_change_history.md,outputs/history/approval_working_notes_20260913_185436/ai/project_change_history.md,121364,c38af85edd621f0bfc2f1135720ede4ffe4b6482abdcd159042b0721da6f406c,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
ai/project_task_history.md,outputs/history/approval_working_notes_20260913_185436/ai/project_task_history.md,158928,75c4587c058c8b2cf33c7d6f13836e7771174a51f54ad7dc3e1bc7afd766c937,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/1/cleanup_candidates/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/1/cleanup_candidates/notes.md,1402,20f03c2e75e02a584dfdcf3128cd076cbf08039eebacf83d026b4dcf3901f2e4,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/1/cleanup_candidates/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/1/cleanup_candidates/task_plan.md,2241,21edc3b25e9042183db28ffe2f0970eb384abf1d414bcf430b61e209f4bcead6,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/1/intermediate/marginal_value_work/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/1/intermediate/marginal_value_work/notes.md,1366,2a4317c4342f40cda968b074db57f2fd574eb406a032576af597f0e974001f3c,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/1/intermediate/marginal_value_work/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/1/intermediate/marginal_value_work/task_plan.md,1412,3345d03a96a31ee98921169abd5f212969864c114496c5e9f116666e4c82fed3,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/2/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/2/notes.md,2105,d7100c9c4108a988abfc387763c40ee558dce3af8a1d8084ab15660c05f40b86,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/2/revision_work/file_inventory.csv,outputs/history/approval_working_notes_20260913_185436/docs/2/revision_work/file_inventory.csv,462433,d0239d61e141bdba336638fd5b1cbeb5f56c7268505e68730093e7e5917f90f0,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/2/revision_work/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/2/revision_work/notes.md,29472,8690c1d8eefa7cbb1ae40b5f78953d96e1737224f284e1a1a401ed45507820c6,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/2/revision_work/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/2/revision_work/task_plan.md,22612,40c432180cb8b457958a5a20d7ca8f2d474a9c03c1362a48142d33a3ce852e12,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/2/task_plan.md,outputs/history/approval_working_notes_20260913_185436/docs/2/task_plan.md,4175,9243f57ec85e264b8caf5f41c1583a1491a6e2ee62b55b882387dfb929a06378,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
docs/3/compute_rescue/notes.md,outputs/history/approval_working_notes_20260913_185436/docs/3/compute_rescue/notes.md,1026,a9f702a4dd309845056fd98d21d1e19ca265648c327811073b43449d7b66fdf2,内部任务/整理记录或旧目录清单，移出提交目录，原始内容保留
