issue,target,horizon_hours,forecast_kw,date,issue_hour,actual_kw,error_kw,old_forecast_kw,old_abs_error,new_abs_error
2025-02-01 06:00:00,2025-02-01 07:00:00,1,346.94659999999999,2025-02-01,6,340.5,6.4465999999999894,351.8186,11.318600000000004,6.4465999999999894
2025-02-01 06:00:00,2025-02-01 08:00:00,2,2070.1163999999999,2025-02-01,6,2004.1125,66.003899999999931,2055.0920999999998,50.979599999999891,66.003899999999931
2025-02-01 06:00:00,2025-02-01 09:00:00,3,3894.6354000000001,2025-02-01,6,3731.6999999999998,162.9354000000003,3840.8663999999999,109.16640000000007,162.9354000000003
2025-02-01 06:00:00,2025-02-01 10:00:00,4,5872.2250999999997,2025-02-01,6,5364.1125000000002,508.11259999999947,5817.8346000000001,453.72209999999995,508.11259999999947
2025-02-01 06:00:00,2025-02-01 11:00:00,5,6798.0513000000001,2025-02-01,6,6361.6499999999996,436.40130000000045,7046.6045999999997,684.95460000000003,436.40130000000045
2025-02-01 06:00:00,2025-02-01 12:00:00,6,6974.8082999999997,2025-02-01,6,6603.9375,370.87079999999969,6729.8795,125.94200000000001,370.87079999999969
2025-02-01 12:00:00,2025-02-01 13:00:00,1,6292.3136000000004,2025-02-01,12,6313.3500000000004,-21.036399999999958,6980.8005999999996,667.45059999999921,21.036399999999958
2025-02-01 12:00:00,2025-02-01 14:00:00,2,5206.0919999999996,2025-02-01,12,5251.125,-45.033000000000357,5666.3176000000003,415.19260000000031,45.033000000000357
2025-02-01 12:00:00,2025-02-01 15:00:00,3,3634.1271000000002,2025-02-01,12,3688.3499999999999,-54.222899999999754,3746.5408000000002,58.190800000000309,54.222899999999754
2025-02-01 12:00:00,2025-02-01 16:00:00,4,1920.1047000000001,2025-02-01,12,1973.5875000000001,-53.482799999999997,2112.8236000000002,139.23610000000008,53.482799999999997
2025-02-01 12:00:00,2025-02-01 17:00:00,5,335.9676,2025-02-01,12,358.23750000000001,-22.269900000000007,388.54910000000001,30.311599999999999,22.269900000000007
2025-02-01 12:00:00,2025-02-01 18:00:00,6,0,2025-02-01,12,0,0,0,0,0
2025-02-01 18:00:00,2025-02-01 19:00:00,1,0,2025-02-01,18,0,0,0,0,0
2025-02-01 18:00:00,2025-02-01 20:00:00,2,0,2025-02-01,18,0,0,0,0,0
2025-02-01 18:00:00,2025-02-01 21:00:00,3,0,2025-02-01,18,0,0,0,0,0
2025-02-01 18:00:00,2025-02-01 22:00:00,4,0,2025-02-01,18,0,0,0,0,0
2025-02-01 18:00:00,2025-02-01 23:00:00,5,0,2025-02-01,18,0,0,0,0,0
2025-02-01 18:00:00,2025-02-02 00:00:00,6,0,2025-02-01,18,0,0,0,0,0
2025-02-02 06:00:00,2025-02-02 07:00:00,1,384.26179999999999,2025-02-02,6,386.0625,-1.8007000000000062,375.2276,10.834900000000005,1.8007000000000062
2025-02-02 06:00:00,2025-02-02 08:00:00,2,1996.0391,2025-02-02,6,1994.925,1.1141000000000076,2068.4133999999999,73.488399999999956,1.1141000000000076
2025-02-02 06:00:00,2025-02-02 09:00:00,3,3819.9585999999999,2025-02-02,6,3830.9625000000001,-11.003900000000158,4083.9989,253.03639999999996,11.003900000000158
2025-02-02 06:00:00,2025-02-02 10:00:00,4,5545.8852999999999,2025-02-02,6,5427.7124999999996,118.17280000000028,5106.4018999999998,321.31059999999979,118.17280000000028
2025-02-02 06:00:00,2025-02-02 11:00:00,5,6449.2044999999998,2025-02-02,6,6330.4875000000002,118.71699999999964,5942.0847999999996,388.40270000000055,118.71699999999964
2025-02-02 06:00:00,2025-02-02 12:00:00,6,7053.2195000000002,2025-02-02,6,6888.0375000000004,165.18199999999979,6336.8077999999996,551.22970000000078,165.18199999999979
2025-02-02 12:00:00,2025-02-02 13:00:00,1,6307.0955000000004,2025-02-02,12,6407.1750000000002,-100.07949999999983,6205.0799999999999,202.09500000000025,100.07949999999983
2025-02-02 12:00:00,2025-02-02 14:00:00,2,5565.3615,2025-02-02,12,5694,-128.63850000000002,5647.0073000000002,46.992699999999786,128.63850000000002
