issue,target,horizon_hours,forecast_kw,date,issue_hour,actual_kw,target_hour
2025-03-20 00:00:00,2025-03-20 01:00:00,1,0,2025-03-20,0,0,1
2025-03-20 00:00:00,2025-03-20 02:00:00,2,0,2025-03-20,0,0,2
2025-03-20 00:00:00,2025-03-20 03:00:00,3,0,2025-03-20,0,0,3
2025-03-20 00:00:00,2025-03-20 04:00:00,4,0,2025-03-20,0,0,4
2025-03-20 00:00:00,2025-03-20 05:00:00,5,0,2025-03-20,0,0,5
2025-03-20 00:00:00,2025-03-20 06:00:00,6,0,2025-03-20,0,0,6
2025-03-20 06:00:00,2025-03-20 07:00:00,1,1727.4881,2025-03-20,6,1693.2375,7
2025-03-20 06:00:00,2025-03-20 08:00:00,2,3564.5196999999998,2025-03-20,6,3476.5124999999998,8
2025-03-20 06:00:00,2025-03-20 09:00:00,3,5464.1198000000004,2025-03-20,6,5180.8874999999998,9
2025-03-20 06:00:00,2025-03-20 10:00:00,4,6778.2245999999996,2025-03-20,6,6426.1875,10
2025-03-20 06:00:00,2025-03-20 11:00:00,5,7787.0156999999999,2025-03-20,6,7263,11
2025-03-20 06:00:00,2025-03-20 12:00:00,6,8429.1530000000002,2025-03-20,6,7818.4499999999998,12
2025-03-20 12:00:00,2025-03-20 13:00:00,1,7621.8427000000001,2025-03-20,12,7525.8000000000002,13
2025-03-20 12:00:00,2025-03-20 14:00:00,2,6888.1777000000002,2025-03-20,12,6799.9499999999998,14
2025-03-20 12:00:00,2025-03-20 15:00:00,3,5205.1210000000001,2025-03-20,12,5072.7749999999996,15
2025-03-20 12:00:00,2025-03-20 16:00:00,4,3256.9459999999999,2025-03-20,12,3156.2249999999999,16
2025-03-20 12:00:00,2025-03-20 17:00:00,5,1395.6276,2025-03-20,12,1377.7125000000001,17
2025-03-20 12:00:00,2025-03-20 18:00:00,6,0,2025-03-20,12,0,18
2025-03-20 18:00:00,2025-03-20 19:00:00,1,0,2025-03-20,18,0,19
2025-03-20 18:00:00,2025-03-20 20:00:00,2,0,2025-03-20,18,0,20
2025-03-20 18:00:00,2025-03-20 21:00:00,3,0,2025-03-20,18,0,21
2025-03-20 18:00:00,2025-03-20 22:00:00,4,0,2025-03-20,18,0,22
2025-03-20 18:00:00,2025-03-20 23:00:00,5,0,2025-03-20,18,0,23
2025-03-20 18:00:00,2025-03-21 00:00:00,6,0,2025-03-20,18,0,24
