date,total_cost_q42,soc_end_q42,total_cost_q43,soc_end_q43,saving_yuan
2025-02-01,23817.709448095145,10199.999999999993,21825.916733281971,4323.6192726538529,1991.7927148131748
2025-02-02,67327.203167864471,7950.0000000000018,65243.958170140853,1375.844290860201,2083.2449977236174
2025-02-03,73198.149984913587,10799.999999999996,69230.120922795701,1418.5200402082537,3968.0290621178865
2025-02-04,72944.796989929368,10049.999999999996,70337.397093268475,1376.5566033643827,2607.3998966608924
2025-02-05,67481.209776347154,7950.0000000000018,67263.253096344473,1317.7627401212812,217.95668000268051
2025-02-06,69643.915411072987,1200,69068.207766965163,1199.9999999999964,575.70764410782431
2025-02-07,25018.533741335097,8700.0000000000036,21016.370032683968,1292.2263826271101,4002.1637086511291
2025-02-08,19603.060556209235,10710.414877657222,20772.186714417032,4373.3001829172299,-1169.1261582077968
2025-02-09,64162.107312613407,5700.0000000000018,64182.166015820534,1372.2666675482287,-20.05870320712711
2025-02-10,63029.477088201747,7800,60542.246641094694,1391.7525094233024,2487.2304471070529
2025-02-11,63634.701369139664,5700,61628.402246332342,1397.0154848755774,2006.2991228073224
2025-02-12,63408.765630998183,6450.0000000000036,60733.878606662256,1303.5371393279656,2674.887024335927
2025-02-13,56381.948984735463,1199.9999999999982,56877.188229283711,1200,-495.23924454824737
2025-02-14,20906.729558492421,7950.0000000000009,18353.645272381564,1272.353751059778,2553.0842861108576
2025-02-15,22384.259720190006,10800.000000000004,21322.826936688452,4985.2000583736881,1061.4327835015538
2025-02-16,60459.625309644463,2549.9999999999964,61619.438865203891,1232.0470948008351,-1159.8135555594272
2025-02-17,63713.565122419983,4199.9999999999991,59217.365739909903,1303.7207466323998,4496.1993825100799
2025-02-18,55284.436961346822,3449.9999999999982,56012.986357032452,1287.6991093761553,-728.54939568562986
2025-02-19,56444.105926746401,2699.9999999999982,56759.98877112029,1269.5181905231711,-315.88284437388938
