mode,side,key,kwh
4-2,input,pv,19068889.994283333
4-2,input,called,21122793.512224667
4-2,input,emergency,225858.57219393802
4-2,input,discharge,5716571.6209320463
4-2,output,load,37008079.489250004
4-2,output,charge,7061329.1616445016
4-2,output,spill,2064705.0487394859
4-3,input,pv,19068889.994283333
4-3,input,called,20838789.412400618
4-3,input,emergency,150643.26395427491
4-3,input,discharge,5573532.2610820774
4-3,output,load,37008079.489250004
4-3,output,charge,6875649.1066834843
4-3,output,spill,1748126.3357868199
