mode,date,hour,status,seconds,gap,S,rho,ESS,initial_soc,committed_slots
4-2,2025-02-01,0,Optimal,0.58223162501235493,0,16,0.60056922111398992,16,6000,144
4-2,2025-02-02,0,Optimal,0.85542037500999868,0,17,0.58389339617084013,17,10199.999999999993,144
4-2,2025-02-03,0,Optimal,0.77065766698797233,0,18,0.57642123301889903,18,7950.0000000000018,144
4-2,2025-02-04,0,Optimal,0.79873616600525565,2.230188869496379e-16,19,0.5500784077564439,19,10799.999999999996,144
4-2,2025-02-05,0,Optimal,0.98038370898575522,0,20,0.53690226656170459,20,10049.999999999996,144
4-2,2025-02-06,0,Optimal,0.88878354200278409,0,20,0.54193296263604085,21,7950.0000000000018,144
4-2,2025-02-07,0,Optimal,0.95084666600450873,0,20,0.50323206054613412,22,1200,144
4-2,2025-02-08,0,Optimal,0.87974658299935982,1.9457343224424045e-16,20,0.50421817933808721,23,8700.0000000000036,144
4-2,2025-02-09,0,Optimal,0.83419324998976663,1.1362599194096434e-16,20,0.48181906642246575,24,10710.414877657222,144
4-2,2025-02-10,0,Optimal,0.8595060000079684,0,20,0.47592465186000477,25,5700.0000000000018,144
4-2,2025-02-11,0,Optimal,0.85686362499836832,0,20,0.44312810957243082,26,7800,144
4-2,2025-02-12,0,Optimal,0.99147620800067671,0,20,0.47498637217146028,27,5700,144
4-2,2025-02-13,0,Optimal,0.8783638329769019,0,20,0.43406477949520739,28,6450.0000000000036,144
4-2,2025-02-14,0,Optimal,1.1421750000154134,0,20,0.44907199436828876,29,1199.9999999999982,144
4-2,2025-02-15,0,Optimal,1.2537567499966826,0,20,0.42244015526711631,30,7950.0000000000009,144
4-2,2025-02-16,0,Optimal,1.0360763329954352,0,20,0.39499105074779522,31,10800.000000000004,144
4-2,2025-02-17,0,Optimal,0.77148833300452679,0,20,0.40823234530406921,32,2549.9999999999964,144
4-2,2025-02-18,0,Optimal,0.99643358300090767,1.2976754325683104e-16,20,0.36823706467613493,33,4199.9999999999991,144
4-2,2025-02-19,0,Optimal,0.99025441700359806,1.3296105986153157e-16,20,0.36211885919270304,34,3449.9999999999982,144
4-2,2025-02-20,0,Optimal,0.69739429198671132,0,20,0.386629017272899,35,2699.9999999999982,144
4-2,2025-02-21,0,Optimal,1.0004807910008822,0,20,0.37686721792799527,36,1199.9999999999959,144
4-2,2025-02-22,0,Optimal,1.0728866250137798,0,20,0.362885223518495,37,8700.0000000000018,144
4-2,2025-02-23,0,Optimal,0.89617591601563618,0,20,0.37655082605859236,38,10800.000000000002,144
4-2,2025-02-24,0,Optimal,0.75530275001074187,0,20,0.37210745131736772,39,2700,144
4-2,2025-02-25,0,Optimal,1.0985917090147268,0,20,0.34247963763695288,40,2185.0305946777903,144
4-2,2025-02-26,0,Optimal,0.95374329198966734,4.2281957805168801e-16,20,0.34824992009733119,41,6300.0000000000018,144
4-2,2025-02-27,0,Optimal,0.67736375000094995,0,20,0.34714880895095784,42,4949.9999999999973,144
4-2,2025-02-28,0,Optimal,0.71834791600122117,0,20,0.3238301981085156,43,1199.9999999999927,144
4-2,2025-03-01,0,Optimal,0.79463362498790957,0,20,0.36141590077964159,44,4950.0000000000018,144
4-2,2025-03-02,0,Optimal,0.76767866700538434,0,20,0.32267646518167808,45,10800.000000000002,144
4-2,2025-03-03,0,Optimal,1.0447294580226298,0,20,0.33602761106843138,46,1950,144
4-2,2025-03-04,0,Optimal,0.87147375001222827,0,20,0.32051023056594496,47,2700,144
4-2,2025-03-05,0,Optimal,0.81061595800565556,1.4332878600897353e-16,20,0.31209620637372265,48,7049.9999999999982,144
4-2,2025-03-06,0,Optimal,0.84066770799108781,0,20,0.33081352549144016,49,6299.9999999999982,144
4-2,2025-03-07,0,Optimal,1.0980277500057127,0,20,0.33490113977965147,50,1199.9999999999945,144
4-2,2025-03-08,0,Optimal,1.506114791991422,0,20,0.31030703625767075,51,6232.091733872915,144
4-2,2025-03-09,0,Optimal,1.0661895409866702,2.8515454339557478e-16,20,0.30141319879296163,52,10800,144
4-2,2025-03-10,0,Optimal,1.2206385419995058,0,20,0.30874920255294974,53,2550.0000000000073,144
4-2,2025-03-11,0,Optimal,1.2417127079970669,0,20,0.29636004952706346,54,6450.0000000000036,144
4-2,2025-03-12,0,Optimal,1.2270576659939252,1.0258448262574084e-15,20,0.28432111594494236,55,1950.0000000000027,144
4-2,2025-03-13,0,Optimal,1.005810916016344,0,20,0.28409080674247056,55,5550,144
4-2,2025-03-14,0,Optimal,0.78981595800723881,2.7789992642076507e-16,20,0.28777842001496728,55,1199.9999999999991,144
4-2,2025-03-15,0,Optimal,0.94640395801980048,0,20,0.29545906123643145,55,8556.0200846525986,144
4-2,2025-03-16,0,Optimal,1.5220724579994567,0,20,0.30314358504089889,55,10800.000000000005,144
4-2,2025-03-17,0,Optimal,1.3286027919966727,0,20,0.29961679723631884,55,6300,144
4-2,2025-03-18,0,Optimal,1.4225536670128349,0,20,0.33426679279627541,55,3300.0000000000009,144
4-2,2025-03-19,0,Optimal,1.2262515839829575,0,20,0.30182517407580961,55,3622.924612491302,144
4-2,2025-03-20,0,Optimal,1.0754969999834429,0,20,0.29682957364207302,55,6300,144
4-2,2025-03-21,0,Optimal,1.0929802920145448,2.7573174771535092e-16,20,0.30189822157196061,55,1200.0000000000018,144
4-2,2025-03-22,0,Optimal,1.1256868749915157,0,20,0.30457400039910021,55,10800.000000000005,144
4-2,2025-03-23,0,Optimal,1.4317612499871757,0,20,0.31107160556040214,55,10199.999999999998,144
4-2,2025-03-24,0,Optimal,1.0797602499951608,0,20,0.32063640494529294,55,4200.0000000000036,144
4-2,2025-03-25,0,Optimal,1.3564452920109034,0,20,0.29443205863932248,55,6449.9999999999991,144
4-2,2025-03-26,0,Optimal,1.1801494999963325,0,20,0.29690878286683009,55,5699.9999999999991,144
4-2,2025-03-27,0,Optimal,1.7719010000000708,1.2807524222216866e-16,20,0.29393377025547579,55,4799.9999999999982,144
4-2,2025-03-28,0,Optimal,0.93509087499114685,2.8584400437897339e-16,20,0.32493437868558339,55,1200.0000000000005,144
4-2,2025-03-29,0,Optimal,1.1746676249895245,0,20,0.29804070081526385,55,7882.1237694610172,144
4-2,2025-03-30,0,Optimal,1.414961458009202,1.7312670307816621e-16,20,0.29918975528304576,55,10800,144
4-2,2025-03-31,0,Optimal,1.3465265829872806,0,20,0.30698900262523138,55,1950,144
4-2,2025-04-01,0,Optimal,1.3086182910192292,0,20,0.29269162564178269,55,5700,144
4-2,2025-04-02,0,Optimal,1.6399201250169426,1.7125280143242082e-16,20,0.27880690645965744,55,3450.0000000000009,144
4-2,2025-04-03,0,Optimal,1.3097629580006469,0,20,0.29786536177042588,55,7950,144
4-2,2025-04-04,0,Optimal,0.93506341698230244,0,20,0.285278480170086,55,1200.0000000000036,144
4-2,2025-04-05,0,Optimal,1.0071160000225063,0,20,0.29057772790649938,55,6647.9521745991624,144
4-2,2025-04-06,0,Optimal,1.315500416996656,0,20,0.29129312831973525,55,10800.000000000007,144
4-2,2025-04-07,0,Optimal,1.5930697500007227,0,20,0.29542078571824298,55,5700,144
4-2,2025-04-08,0,Optimal,1.5825667080061976,1.6450791375084348e-16,20,0.31513120167929548,55,7200.0000000000109,144
4-2,2025-04-09,0,Optimal,1.2651752920064609,0,20,0.316563044311651,55,4800,144
4-2,2025-04-10,0,Optimal,1.0373770830046851,0,20,0.29489118914819867,55,5550,144
4-2,2025-04-11,0,Optimal,0.97809666697867215,0,20,0.30528880581502038,55,1200.0000000000036,144
4-2,2025-04-12,0,Optimal,1.2299734170082957,0,20,0.30078865037010882,55,7607.2800273436969,144
4-2,2025-04-13,0,Optimal,1.4200867500039749,1.9328575908429355e-16,20,0.30089606650010869,55,10800.000000000002,144
4-2,2025-04-14,0,Optimal,1.1762980420025997,0,20,0.27961570311088474,55,4199.9999999999964,144
4-2,2025-04-15,0,Optimal,1.4256263339775614,0,20,0.29172173235106535,55,6450.0000000000009,144
4-2,2025-04-16,0,Optimal,1.5801020410144702,0,20,0.30049874122570014,55,7950.0000000000055,144
4-2,2025-04-17,0,Optimal,1.1728173329902347,1.5508758906481487e-16,20,0.27471062056214518,55,4200.0000000000036,144
4-2,2025-04-18,0,Optimal,1.1529932920238934,0,20,0.2998467001687129,55,1200,144
4-2,2025-04-19,0,Optimal,1.2400427499960642,0,20,0.27943742889098039,55,6109.7569356059994,144
4-2,2025-04-20,0,Optimal,1.4548639160057064,0,20,0.2861048241057399,55,10799.999999999998,144
4-2,2025-04-21,0,Optimal,1.2937489169999026,1.8812580164500741e-16,20,0.2911029717628939,55,2699.9999999999982,144
4-2,2025-04-22,0,Optimal,1.3368417079909705,0,20,0.29993753431599968,55,5550.0000000000055,144
4-2,2025-04-23,0,Optimal,1.2942413330019917,0,20,0.28202804391771757,55,8550.0000000000055,144
4-2,2025-04-24,0,Optimal,1.9221959580027033,0,20,0.29284703520497724,55,3299.9999999999973,144
4-2,2025-04-25,0,Optimal,0.86381829099263996,4.9534094477084193e-16,20,0.29787723685892142,55,1200.0000000000014,144
4-2,2025-04-26,0,Optimal,0.99337091599591076,0,20,0.29281781720137484,55,5168.5413362736817,144
4-2,2025-04-27,0,Optimal,1.3843442079960369,0,20,0.299256082924863,55,10800.000000000004,144
4-2,2025-04-28,0,Optimal,1.4736979590088595,0,20,0.29486851720501905,55,2700.0000000000073,144
4-2,2025-04-29,0,Optimal,1.5807202920259442,1.9968894071957956e-16,20,0.3032370501877798,55,7199.9999999999982,144
4-2,2025-04-30,0,Optimal,0.79125887501868419,2.1402948789574627e-16,20,0.30041379208150398,55,7950.0000000000055,144
4-2,2025-05-01,0,Optimal,0.75884174997918308,1.7132075379144574e-16,20,0.31273864979135502,55,7800.0000000000009,144
4-2,2025-05-02,0,Optimal,0.5254649170092307,1.5430498647018604e-16,20,0.30273121618286608,55,1200.0000000000045,144
4-2,2025-05-03,0,Optimal,1.3574227500066627,0,20,0.2987705993936971,55,6450.0000000000082,144
4-2,2025-05-04,0,Optimal,0.87332400001469068,0,20,0.29228521621194958,55,10800,144
4-2,2025-05-05,0,Optimal,0.72971516600227915,1.7946445376088083e-16,20,0.28449841010712124,55,6299.9999999999982,144
4-2,2025-05-06,0,Optimal,0.84765862498898059,1.9110249391178951e-16,20,0.2904858244786685,55,6299.9999999999973,144
4-2,2025-05-07,0,Optimal,0.91253933301777579,0,20,0.29460147849203372,55,6449.9999999999982,144
4-2,2025-05-08,0,Optimal,0.92815941700246185,1.2697971328759039e-16,20,0.30742069082449924,55,7050.0000000000018,144
4-2,2025-05-09,0,Optimal,0.54392908298177645,1.2223148961805031e-16,20,0.29191997733739716,55,1200.0000000000045,144
4-2,2025-05-10,0,Optimal,0.6371269169903826,1.2611072003692891e-16,20,0.29378404780169692,55,4200.0000000000036,144
4-2,2025-05-11,0,Optimal,0.59669733300688677,0,20,0.31016022910798968,55,10800,144
4-2,2025-05-12,0,Optimal,0.62638558298931457,0,20,0.29297902653640329,55,1199.9999999999982,144
4-2,2025-05-13,0,Optimal,0.75268412497825921,0,20,0.28580735052446166,55,5700,144
4-2,2025-05-14,0,Optimal,0.6956507500144653,0,20,0.29121151792291905,55,6449.9999999999982,144
4-2,2025-05-15,0,Optimal,0.58456470799865201,0,20,0.29376022875713415,55,4949.9999999999973,144
4-2,2025-05-16,0,Optimal,0.50215399998705834,0,20,0.32546497987390077,55,1199.9999999999945,144
4-2,2025-05-17,0,Optimal,0.53622083301888779,0,20,0.29090081813957452,55,3450.0000000000036,144
4-2,2025-05-18,0,Optimal,0.64998516600462608,1.6780586395689708e-16,20,0.28952705508547644,55,10049.999999999996,144
4-2,2025-05-19,0,Optimal,0.64010712501476519,1.6727183379613512e-16,20,0.28348060354194976,55,1800,144
4-2,2025-05-20,0,Optimal,0.83126066598924808,0,20,0.29389773702792321,55,4949.9999999999964,144
4-2,2025-05-21,0,Optimal,0.53114350000396371,0,20,0.26523827978600639,55,3450.0000000000027,144
4-2,2025-05-22,0,Optimal,0.89212216599844396,0,20,0.28755142080643831,55,3450,144
4-2,2025-05-23,0,Optimal,0.55514637500164099,0,20,0.28437649109931296,55,1200,144
4-2,2025-05-24,0,Optimal,0.62566245801281184,2.4625951847575435e-16,20,0.28508041452195321,55,4200.0000000000027,144
4-2,2025-05-25,0,Optimal,0.81713070799014531,0,20,0.28471741396074907,55,10200.000000000004,144
4-2,2025-05-26,0,Optimal,0.75195745800738223,0,20,0.29134879610812453,55,1949.9999999999982,144
4-2,2025-05-27,0,Optimal,0.56951908298651688,0,20,0.28304202948850143,55,4199.9999999999982,144
4-2,2025-05-28,0,Optimal,0.60393033301807009,0,20,0.28439113079208544,55,5700.0000000000036,144
4-2,2025-05-29,0,Optimal,0.48618333300692029,0,20,0.27952723497415594,55,1950.0000000000009,144
4-2,2025-05-30,0,Optimal,0.54484374998719431,0,20,0.28150406457160254,55,1200.0000000000007,144
4-2,2025-05-31,0,Optimal,0.63038995800889097,0,20,0.27846388057429977,55,4200.0000000000009,144
4-2,2025-06-01,0,Optimal,0.87555649998830631,0,20,0.27644445988767319,55,10730.900651676875,144
4-2,2025-06-02,0,Optimal,0.6361499999766238,0,20,0.27618334857390026,55,4200.0000000000036,144
4-2,2025-06-03,0,Optimal,0.71276879200013354,0,20,0.28047901604571657,55,6449.9999999999964,144
4-2,2025-06-04,0,Optimal,0.58289950000471435,0,20,0.28272635666525797,55,4800.0000000000027,144
4-2,2025-06-05,0,Optimal,0.57519629099988379,0,20,0.27951133006949619,55,3450.0000000000036,144
4-2,2025-06-06,0,Optimal,0.76488287502434105,0,20,0.30270799165253637,55,1200,144
4-2,2025-06-07,0,Optimal,0.63935041599324904,3.2773863737760614e-16,20,0.29522384771396165,55,3421.6667694917296,144
4-2,2025-06-08,0,Optimal,0.5966164160054177,0,20,0.29591626509621755,55,10200,144
4-2,2025-06-09,0,Optimal,0.63731633400311694,2.1709472444232736e-16,20,0.27997906394679728,55,1199.9999999997945,144
4-2,2025-06-10,0,Optimal,0.70087845899979584,0,20,0.27466194175174163,55,1200.0000000000016,144
4-2,2025-06-11,0,Optimal,0.5740528330206871,0,20,0.28608987114966034,55,2700.0000000000014,144
4-2,2025-06-12,0,Optimal,0.72590599997784011,0,20,0.27796182046797352,55,1199.9999999999959,144
4-2,2025-06-13,0,Optimal,0.54484241697355174,0,20,0.31175452256350666,55,1200.000000000003,144
4-2,2025-06-14,0,Optimal,0.54606337501900271,0,20,0.3018146085103427,55,2700.0000000000091,144
4-2,2025-06-15,0,Optimal,0.59217291700770147,0,20,0.29980116988110644,55,9450.0000000000055,144
4-2,2025-06-16,0,Optimal,0.64841470899409615,2.0950933968539943e-16,20,0.28609507765929909,55,1200.0000000000018,144
4-2,2025-06-17,0,Optimal,0.67825608301791362,0,20,0.30254334146682077,55,1800.0000000000016,144
4-2,2025-06-18,0,Optimal,0.6918347500031814,0,20,0.32213772401244162,55,1200.0000000000023,144
4-2,2025-06-19,0,Optimal,0.82980758399935439,3.2584133528664434e-16,20,0.29363968372340055,55,1950.000000000002,144
4-2,2025-06-20,0,Optimal,0.5550675829872489,1.3918178460641247e-16,20,0.29471296585412216,55,1200.0000000000011,144
4-2,2025-06-21,0,Optimal,0.50105870899278671,0,20,0.29254153707074787,55,1200.0000000000034,144
4-2,2025-06-22,0,Optimal,0.59058874999755062,0,20,0.28140975454981887,55,6450.0000000000064,144
4-2,2025-06-23,0,Optimal,0.6886768749973271,0,20,0.28507538765789986,55,1199.9999999999991,144
4-2,2025-06-24,0,Optimal,0.60868658300023526,0,20,0.31630251022184724,55,1199.9999999999989,144
4-2,2025-06-25,0,Optimal,0.64967587499995716,0,20,0.30341464882425057,55,1200.0000000000023,144
4-2,2025-06-26,0,Optimal,0.5812056660070084,0,20,0.29597785631640455,55,1200.000000000002,144
4-2,2025-06-27,0,Optimal,0.59416237499681301,1.506773808076311e-16,20,0.29465636225381814,55,1200.0000000000005,144
4-2,2025-06-28,0,Optimal,0.53413124999497086,0,20,0.29243490756681012,55,1200.000000000002,144
4-2,2025-06-29,0,Optimal,0.67634474998340011,0,20,0.28721622714700612,55,8700.0000000000055,144
