model,date,total_cost,emergency_cost,emergency_kwh,end_soc,initial_soc,mean_soc,lower_bound_fraction,upper_bound_fraction
Q2,2025-02-01,24045.490008069377,75.906511339712907,16.200301214323531,8835.9387165401677,6000,7762.8024342115368,0,0.1736111111111111
Q2,2025-02-02,56421.724065313923,0,0,8603.1508781546127,8835.9387165401677,8294.1565202758811,0,0.19444444444444445
Q2,2025-02-03,55800.575734160055,119.24201756186835,24.320542722519605,8498.5090218130445,8603.1508781546127,8300.4235435225019,0,0.16666666666666666
Q2,2025-02-04,57111.559137066812,1621.7384685141285,351.30823846178191,8617.9112321101329,8498.5090218130445,8176.3121850142197,0,0.055555555555555552
Q2,2025-02-05,57422.75990132938,2925.6964248308054,608.00385091040812,8387.4580355632297,8617.9112321101329,8073.0250217901275,0,0.18055555555555555
Q2,2025-02-06,54728.520935109089,0,0,8378.9786725227605,8387.4580355632297,8154.7016873475786,0,0.15972222222222221
Q2,2025-02-07,21956.645931164319,0,0,8573.2473971133168,8378.9786725227605,7676.643336924546,0,0.19444444444444445
Q2,2025-02-08,20297.246725380253,675.02517092071207,124.16516736869517,8430.6397143109061,8573.2473971133168,7239.8822923724274,0,0.1111111111111111
Q2,2025-02-09,55202.44149356064,2817.2622904205264,602.23675983894134,8185.3740846453675,8430.6397143109061,7885.0870063446246,0,0.027777777777777776
Q2,2025-02-10,53072.895082036201,39.501138243047194,17.983673226973451,8070.2414313225254,8185.3740846453675,8370.7353821644756,0,0.1736111111111111
Q2,2025-02-11,52723.544545023236,444.38613333361457,91.691076949008135,8055.5277078348327,8070.2414313225254,8073.9182520367285,0,0.15277777777777779
Q2,2025-02-12,51812.56773070593,7.5265886231715626,1.2900056894908403,8024.7020846786509,8055.5277078348327,8092.4973021087317,0,0.125
Q2,2025-02-13,51091.003849147477,193.93959250342209,36.049737793341933,7362.0538244090239,8024.7020846786509,8015.3349879323396,0,0.1736111111111111
Q2,2025-02-14,20294.924088883312,0,0,7705.2812738195053,7362.0538244090239,7082.2948867224341,0,0.11805555555555555
Q2,2025-02-15,20814.243247068265,48.88249324824762,10.43605748254646,8842.1082731664028,7705.2812738195053,7301.9739404195316,0,0.1111111111111111
Q2,2025-02-16,55815.331710387167,7489.3422031444225,1547.7706244340634,7905.2675492560984,8842.1082731664028,7608.7209143791442,0,0.055555555555555552
Q2,2025-02-17,48698.629434475479,8.2647540548608855,3.8227354555323245,7951.8791386369594,7905.2675492560984,7943.6442265093256,0,0.1388888888888889
Q2,2025-02-18,48238.11363892052,100.31011710947283,28.013351739009295,8158.1372719263309,7951.8791386369594,7820.2349176436292,0,0.090277777777777776
Q2,2025-02-19,53330.95689122194,4474.5289745363425,956.71808439702409,8021.4481699818989,8158.1372719263309,7695.07041253633,0,0.090277777777777776
Q2,2025-02-20,49273.5346423515,2020.9242307818699,422.82089191787077,6624.3568612701638,8021.4481699818989,7683.3417775599482,0,0.15277777777777779
Q2,2025-02-21,19280.891427547693,16.98272509684999,7.9432764718662252,6710.1837433756646,6624.3568612701638,7118.708492181886,0,0.19444444444444445
Q2,2025-02-22,20415.428692642636,1470.3855064413749,277.67010345288782,8008.5516345626611,6710.1837433756646,6589.1724494462333,0,0.1111111111111111
Q2,2025-02-23,51034.265398998192,4286.0401871229151,908.8245783357462,7858.5374607037093,8008.5516345626611,7647.8977077523841,0,0.1111111111111111
Q2,2025-02-24,47251.061328859927,394.23117303371555,87.54998318169541,7884.0919693798187,7858.5374607037093,7858.4114347461273,0,0.10416666666666667
Q2,2025-02-25,46862.586339347487,362.60405248717382,73.920941649754354,7886.7341122026583,7884.0919693798187,7862.517642403348,0,0.18055555555555555
Q2,2025-02-26,46761.364507046441,773.10456990851947,143.64441963947235,7999.9874312588963,7886.7341122026583,7703.065056847965,0,0.048611111111111112
Q2,2025-02-27,49292.57445773136,5072.6848513332079,1040.7178063125989,5868.0192207285872,7999.9874312588963,7581.960036872948,0,0.15972222222222221
Q2,2025-02-28,18825.707737299021,1050.3072844612072,218.70631256833786,6055.5750873726338,5868.0192207285872,6649.6192394258114,0,0.1875
Q2,2025-03-01,19286.026809096933,213.14591035358876,44.358771111433462,7985.336562287479,6055.5750873726338,7043.9727011720443,0,0.14583333333333334
Q2,2025-03-02,71564.106664881343,27298.853663027887,4537.8728095383667,7819.5006294224522,7985.336562287479,6697.5171529439585,0,0.013888888888888888
Q2,2025-03-03,67946.359565958424,23480.971786123977,4132.0052837146559,7832.0560093496779,7819.5006294224522,6900.9973421608847,0,0.013888888888888888
Q2,2025-03-04,47077.631523193581,1924.4849092484574,403.0914781951621,7981.0032554723657,7832.0560093496779,7610.2071588600484,0,0.041666666666666664
Q2,2025-03-05,46292.080042166825,98.064093140214808,22.756959601437821,8144.1037901861391,7981.0032554723657,8014.0795175936155,0,0.18055555555555555
Q2,2025-03-06,45949.534302634696,98.265511543053861,21.377468012511255,5507.9787195600502,8144.1037901861391,8128.1185961531337,0,0.13194444444444445
Q2,2025-03-07,17542.939580395036,0,0,4989.8845326743149,5507.9787195600502,7130.2195115085378,0,0.1875
Q2,2025-03-08,19160.414673773932,640.64854699713464,169.64734371128267,8361.8214559929547,4989.8845326743149,6602.0927146717113,0,0.22222222222222221
Q2,2025-03-09,45228.086358413901,423.22362161370143,80.038633047573228,8048.134527652719,8361.8214559929547,7546.9486757930263,0,0.18055555555555555
Q2,2025-03-10,45146.531962644964,128.33361995590488,36.368053111681654,8276.8564383173871,8048.134527652719,7628.6859990166286,0,0.055555555555555552
Q2,2025-03-11,43814.994196726358,83.994679667879581,22.295317683659739,8246.1123501185539,8276.8564383173871,7845.3253851544123,0,0.083333333333333329
Q2,2025-03-12,43142.53069322354,166.74603567701888,25.113408586708381,7651.8479886311179,8246.1123501185539,7727.1453904089249,0,0.10416666666666667
