resource,limit,point,cost_yuan,saving_from_base_yuan
e_max,6000,E6000_C5000_D5000,40058.77101247512,-4931.822423185491
e_max,8400,E8400_C5000_D5000,37165.005388571786,-2038.0567992821598
e_max,10800,E10800_C5000_D5000,35126.94858928963,0.0
e_max,10900,E10900_C5000_D5000,35061.44403373407,65.50455555555527
e_max,13200,E13200_C5000_D5000,33564.21711627796,1562.7314730116632
e_max,15600,E15600_C5000_D5000,32112.245548566294,3014.7030407233324
e_max,18000,E18000_C5000_D5000,31102.40022634129,4024.548362948335
e_max,20400,E20400_C5000_D5000,30179.57856495129,4947.3700243383355
e_max,22800,E22800_C5000_D5000,29321.529639867957,5805.41894942167
e_max,25200,E25200_C5000_D5000,28512.372822356287,6614.57576693334
e_max,27600,E27600_C5000_D5000,27837.322867202834,7289.625722086792
e_max,30000,E30000_C5000_D5000,27390.3529383124,7736.595650977226
charge_kw,0,E10800_C0_D5000,48052.046590846665,-12925.098001557039
charge_kw,1000,E10800_C1000_D5000,39327.91938079088,-4200.970791501255
charge_kw,2000,E10800_C2000_D5000,36370.05502037043,-1243.106431080807
charge_kw,3000,E10800_C3000_D5000,35468.18806709972,-341.2394778100934
charge_kw,4000,E10800_C4000_D5000,35198.78143549988,-71.83284621025086
charge_kw,5000,E10800_C5000_D5000,35126.94858928963,0.0
charge_kw,5100,E10800_C5100_D5000,35121.301922622966,5.646666666660167
charge_kw,6000,E10800_C6000_D5000,35083.29348008142,43.65510920820816
charge_kw,7000,E10800_C7000_D5000,35044.58715974132,82.36142954830575
charge_kw,8000,E10800_C8000_D5000,35011.951550283455,114.99703900617169
charge_kw,9000,E10800_C9000_D5000,34984.226123230124,142.72246605950204
charge_kw,10000,E10800_C10000_D5000,34960.592789896786,166.3557993928407
discharge_kw,0,E10800_C5000_D0,48052.046590846665,-12925.098001557039
discharge_kw,1000,E10800_C5000_D1000,40136.18484203087,-5009.236252741241
discharge_kw,2000,E10800_C5000_D2000,36991.68007568943,-1864.7314863998035
discharge_kw,3000,E10800_C5000_D3000,35579.70610477216,-452.75751548253174
discharge_kw,4000,E10800_C5000_D4000,35176.08508204858,-49.136492758952954
discharge_kw,5000,E10800_C5000_D5000,35126.94858928963,0.0
discharge_kw,5100,E10800_C5000_D5100,35126.94858928963,0.0
discharge_kw,6000,E10800_C5000_D6000,35126.94858928963,0.0
discharge_kw,7000,E10800_C5000_D7000,35126.94858928963,0.0
discharge_kw,8000,E10800_C5000_D8000,35126.94858928963,0.0
discharge_kw,9000,E10800_C5000_D9000,35126.94858928963,0.0
discharge_kw,10000,E10800_C5000_D10000,35126.94858928963,0.0
