scenario,cost,empirical_p,worst_p,delta_contribution
1,62515.592158920132,0.01785714285714286,0.01785714285714286,0
2,62431.811201187607,0.01785714285714286,0.01785714285714286,0
3,59112.006913605837,0.01785714285714286,0.01785714285714286,0
4,61122.426377274634,0.01785714285714286,0.01785714285714286,0
5,63533.641296657101,0.01785714285714286,0.064887168940066131,2987.9888073248744
6,60970.743663706606,0.01785714285714286,0.01785714285714286,0
7,54500.607134747203,0.01785714285714286,0.01785714285714286,0
8,51542.27357261323,0.089285714285714288,0,-4601.9887118404667
9,54621.581694692359,0.10714285714285714,0.10714285714285714,0
10,51719.179635228415,0.12499999999999999,0,-6464.8974544035509
11,56938.905369255983,0.01785714285714286,0.01785714285714286,0
12,58912.519122594334,0.01785714285714286,0.14285714285714285,7364.0648903242909
13,54082.281318774774,0.071428571428571438,0.071428571428571438,0
14,53402.601140429877,0.035714285714285719,0.035714285714285719,0
15,59316.874063295516,0.035714285714285719,0.125,5296.1494699370987
16,54135.242606237116,0.10714285714285714,0.060112831059933862,-2545.9818717767112
17,52442.806524315791,0.12499999999999999,0.12499999999999999,0
18,52461.029703224362,0.071428571428571438,0.071428571428571438,0
19,52026.08688214764,0.01785714285714286,0.01785714285714286,0
20,53208.752596459104,0.053571428571428575,0.053571428571428575,0
