model,start,end,slots,duration_h,energy_kwh,cost_yuan,weighted_price
Q2,2025-02-01 21:20:00,2025-02-01 21:20:00,1,0.16666666666666666,16.200301214323531,75.906511339712907,0.93710000000000004
Q2,2025-02-03 10:40:00,2025-02-03 10:40:00,1,0.16666666666666666,16.013483721141398,78.778333166155107,0.9839
Q2,2025-02-03 17:20:00,2025-02-03 17:20:00,1,0.16666666666666666,8.3070590013782066,40.463684395713244,0.97419999999999995
Q2,2025-02-04 10:20:00,2025-02-04 10:40:00,3,0.5,269.80947030735541,1305.5142278709793,0.96773047023426806
Q2,2025-02-04 13:30:00,2025-02-04 13:40:00,2,0.33333333333333331,36.247529823355478,156.20065945579063,0.86185547107348193
Q2,2025-02-04 14:30:00,2025-02-04 14:30:00,1,0.16666666666666666,20.733483541351688,106.47680472661159,1.0270999999999999
Q2,2025-02-04 22:20:00,2025-02-04 22:20:00,1,0.16666666666666666,24.517754789719334,53.546776460747026,0.43680000000000002
Q2,2025-02-05 09:40:00,2025-02-05 09:40:00,1,0.16666666666666666,8.5323215211680576,40.195766686222726,0.94220000000000004
Q2,2025-02-05 10:20:00,2025-02-05 10:50:00,4,0.66666666666666663,599.47152938924,2885.5006581445828,0.9626814674866776
Q2,2025-02-08 08:20:00,2025-02-08 08:40:00,3,0.5,124.16516736869517,675.02517092071207,1.0873019949569225
Q2,2025-02-09 04:10:00,2025-02-09 04:10:00,1,0.16666666666666666,5.8498661382418504,12.872630437201192,0.44009999999999999
Q2,2025-02-09 10:30:00,2025-02-09 10:50:00,3,0.5,512.616454534333,2381.1350628997684,0.92901234122998277
Q2,2025-02-09 13:10:00,2025-02-09 13:10:00,1,0.16666666666666666,19.016529497599237,82.113374370633508,0.86360000000000003
Q2,2025-02-09 17:20:00,2025-02-09 17:20:00,1,0.16666666666666666,0.14555941409082607,0.70901990603641374,0.97419999999999995
Q2,2025-02-09 20:50:00,2025-02-09 21:00:00,2,0.33333333333333331,34.10388815253539,191.97506045060828,1.1258250648252623
Q2,2025-02-09 21:30:00,2025-02-09 21:40:00,2,0.33333333333333331,30.504462102141069,148.4571423562785,0.97334705892655937
Q2,2025-02-10 04:40:00,2025-02-10 04:40:00,1,0.16666666666666666,17.983673226973451,39.501138243047194,0.43930000000000002
Q2,2025-02-11 17:20:00,2025-02-11 17:30:00,2,0.33333333333333331,36.906316895728196,181.29973154312722,0.98248618010491406
Q2,2025-02-11 21:00:00,2025-02-11 21:00:00,1,0.16666666666666666,15.672002195648158,73.125562244894311,0.93320000000000003
Q2,2025-02-11 21:20:00,2025-02-11 21:40:00,3,0.5,39.112757857631777,189.96083954559299,0.9713497587515546
Q2,2025-02-12 15:40:00,2025-02-12 15:40:00,1,0.16666666666666666,0.39318753520046812,1.4811374451001633,0.75339999999999996
Q2,2025-02-12 20:00:00,2025-02-12 20:00:00,1,0.16666666666666666,0.89681815429037215,6.0454511780713993,1.3482000000000001
Q2,2025-02-13 01:50:00,2025-02-13 01:50:00,1,0.16666666666666666,10.731696026168834,23.250219440694778,0.43329999999999996
Q2,2025-02-13 19:40:00,2025-02-13 19:50:00,2,0.33333333333333331,25.318041767173099,170.68937306272733,1.3483615726081943
Q2,2025-02-15 06:10:00,2025-02-15 06:10:00,1,0.16666666666666666,10.43605748254646,48.88249324824762,0.93680000000000008
Q2,2025-02-16 04:30:00,2025-02-16 04:30:00,1,0.16666666666666666,52.879483499613343,115.38303299615632,0.43639999999999995
Q2,2025-02-16 05:00:00,2025-02-16 05:00:00,1,0.16666666666666666,7.3411490688512231,16.132175078800561,0.4395
Q2,2025-02-16 06:50:00,2025-02-16 06:50:00,1,0.16666666666666666,38.939170032465881,164.36223670703848,0.84419999999999984
Q2,2025-02-16 09:50:00,2025-02-16 10:50:00,7,1.1666666666666667,1220.095421760685,5896.0128697444234,0.96648389373284493
Q2,2025-02-16 16:40:00,2025-02-16 17:00:00,3,0.5,81.797162010448915,376.13518767799417,0.91967784317491608
Q2,2025-02-16 17:50:00,2025-02-16 17:50:00,1,0.16666666666666666,28.336293013552563,152.19422977579083,1.0742
Q2,2025-02-16 20:40:00,2025-02-16 20:50:00,2,0.33333333333333331,101.28452524045542,702.75028746959879,1.3876755324690089
Q2,2025-02-16 21:50:00,2025-02-16 21:50:00,1,0.16666666666666666,17.097419807990928,66.372183694620773,0.77639999999999998
Q2,2025-02-17 02:20:00,2025-02-17 02:20:00,1,0.16666666666666666,3.8227354555323245,8.2647540548608855,0.43240000000000001
Q2,2025-02-18 01:00:00,2025-02-18 01:00:00,1,0.16666666666666666,2.7921472739764113,5.9821755344944609,0.42849999999999994
Q2,2025-02-18 04:00:00,2025-02-18 04:00:00,1,0.16666666666666666,12.66705651862037,27.728186719259991,0.43780000000000002
Q2,2025-02-18 08:40:00,2025-02-18 08:40:00,1,0.16666666666666666,12.554147946412513,66.599754855718373,1.0609999999999999
Q2,2025-02-19 01:00:00,2025-02-19 01:00:00,1,0.16666666666666666,5.0450486117205173,10.809016650611209,0.42849999999999994
Q2,2025-02-19 01:30:00,2025-02-19 01:30:00,1,0.16666666666666666,8.5485967876577433,18.289722827193742,0.4279
Q2,2025-02-19 02:00:00,2025-02-19 02:00:00,1,0.16666666666666666,14.104838028938616,30.402978371377188,0.43109999999999998
Q2,2025-02-19 02:30:00,2025-02-19 02:30:00,1,0.16666666666666666,0.87376265431419142,1.9078607556950369,0.43669999999999998
Q2,2025-02-19 05:00:00,2025-02-19 05:10:00,2,0.33333333333333331,16.474444147106283,35.958595515587639,0.43653789098436713
Q2,2025-02-19 06:30:00,2025-02-19 06:30:00,1,0.16666666666666666,3.1160031462832194,13.64653577914736,0.87590000000000001
Q2,2025-02-19 08:40:00,2025-02-19 09:00:00,3,0.5,18.505019423403155,96.572617421579835,1.0437451073349884
Q2,2025-02-19 09:30:00,2025-02-19 10:10:00,5,0.83333333333333337,795.10838635185337,3846.3605555101781,0.96750597064085708
Q2,2025-02-19 10:30:00,2025-02-19 10:40:00,2,0.33333333333333331,63.078592721424052,302.69580980971227,0.95974179749544253
Q2,2025-02-19 15:30:00,2025-02-19 15:30:00,1,0.16666666666666666,0.0018872830654004247,0.0068961323209731518,0.73080000000000001
Q2,2025-02-19 20:00:00,2025-02-19 20:00:00,1,0.16666666666666666,10.82143986977178,72.947326162131574,1.3482000000000001
Q2,2025-02-19 23:50:00,2025-02-19 23:50:00,1,0.16666666666666666,21.040065371485753,44.931059600807821,0.42709999999999992
Q2,2025-02-20 01:10:00,2025-02-20 01:10:00,1,0.16666666666666666,4.7170013744637345,10.16749646265658,0.43110000000000004
Q2,2025-02-20 04:10:00,2025-02-20 04:10:00,1,0.16666666666666666,0.93529843677197277,2.0581242101167261,0.44009999999999999
Q2,2025-02-20 10:10:00,2025-02-20 10:40:00,4,0.66666666666666663,411.03011400902113,1983.2809595134745,0.96502951580328555
Q2,2025-02-20 17:10:00,2025-02-20 17:10:00,1,0.16666666666666666,2.6429971223560642,12.50401938586654,0.94620000000000004
Q2,2025-02-20 18:30:00,2025-02-20 18:30:00,1,0.16666666666666666,1.3231841914686129,8.2996728409868741,1.2544999999999999
Q2,2025-02-20 23:10:00,2025-02-20 23:10:00,1,0.16666666666666666,2.1722967837893066,4.6139583687684871,0.42480000000000001
Q2,2025-02-22 00:00:00,2025-02-22 00:00:00,1,0.16666666666666666,7.9432764718662252,16.98272509684999,0.42759999999999998
Q2,2025-02-22 03:30:00,2025-02-22 03:30:00,1,0.16666666666666666,8.2621270735801566,17.994912766257581,0.43559999999999999
Q2,2025-02-22 07:50:00,2025-02-22 08:20:00,4,0.66666666666666663,249.33219842931737,1395.9240068583001,1.1197302359278136
Q2,2025-02-22 16:00:00,2025-02-22 16:00:00,1,0.16666666666666666,0.083509860195562169,0.3363359619376266,0.80549999999999988
Q2,2025-02-22 17:50:00,2025-02-22 17:50:00,1,0.16666666666666666,4.1406686294149182,22.239531208587529,1.0742
Q2,2025-02-23 00:00:00,2025-02-23 00:00:00,1,0.16666666666666666,15.851599460379816,33.890719646292048,0.42759999999999998
Q2,2025-02-23 03:20:00,2025-02-23 03:20:00,1,0.16666666666666666,4.0195820253213697,8.7847965163398527,0.43709999999999999
Q2,2025-02-23 04:40:00,2025-02-23 04:40:00,1,0.16666666666666666,11.633098312493416,25.552100443391794,0.43930000000000002
Q2,2025-02-23 05:10:00,2025-02-23 05:20:00,2,0.33333333333333331,54.080840021666177,119.70287884089812,0.442681285249793
