scenario,t,interval,price_yuan_per_kwh,mu_yuan_per_kwh,lambda_yuan_per_kwh,charge_threshold,discharge_threshold,charge_gain,discharge_gain,tendency,actual_action,fixed_u,mode_blocks_tendency,E_min_active,E_max_active,charge_max_active,discharge_max_active
main_l100_pv100,1,00:00-00:10,0.4248,0.4248,0.47544444444444445,0.4279,0.5282716049382716,0.0030999999999999917,-0.10347160493827162,charge,charge,1,0,0,0,1,0
main_l100_pv100,2,00:10-00:20,0.4245,0.4245,0.47544444444444445,0.4279,0.5282716049382716,0.003400000000000014,-0.10377160493827164,charge,charge,1,0,0,0,1,0
main_l100_pv100,3,00:20-00:30,0.4269,0.4269,0.47544444444444445,0.4279,0.5282716049382716,0.0010000000000000009,-0.10137160493827163,charge,charge,1,0,0,0,1,0
main_l100_pv100,4,00:30-00:40,0.4272,0.4272,0.47544444444444445,0.4279,0.5282716049382716,0.0006999999999999784,-0.10107160493827161,charge,charge,1,0,0,0,1,0
main_l100_pv100,5,00:40-00:50,0.4271,0.4271,0.47544444444444445,0.4279,0.5282716049382716,0.0008000000000000229,-0.10117160493827165,charge,charge,1,0,0,0,1,0
main_l100_pv100,6,00:50-01:00,0.4285,0.4285,0.47544444444444445,0.4279,0.5282716049382716,-0.0005999999999999894,-0.09977160493827164,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,7,01:00-01:10,0.4311,0.4311,0.47544444444444445,0.4279,0.5282716049382716,-0.0031999999999999806,-0.09717160493827165,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,8,01:10-01:20,0.4302,0.4302,0.47544444444444445,0.4279,0.5282716049382716,-0.0023000000000000242,-0.0980716049382716,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,9,01:20-01:30,0.4279,0.4279,0.47544444444444445,0.4279,0.5282716049382716,0.0,-0.10037160493827163,indifferent_boundary,charge,1,0,0,0,0,0
main_l100_pv100,10,01:30-01:40,0.4312,0.4312,0.47544444444444445,0.4279,0.5282716049382716,-0.003300000000000025,-0.0970716049382716,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,11,01:40-01:50,0.4333,0.4333,0.47544444444444445,0.4279,0.5282716049382716,-0.005400000000000016,-0.09497160493827161,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,12,01:50-02:00,0.4311,0.4311,0.47544444444444445,0.4279,0.5282716049382716,-0.0031999999999999806,-0.09717160493827165,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,13,02:00-02:10,0.4293,0.4293,0.47544444444444445,0.4279,0.5282716049382716,-0.0014000000000000123,-0.09897160493827162,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,14,02:10-02:20,0.4324,0.4324,0.47544444444444445,0.4279,0.5282716049382716,-0.004500000000000004,-0.09587160493827163,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,15,02:20-02:30,0.4367,0.4367,0.47544444444444445,0.4279,0.5282716049382716,-0.008799999999999975,-0.09157160493827166,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,16,02:30-02:40,0.4348,0.4348,0.47544444444444445,0.4279,0.5282716049382716,-0.006900000000000017,-0.09347160493827161,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,17,02:40-02:50,0.4335,0.4335,0.47544444444444445,0.4279,0.5282716049382716,-0.005599999999999994,-0.09477160493827164,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,18,02:50-03:00,0.4357,0.4357,0.47544444444444445,0.4279,0.5282716049382716,-0.007799999999999974,-0.09257160493827166,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,19,03:00-03:10,0.4374,0.4374,0.47544444444444445,0.4279,0.5282716049382716,-0.009500000000000008,-0.09087160493827162,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,20,03:10-03:20,0.4371,0.4371,0.47544444444444445,0.4279,0.5282716049382716,-0.009199999999999986,-0.09117160493827164,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,21,03:20-03:30,0.4356,0.4356,0.47544444444444445,0.4279,0.5282716049382716,-0.007699999999999985,-0.09267160493827165,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,22,03:30-03:40,0.4353,0.4353,0.47544444444444445,0.4279,0.5282716049382716,-0.007400000000000018,-0.09297160493827161,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,23,03:40-03:50,0.436,0.436,0.47544444444444445,0.4279,0.5282716049382716,-0.008099999999999996,-0.09227160493827163,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,24,03:50-04:00,0.4378,0.4378,0.47544444444444445,0.4279,0.5282716049382716,-0.00990000000000002,-0.09047160493827161,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,25,04:00-04:10,0.4401,0.4401,0.47544444444444445,0.4279,0.5282716049382716,-0.012199999999999989,-0.08817160493827164,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,26,04:10-04:20,0.4389,0.4389,0.47544444444444445,0.4279,0.5282716049382716,-0.01100000000000001,-0.08937160493827162,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,27,04:20-04:30,0.4364,0.4364,0.47544444444444445,0.4279,0.5282716049382716,-0.008500000000000008,-0.09187160493827162,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,28,04:30-04:40,0.4393,0.4393,0.47544444444444445,0.4279,0.5282716049382716,-0.011400000000000021,-0.08897160493827161,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,29,04:40-04:50,0.4422,0.4422,0.47544444444444445,0.4279,0.5282716049382716,-0.01429999999999998,-0.08607160493827165,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,30,04:50-05:00,0.4395,0.4395,0.47544444444444445,0.4279,0.5282716049382716,-0.0116,-0.08877160493827163,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,31,05:00-05:10,0.4333,0.4333,0.47544444444444445,0.4279,0.5282716049382716,-0.005400000000000016,-0.09497160493827161,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,32,05:10-05:20,0.4439,0.4439,0.47544444444444445,0.4279,0.5282716049382716,-0.016000000000000014,-0.08437160493827162,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,33,05:20-05:30,0.4301,0.4301,0.47544444444444445,0.4279,0.5282716049382716,-0.0021999999999999797,-0.09817160493827165,idle_band,idle,0,0,0,0,0,0
main_l100_pv100,34,05:30-05:40,0.3713,0.3713,0.47544444444444445,0.4279,0.5282716049382716,0.056599999999999984,-0.1569716049382716,charge,charge,1,0,0,1,1,0
main_l100_pv100,35,05:40-05:50,0.5708,0.5708,0.5316666666666666,0.4785,0.5907407407407407,-0.0923,-0.019940740740740703,idle_band,idle,0,0,0,1,0,0
main_l100_pv100,36,05:50-06:00,0.9099,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,37,06:00-06:10,0.9368,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,38,06:10-06:20,0.8758,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,39,06:20-06:30,0.8759,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,40,06:30-06:40,0.8601,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,41,06:40-06:50,0.8442,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,42,06:50-07:00,0.8334,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,43,07:00-07:10,0.8092,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,44,07:10-07:20,0.7972,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,45,07:20-07:30,0.7644,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,46,07:30-07:40,0.6899,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,47,07:40-07:50,0.86,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,48,07:50-08:00,1.1617,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,49,08:00-08:10,1.1683,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,50,08:10-08:20,1.0956,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,51,08:20-08:30,1.0849,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,52,08:30-08:40,1.061,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
main_l100_pv100,53,08:40-08:50,1.043,0.5907407407407407,0.5316666666666666,0.4785,0.5907407407407407,-0.1122407407407407,0.0,indifferent_boundary,discharge,0,0,0,0,0,0
