month,horizon,nominal,n,covered,width_sum,coverage,bias_pp,mean_width_kwh
2,0,0.80000000000000004,4032,3178,385966.57694281178,0.78819444444444442,-1.1805555555555625,95.725837535419586
2,0,0.90000000000000002,4032,3471,476122.08069811744,0.86086309523809523,-3.9136904761904789,118.08583350647754
2,1,0.80000000000000004,4032,3141,386510.00746611733,0.7790178571428571,-2.0982142857142949,95.860616931080685
2,1,0.90000000000000002,4032,3460,477352.54406646936,0.85813492063492058,-4.1865079365079438,118.39100795299339
2,2,0.80000000000000004,1440,1081,134774.94614132278,0.75069444444444444,-4.9305555555555607,93.593712598140826
2,2,0.90000000000000002,1440,1178,165337.42072905644,0.81805555555555554,-8.1944444444444482,114.81765328406696
3,0,0.80000000000000004,4464,3331,488751.30992635823,0.74619175627240142,-5.3808243727598626,109.48730061074333
3,0,0.90000000000000002,4464,3699,606745.32593630033,0.8286290322580645,-7.1370967741935516,135.9196518674508
3,1,0.80000000000000004,4464,3343,497371.93536153843,0.74887992831541217,-5.1120071684587876,111.4184443014199
3,1,0.90000000000000002,4464,3722,630630.50260898948,0.83378136200716846,-6.6218637992831564,141.27027388194207
3,2,0.80000000000000004,3600,2707,415124.95991327637,0.75194444444444442,-4.8055555555555625,115.31248886479899
3,2,0.90000000000000002,3600,3005,528355.16581104475,0.83472222222222225,-6.5277777777777768,146.76532383640131
4,0,0.80000000000000004,4320,3319,509260.09664766112,0.76828703703703705,-3.1712962962962998,117.88428163140304
4,0,0.90000000000000002,4320,3638,607489.14304294996,0.84212962962962967,-5.7870370370370345,140.62248681549767
4,1,0.80000000000000004,4320,3301,522236.88836843072,0.76412037037037039,-3.587962962962965,120.88816860380341
4,1,0.90000000000000002,4320,3602,624369.89704022161,0.83379629629629626,-6.6203703703703765,144.53006875931055
4,2,0.80000000000000004,4176,3199,525611.53629907779,0.76604406130268199,-3.3955938697318055,125.86483148924276
4,2,0.90000000000000002,4176,3489,621452.63736713293,0.83548850574712641,-6.4511494252873618,148.81528672584602
5,0,0.80000000000000004,4464,3395,625052.1895836154,0.76052867383512546,-3.9471326164874587,140.0206517884443
5,0,0.90000000000000002,4464,3742,752957.32538259868,0.83826164874551967,-6.1738351254480346,168.67323597280435
