origin,month,horizon,nominal,n,covered,width_sum
2025-02-01,2,0,0.80000000000000004,144,91,13656.188430576487
2025-02-01,2,0,0.90000000000000002,144,113,18648.995855323159
2025-02-01,2,1,0.80000000000000004,144,94,13429.760504377929
2025-02-01,2,1,0.90000000000000002,144,120,18469.780887891415
2025-02-01,2,2,0.80000000000000004,144,105,13048.469083051405
2025-02-01,2,2,0.90000000000000002,144,121,18013.43979666958
2025-02-02,2,0,0.80000000000000004,144,99,14130.247894684362
2025-02-02,2,0,0.90000000000000002,144,120,19219.386180524325
2025-02-02,2,1,0.80000000000000004,144,109,14289.990374383742
2025-02-02,2,1,0.90000000000000002,144,124,19207.64753455724
2025-02-03,2,0,0.80000000000000004,144,121,14643.796281754903
2025-02-03,2,0,0.90000000000000002,144,129,19518.28976516749
2025-02-03,2,1,0.80000000000000004,144,107,14664.630274133506
2025-02-03,2,1,0.90000000000000002,144,126,19464.052940914502
2025-02-04,2,0,0.80000000000000004,144,111,14981.91208348926
2025-02-04,2,0,0.90000000000000002,144,126,19763.75960868099
2025-02-04,2,1,0.80000000000000004,144,124,14881.164772284201
2025-02-04,2,1,0.90000000000000002,144,132,19766.374925944205
2025-02-05,2,0,0.80000000000000004,144,121,13546.011292113481
2025-02-05,2,0,0.90000000000000002,144,134,17729.64079405845
2025-02-05,2,1,0.80000000000000004,144,116,13482.997331075236
2025-02-05,2,1,0.90000000000000002,144,133,17748.177036223882
2025-02-06,2,0,0.80000000000000004,144,115,12528.412711514637
2025-02-06,2,0,0.90000000000000002,144,129,15360.396528602952
2025-02-06,2,1,0.80000000000000004,144,89,12351.247687800147
2025-02-06,2,1,0.90000000000000002,144,103,15379.213945254422
2025-02-07,2,0,0.80000000000000004,144,86,12528.417766276538
2025-02-07,2,0,0.90000000000000002,144,101,15360.392340507715
2025-02-07,2,1,0.80000000000000004,144,103,12351.258026575657
2025-02-07,2,1,0.90000000000000002,144,115,15379.355895594555
2025-02-07,2,2,0.80000000000000004,144,114,12170.453200925193
2025-02-07,2,2,0.90000000000000002,144,124,15035.37038299429
2025-02-08,2,0,0.80000000000000004,144,108,12754.661230068152
2025-02-08,2,0,0.90000000000000002,144,117,15514.217480240424
2025-02-08,2,1,0.80000000000000004,144,114,12621.236608847365
2025-02-08,2,1,0.90000000000000002,144,124,15499.133300100493
2025-02-08,2,2,0.80000000000000004,144,104,12710.097964722125
2025-02-08,2,2,0.90000000000000002,144,119,15602.212233365786
2025-02-09,2,0,0.80000000000000004,144,115,13351.192546875787
2025-02-09,2,0,0.90000000000000002,144,124,16353.573458232617
2025-02-09,2,1,0.80000000000000004,144,110,13281.788579527172
2025-02-09,2,1,0.90000000000000002,144,122,16322.814549141685
2025-02-10,2,0,0.80000000000000004,144,108,13523.412654574115
2025-02-10,2,0,0.90000000000000002,144,121,16525.877280463515
2025-02-10,2,1,0.80000000000000004,144,120,13442.912332259963
2025-02-10,2,1,0.90000000000000002,144,131,16531.046483880094
2025-02-11,2,0,0.80000000000000004,144,128,13678.575661010073
2025-02-11,2,0,0.90000000000000002,144,135,16694.516457313723
