id,question,parameter,value,date,role,status,started_at,total_cost,planned_cost,adjustment_cost,emergency_kwh,emergency_cost,min_soc,final_soc,charge_kwh,discharge_kwh,throughput_kwh,seconds,reliable,max_gap,nodes,certified_nodes,history_sha256,physical_verified,delta_cost_pct,delta_emergency_kwh,delta_emergency_pct,emergency_pct_defined,status_label,signature,dispatch_sha256,audit_sha256,optional,soc_upper_fraction,soc_lower_fraction
q3_lambda_E_0.8_2025-03-12,q3,lambda_E,0.80000000000000004,2025-03-12,常规日,complete,1789277572.3962231,38598.886906270833,40059.480690581913,-1584.1023412612444,44.268634217464935,123.50855695016783,1222.516046208061,1273.0289364561947,12034.501915022125,17675.560203188892,29710.062118211019,6.9225795420061331,True,0.024352622284853975,4,4,,True,-9.2762469437250008,7.5762790806207505,20.648113353217607,True,完成 / 已认证,37e59d4db2547aa11f77354f3ab4136bff684d5919f4f62d936e62fb3ef05645,495b37c44dacd71e97696b5a4a6a5a9d3c48d556bfbc5ec91cca710387e4f86a,035983b04b45e5338402b046e0ddb03a2086e63eea81eed44216d485f32cb1d5,,0.083333333333333329,0
baseline_q3_lambda_E_0.8_2025-03-12,q3,lambda_E,1,2025-03-12,常规日,baseline_reused,,42545.513832886019,44005.404538370101,-1611.0778999291633,36.692355136844185,151.18719444508554,1248.9056517417532,9669.3764088815515,21233.962705587466,17570.410718364004,38804.373423951474,36.909480917980545,False,,4,3,,True,0,0,0,True,,,,,,0.083333333333333329,0
q3_lambda_E_1.2_2025-03-12,q3,lambda_E,1.2,2025-03-12,常规日,limited,1789277579.437923,42927.724828422688,44364.177626031145,-1615.4767714744389,46.924424884713815,179.02397386597858,1248.9056517417514,10394.733894400406,22014.975136542656,17550.209050470738,39565.184187013394,38.720484916004352,False,0.039743577915755654,4,3,,True,0.89835792567449135,10.23206974786963,27.886107909151953,True,限时可行 / 未认证,cd0cef59c02baa385227f013c3f7fe160aed4450414644a09f7cf7e77ce83fa9,4ccbb5467094fd8f2572b5ec1fa8c1ca8029eeec096b3a25342fa6334f1171ae,3e2e92f524f74d50667a17d41eb7cb35d395f67d83c2092dbf5c294be464d0f7,,0.083333333333333329,0
q3_lambda_E_0.8_2025-08-25,q3,lambda_E,0.80000000000000004,2025-08-25,高预测更新日,complete,1789277618.1713121,49869.725346711348,54825.277690638453,-5047.7970018876777,21.062828624400709,92.244657960562904,1710.6855926034459,1881.980930472783,11981.329252945521,16863.147027594638,28844.476280540159,21.353286416997435,True,0.02641837189936656,4,4,,True,-7.1310764831213991,-1.5925083799595541,-7.0292857689693991,True,完成 / 已认证,733d508f428a4030df6d7ad71aae9c13f018eac4a09f79f42147ba4d5fd57476,a28769c40457f89c1d2c535f97988ad3c8adfc3dcacf88a2a8d8fb471fa08713,023e93869e42edadc9ea20ed27337a4f0538e673b9acee6a57ebe8173a88f99e,,0.090277777777777776,0
baseline_q3_lambda_E_0.8_2025-08-25,q3,lambda_E,1,2025-08-25,高预测更新日,baseline_reused,,53699.045340659839,58660.591820442132,-5057.2954524329562,22.655337004360263,95.748972650663902,1710.6855926034459,10077.809874267907,20788.933845525811,16621.060698169058,37409.994543694869,44.327987332988414,False,,4,2,,True,0,0,0,True,,,,,,0.10416666666666667,0
q3_lambda_E_1.2_2025-08-25,q3,lambda_E,1.2,2025-08-25,高预测更新日,limited,1789277639.536185,53855.045186739037,58802.229588123024,-5039.4290593445448,21.062828624400709,92.244657960562904,1710.8481525406874,10382.51892669693,21119.009985466386,16614.184224334811,37733.194209801193,29.220580499997595,False,0.05376192045321497,4,3,,True,0.29050767120635873,-1.5925083799595541,-7.0292857689693991,True,限时可行 / 未认证,4570dec4a73c1fe81b55809dd8cb278d91ed5dffe5cd3c976450004cf47831bd,5766e58626f78ec24f6a95db927f752b0e98a62aadcf37a9e48b8d5134a3bc42,059cdd7becdcf2f92c6e559cff3f16344729dfa8405acb60f18428c226e64407,,0.097222222222222224,0
q3_lambda_E_0.8_2025-07-01,q3,lambda_E,0.80000000000000004,2025-07-01,高调整成本日,limited,1789277668.7701828,75214.409941420105,39045.251092453596,12224.046184125305,5008.4399282733393,23945.112664841196,1200,1200,9298.7565148893573,15400.84729263679,24699.603807526146,52.747886458993889,False,0.055202398986987741,4,1,,True,-1.9050706064226983,453.16607587901217,9.9481631744449484,True,限时可行 / 未认证,43af63f761dc791b0a68392645f62c0c15f23ef0c167ca7dc4e6c6a2ac1691ae,cb3a4da828b4c7fb688197585f75ccb416c11da04786941209307190d3f7aeb6,80b805c3824049c4ee9a5f85ccf2c7eb898e6fc2daa801704b82031310ff9029,,0,0.125
baseline_q3_lambda_E_0.8_2025-07-01,q3,lambda_E,1,2025-07-01,高调整成本日,baseline_reused,,76675.125214315834,41952.854882816144,12224.592278422484,4555.2738523943272,22497.678053077208,1200,6684.4687314379426,14686.450760168836,14828.857773019021,29515.308533187857,51.874550501015619,False,,4,1,,True,0,0,0,True,,,,,,0,0.090277777777777776
q3_lambda_E_1.2_2025-07-01,q3,lambda_E,1.2,2025-07-01,高调整成本日,limited,1789277721.5302479,76954.605977273575,42212.550947719486,12224.917060177653,4385.3362484281406,22517.137969376432,1200,7289.0367962438431,15315.249006103915,14794.073093901119,30109.322100005033,52.882236583012855,False,0.073073023646022764,4,1,,True,0.36449991072927468,-169.93760396618654,-3.7305683362343744,True,限时可行 / 未认证,7e90f0e27944e1539c172c47a29c23263021ee1cc0d860f3ff92ba8170654cd1,a58f0fa618720d3286a07387110e383bdeda888e36ffad39de1a245adb0257ee,e240f6e6ebc657233a828bd2205d51ece1df629fa1bee3a8920826c0260221db,,0,0.083333333333333329
q3_lambda_E_0.8_2025-07-02,q3,lambda_E,0.80000000000000004,2025-07-02,高风险日,limited,1789277774.4251981,65243.174723198092,41921.515038467289,4305.3569729227402,3644.470526051743,19016.302711808072,1200,1200,10771.771095279793,13661.156445470777,24432.92754075057,53.092882458004169,False,0.066769374462578954,4,2,,True,-4.9752844664496996,-325.78156784281919,-8.2055637812975348,True,限时可行 / 未认证,d36e650aca3a413e68683d790362cf436e8b64f245949d10d432116b5a7abdb0,5404227942c3ccb6b0fc3ef7be57656657a1cd99463aba4d38e13c99c08169b4,e544d60274531530968a9b73d544b23d7a0030e84004860d1e31f0112ac533da,,0,0.1388888888888889
