model,nominal_fraction,actual_days,share,total_emergency_cost
Q2,0.050000000000000003,17,0.61167492053057593,677182.5457146971
Q2,0.10000000000000001,34,0.80451771084713231,677182.5457146971
Q2,0.20000000000000001,67,0.93841047242899911,677182.5457146971
Q3,0.050000000000000003,17,0.72294286604655467,257054.28226405819
Q3,0.10000000000000001,34,0.84331193444556307,257054.28226405819
Q3,0.20000000000000001,67,0.91771368456807967,257054.28226405819
Q4-2,0.050000000000000003,17,0.30412052656594202,877249.85745699645
Q4-2,0.10000000000000001,34,0.45006270566161416,877249.85745699645
Q4-2,0.20000000000000001,67,0.6368165989537049,877249.85745699645
Q4-3,0.050000000000000003,17,0.31096101346330968,586154.8358490509
Q4-3,0.10000000000000001,34,0.42140829557323789,586154.8358490509
Q4-3,0.20000000000000001,67,0.55996108816834034,586154.8358490509
