model,slot0,soc_low,soc_high,count,probability
Q2,0,1200,1600,0,0
Q2,0,1600,2000,2,0.0059880239520958087
Q2,0,2000,2400,4,0.011976047904191617
Q2,0,2400,2800,4,0.011976047904191617
Q2,0,2800,3200,4,0.011976047904191617
Q2,0,3200,3600,4,0.011976047904191617
Q2,0,3600,4000,7,0.020958083832335328
Q2,0,4000,4400,9,0.026946107784431138
Q2,0,4400,4800,6,0.017964071856287425
Q2,0,4800,5200,5,0.014970059880239521
Q2,0,5200,5600,5,0.014970059880239521
Q2,0,5600,6000,6,0.017964071856287425
Q2,0,6000,6400,5,0.014970059880239521
Q2,0,6400,6800,8,0.023952095808383235
Q2,0,6800,7200,4,0.011976047904191617
Q2,0,7200,7600,3,0.0089820359281437123
Q2,0,7600,8000,7,0.020958083832335328
Q2,0,8000,8400,17,0.05089820359281437
Q2,0,8400,8800,107,0.32035928143712578
Q2,0,8800,9200,59,0.17664670658682635
Q2,0,9200,9600,19,0.056886227544910177
Q2,0,9600,10000,12,0.035928143712574849
Q2,0,10000,10400,17,0.05089820359281437
Q2,0,10400,10800,20,0.059880239520958084
Q2,1,1200,1600,0,0
Q2,1,1600,2000,1,0.0029940119760479044
Q2,1,2000,2400,1,0.0029940119760479044
Q2,1,2400,2800,6,0.017964071856287425
Q2,1,2800,3200,2,0.0059880239520958087
Q2,1,3200,3600,5,0.014970059880239521
Q2,1,3600,4000,8,0.023952095808383235
Q2,1,4000,4400,8,0.023952095808383235
Q2,1,4400,4800,3,0.0089820359281437123
Q2,1,4800,5200,7,0.020958083832335328
Q2,1,5200,5600,4,0.011976047904191617
Q2,1,5600,6000,8,0.023952095808383235
Q2,1,6000,6400,4,0.011976047904191617
Q2,1,6400,6800,3,0.0089820359281437123
Q2,1,6800,7200,6,0.017964071856287425
Q2,1,7200,7600,6,0.017964071856287425
Q2,1,7600,8000,5,0.014970059880239521
Q2,1,8000,8400,5,0.014970059880239521
Q2,1,8400,8800,14,0.041916167664670656
Q2,1,8800,9200,33,0.09880239520958084
Q2,1,9200,9600,133,0.39820359281437123
Q2,1,9600,10000,31,0.092814371257485026
Q2,1,10000,10400,19,0.056886227544910177
Q2,1,10400,10800,22,0.065868263473053898
Q2,2,1200,1600,0,0
Q2,2,1600,2000,0,0
Q2,2,2000,2400,2,0.0059880239520958087
Q2,2,2400,2800,5,0.014970059880239521
Q2,2,2800,3200,2,0.0059880239520958087
Q2,2,3200,3600,5,0.014970059880239521
Q2,2,3600,4000,9,0.026946107784431138
Q2,2,4000,4400,8,0.023952095808383235
Q2,2,4400,4800,3,0.0089820359281437123
Q2,2,4800,5200,5,0.014970059880239521
Q2,2,5200,5600,3,0.0089820359281437123
Q2,2,5600,6000,7,0.020958083832335328
Q2,2,6000,6400,5,0.014970059880239521
Q2,2,6400,6800,5,0.014970059880239521
Q2,2,6800,7200,3,0.0089820359281437123
Q2,2,7200,7600,5,0.014970059880239521
Q2,2,7600,8000,5,0.014970059880239521
Q2,2,8000,8400,7,0.020958083832335328
Q2,2,8400,8800,7,0.020958083832335328
Q2,2,8800,9200,29,0.086826347305389226
Q2,2,9200,9600,124,0.3712574850299401
Q2,2,9600,10000,51,0.15269461077844312
Q2,2,10000,10400,18,0.053892215568862277
Q2,2,10400,10800,26,0.077844311377245512
Q2,3,1200,1600,0,0
Q2,3,1600,2000,0,0
Q2,3,2000,2400,2,0.0059880239520958087
Q2,3,2400,2800,4,0.011976047904191617
Q2,3,2800,3200,3,0.0089820359281437123
Q2,3,3200,3600,5,0.014970059880239521
Q2,3,3600,4000,9,0.026946107784431138
Q2,3,4000,4400,8,0.023952095808383235
Q2,3,4400,4800,3,0.0089820359281437123
Q2,3,4800,5200,5,0.014970059880239521
Q2,3,5200,5600,1,0.0029940119760479044
Q2,3,5600,6000,6,0.017964071856287425
Q2,3,6000,6400,5,0.014970059880239521
Q2,3,6400,6800,4,0.011976047904191617
Q2,3,6800,7200,5,0.014970059880239521
Q2,3,7200,7600,6,0.017964071856287425
Q2,3,7600,8000,5,0.014970059880239521
Q2,3,8000,8400,4,0.011976047904191617
Q2,3,8400,8800,9,0.026946107784431138
Q2,3,8800,9200,25,0.074850299401197598
Q2,3,9200,9600,115,0.34431137724550898
Q2,3,9600,10000,62,0.18562874251497005
Q2,3,10000,10400,20,0.059880239520958084
Q2,3,10400,10800,28,0.083832335329341312
Q2,4,1200,1600,0,0
Q2,4,1600,2000,0,0
Q2,4,2000,2400,2,0.0059880239520958087
Q2,4,2400,2800,2,0.0059880239520958087
Q2,4,2800,3200,5,0.014970059880239521
Q2,4,3200,3600,4,0.011976047904191617
Q2,4,3600,4000,9,0.026946107784431138
Q2,4,4000,4400,6,0.017964071856287425
Q2,4,4400,4800,4,0.011976047904191617
Q2,4,4800,5200,7,0.020958083832335328
Q2,4,5200,5600,0,0
Q2,4,5600,6000,3,0.0089820359281437123
Q2,4,6000,6400,8,0.023952095808383235
Q2,4,6400,6800,3,0.0089820359281437123
Q2,4,6800,7200,4,0.011976047904191617
Q2,4,7200,7600,6,0.017964071856287425
Q2,4,7600,8000,7,0.020958083832335328
Q2,4,8000,8400,1,0.0029940119760479044
Q2,4,8400,8800,11,0.032934131736526949
Q2,4,8800,9200,20,0.059880239520958084
Q2,4,9200,9600,110,0.32934131736526945
Q2,4,9600,10000,73,0.21856287425149701
Q2,4,10000,10400,17,0.05089820359281437
Q2,4,10400,10800,32,0.09580838323353294
Q2,5,1200,1600,0,0
Q2,5,1600,2000,0,0
Q2,5,2000,2400,2,0.0059880239520958087
Q2,5,2400,2800,2,0.0059880239520958087
Q2,5,2800,3200,4,0.011976047904191617
Q2,5,3200,3600,4,0.011976047904191617
Q2,5,3600,4000,8,0.023952095808383235
Q2,5,4000,4400,6,0.017964071856287425
Q2,5,4400,4800,6,0.017964071856287425
Q2,5,4800,5200,6,0.017964071856287425
Q2,5,5200,5600,1,0.0029940119760479044
Q2,5,5600,6000,3,0.0089820359281437123
Q2,5,6000,6400,5,0.014970059880239521
Q2,5,6400,6800,2,0.0059880239520958087
Q2,5,6800,7200,7,0.020958083832335328
Q2,5,7200,7600,4,0.011976047904191617
Q2,5,7600,8000,9,0.026946107784431138
Q2,5,8000,8400,1,0.0029940119760479044
Q2,5,8400,8800,12,0.035928143712574849
Q2,5,8800,9200,16,0.04790419161676647
Q2,5,9200,9600,102,0.30538922155688625
Q2,5,9600,10000,83,0.24850299401197604
Q2,5,10000,10400,12,0.035928143712574849
Q2,5,10400,10800,39,0.11676646706586827
Q2,6,1200,1600,0,0
Q2,6,1600,2000,0,0
Q2,6,2000,2400,2,0.0059880239520958087
Q2,6,2400,2800,2,0.0059880239520958087
Q2,6,2800,3200,4,0.011976047904191617
Q2,6,3200,3600,3,0.0089820359281437123
Q2,6,3600,4000,9,0.026946107784431138
Q2,6,4000,4400,6,0.017964071856287425
Q2,6,4400,4800,6,0.017964071856287425
Q2,6,4800,5200,5,0.014970059880239521
Q2,6,5200,5600,2,0.0059880239520958087
Q2,6,5600,6000,2,0.0059880239520958087
Q2,6,6000,6400,6,0.017964071856287425
Q2,6,6400,6800,2,0.0059880239520958087
Q2,6,6800,7200,7,0.020958083832335328
Q2,6,7200,7600,2,0.0059880239520958087
Q2,6,7600,8000,8,0.023952095808383235
Q2,6,8000,8400,4,0.011976047904191617
Q2,6,8400,8800,10,0.029940119760479042
Q2,6,8800,9200,12,0.035928143712574849
Q2,6,9200,9600,100,0.29940119760479039
Q2,6,9600,10000,86,0.25748502994011974
Q2,6,10000,10400,16,0.04790419161676647
Q2,6,10400,10800,40,0.11976047904191617
Q2,7,1200,1600,0,0
Q2,7,1600,2000,0,0
Q2,7,2000,2400,1,0.0029940119760479044
Q2,7,2400,2800,3,0.0089820359281437123
Q2,7,2800,3200,4,0.011976047904191617
Q2,7,3200,3600,3,0.0089820359281437123
Q2,7,3600,4000,7,0.020958083832335328
Q2,7,4000,4400,8,0.023952095808383235
Q2,7,4400,4800,5,0.014970059880239521
Q2,7,4800,5200,6,0.017964071856287425
Q2,7,5200,5600,2,0.0059880239520958087
Q2,7,5600,6000,2,0.0059880239520958087
Q2,7,6000,6400,5,0.014970059880239521
Q2,7,6400,6800,3,0.0089820359281437123
Q2,7,6800,7200,6,0.017964071856287425
Q2,7,7200,7600,2,0.0059880239520958087
Q2,7,7600,8000,7,0.020958083832335328
Q2,7,8000,8400,6,0.017964071856287425
Q2,7,8400,8800,8,0.023952095808383235
Q2,7,8800,9200,13,0.038922155688622756
Q2,7,9200,9600,82,0.24550898203592814
Q2,7,9600,10000,103,0.30838323353293412
Q2,7,10000,10400,18,0.053892215568862277
Q2,7,10400,10800,40,0.11976047904191617
Q2,8,1200,1600,0,0
Q2,8,1600,2000,0,0
Q2,8,2000,2400,1,0.0029940119760479044
Q2,8,2400,2800,3,0.0089820359281437123
Q2,8,2800,3200,4,0.011976047904191617
Q2,8,3200,3600,2,0.0059880239520958087
Q2,8,3600,4000,8,0.023952095808383235
Q2,8,4000,4400,8,0.023952095808383235
Q2,8,4400,4800,5,0.014970059880239521
Q2,8,4800,5200,4,0.011976047904191617
Q2,8,5200,5600,3,0.0089820359281437123
Q2,8,5600,6000,3,0.0089820359281437123
Q2,8,6000,6400,4,0.011976047904191617
Q2,8,6400,6800,2,0.0059880239520958087
Q2,8,6800,7200,4,0.011976047904191617
Q2,8,7200,7600,3,0.0089820359281437123
Q2,8,7600,8000,8,0.023952095808383235
Q2,8,8000,8400,8,0.023952095808383235
Q2,8,8400,8800,6,0.017964071856287425
Q2,8,8800,9200,14,0.041916167664670656
Q2,8,9200,9600,71,0.21257485029940121
Q2,8,9600,10000,108,0.32335329341317365
Q2,8,10000,10400,21,0.062874251497005984
Q2,8,10400,10800,44,0.1317365269461078
Q2,9,1200,1600,0,0
Q2,9,1600,2000,0,0
Q2,9,2000,2400,1,0.0029940119760479044
Q2,9,2400,2800,2,0.0059880239520958087
Q2,9,2800,3200,5,0.014970059880239521
Q2,9,3200,3600,2,0.0059880239520958087
Q2,9,3600,4000,8,0.023952095808383235
Q2,9,4000,4400,7,0.020958083832335328
Q2,9,4400,4800,5,0.014970059880239521
Q2,9,4800,5200,5,0.014970059880239521
Q2,9,5200,5600,2,0.0059880239520958087
Q2,9,5600,6000,2,0.0059880239520958087
Q2,9,6000,6400,5,0.014970059880239521
Q2,9,6400,6800,3,0.0089820359281437123
Q2,9,6800,7200,4,0.011976047904191617
Q2,9,7200,7600,3,0.0089820359281437123
