t,start_h,end_h,load_kw,pv_kw,surplus_pv_kw,price_yuan_per_kwh
1,0.0,0.16666666666666666,3439.8466,0.0,0,0.4248
2,0.16666666666666666,0.3333333333333333,3437.9792,0.0,0,0.4245
3,0.3333333333333333,0.5,3444.3031,0.0,0,0.4269
4,0.5,0.6666666666666666,3454.4437,0.0,0,0.4272
5,0.6666666666666666,0.8333333333333333,3458.8273,0.0,0,0.4271
6,0.8333333333333333,1.0,3459.8401,0.0,0,0.4285
7,1.0,1.1666666666666665,3467.1582,0.0,0,0.4311
8,1.1666666666666665,1.3333333333333333,3467.9632,0.0,0,0.4302
9,1.3333333333333333,1.5,3466.9683,0.0,0,0.4279
10,1.5,1.6666666666666665,3482.4927,0.0,0,0.4312
11,1.6666666666666665,1.8333333333333333,3495.0841,0.0,0,0.4333
12,1.8333333333333333,2.0,3498.4443,0.0,0,0.4311
13,2.0,2.1666666666666665,3505.2295,0.0,0,0.4293
14,2.1666666666666665,2.333333333333333,3512.6387,0.0,0,0.4324
15,2.333333333333333,2.5,3516.8685,0.0,0,0.4367
16,2.5,2.6666666666666665,3517.9246,0.0,0,0.4348
17,2.6666666666666665,2.833333333333333,3518.5518,0.0,0,0.4335
18,2.833333333333333,3.0,3521.0976,0.0,0,0.4357
19,3.0,3.1666666666666665,3526.9261,0.0,0,0.4374
20,3.1666666666666665,3.333333333333333,3537.2854,0.0,0,0.4371
21,3.333333333333333,3.5,3544.8808,0.0,0,0.4356
22,3.5,3.6666666666666665,3541.2787,0.0,0,0.4353
23,3.6666666666666665,3.833333333333333,3546.3976,0.0,0,0.436
24,3.833333333333333,4.0,3560.207,0.0,0,0.4378
25,4.0,4.166666666666666,3561.9581,0.0,0,0.4401
26,4.166666666666666,4.333333333333333,3556.7183,0.0,0,0.4389
27,4.333333333333333,4.5,3560.0272,0.0,0,0.4364
28,4.5,4.666666666666666,3580.654,0.5994,0,0.4393
29,4.666666666666666,4.833333333333333,3586.916,0.2345,0,0.4422
30,4.833333333333333,5.0,3571.2635,0.2885,0,0.4395
31,5.0,5.166666666666666,3562.3171,18.6781,0,0.4333
32,5.166666666666666,5.333333333333333,3591.3809,54.4698,0,0.4439
33,5.333333333333333,5.5,3579.7045,108.9718,0,0.4301
34,5.5,5.666666666666666,3486.119,184.1603,0,0.3713
35,5.666666666666666,5.833333333333333,3823.8994,277.0582,0,0.5708
36,5.833333333333333,6.0,4398.0727,388.5494,0,0.9099
37,6.0,6.166666666666666,4454.0123,521.2803,0,0.9368
38,6.166666666666666,6.333333333333333,4371.7919,672.7677,0,0.8758
39,6.333333333333333,6.5,4392.953,844.2261,0,0.8759
40,6.5,6.666666666666666,4384.5956,1039.6744,0,0.8601
41,6.666666666666666,6.833333333333333,4434.7757,1259.3375,0,0.8442
42,6.833333333333333,7.0,4523.4561,1508.6318,0,0.8334
43,7.0,7.166666666666666,4524.0721,1791.4107,0,0.8092
44,7.166666666666666,7.333333333333333,4545.8867,2085.4865,0,0.7972
45,7.333333333333333,7.5,4523.2418,2381.2611,0,0.7644
46,7.5,7.666666666666666,4383.3566,2683.1752,0,0.6899
47,7.666666666666666,7.833333333333333,4910.4599,2986.3552,0,0.86
48,7.833333333333333,8.0,5799.7327,3289.204,0,1.1617
49,8.0,8.166666666666666,5884.826,3593.3613,0,1.1683
50,8.166666666666666,8.333333333333332,5748.0713,3890.7332,0,1.0956
51,8.333333333333332,8.5,5769.0581,4181.3417,0,1.0849
52,8.5,8.666666666666666,5754.2105,4471.7657,0,1.061
53,8.666666666666666,8.833333333333332,5824.1807,4752.8272,0,1.043
54,8.833333333333332,9.0,5954.2601,5021.9074,0,1.036
55,9.0,9.166666666666666,5958.9696,5285.4126,0,1.0147
56,9.166666666666666,9.333333333333332,5929.5554,5543.1742,0,0.9922
57,9.333333333333332,9.5,5923.7828,5788.4093,0,0.97
58,9.5,9.666666666666666,5907.586,6012.1304,104.54439999999977,0.9422
59,9.666666666666666,9.833333333333332,5899.1262,6216.1528,317.02660000000014,0.9569
60,9.833333333333332,10.0,5902.2196,6409.5941,507.3744999999999,0.9977
61,10.0,10.166666666666666,5897.4793,6599.3808,701.9014999999999,0.9919
62,10.166666666666666,10.333333333333332,5886.7568,6766.7204,879.9636,0.9588
63,10.333333333333332,10.5,5873.4708,6914.5923,1041.1215000000002,0.9549
64,10.5,10.666666666666666,5858.0308,7064.2053,1206.1744999999992,0.9839
