e_max_kwh,common_power_kw,point,cost_yuan,saving_from_base_yuan
6000,1000,E6000_C1000_D1000,43304.450008387386,-8177.50141909776
8400,1000,E8400_C1000_D1000,42080.23250838739,-6953.283919097761
10800,1000,E10800_C1000_D1000,41335.20419711225,-6208.255607822626
13200,1000,E13200_C1000_D1000,41258.6780726573,-6131.7294833676715
15600,1000,E15600_C1000_D1000,41258.6780726573,-6131.7294833676715
18000,1000,E18000_C1000_D1000,41258.6780726573,-6131.7294833676715
20400,1000,E20400_C1000_D1000,41258.6780726573,-6131.7294833676715
22800,1000,E22800_C1000_D1000,41258.6780726573,-6131.7294833676715
25200,1000,E25200_C1000_D1000,41258.6780726573,-6131.7294833676715
27600,1000,E27600_C1000_D1000,41258.6780726573,-6131.7294833676715
30000,1000,E30000_C1000_D1000,41258.6780726573,-6131.7294833676715
6000,2000,E6000_C2000_D2000,40717.68448564012,-5590.735896350496
8400,2000,E8400_C2000_D2000,38582.60133857936,-3455.6527492897367
10800,2000,E10800_C2000_D2000,37585.751634875654,-2458.803045586028
13200,2000,E13200_C2000_D2000,36741.865634875656,-1614.9170455860294
15600,2000,E15600_C2000_D2000,36099.0046587722,-972.0560694825763
18000,2000,E18000_C2000_D2000,35964.409578908366,-837.4609896187394
20400,2000,E20400_C2000_D2000,35964.409578908366,-837.4609896187394
22800,2000,E22800_C2000_D2000,35964.409578908366,-837.4609896187394
25200,2000,E25200_C2000_D2000,35964.409578908366,-837.4609896187394
27600,2000,E27600_C2000_D2000,35964.409578908366,-837.4609896187394
30000,2000,E30000_C2000_D2000,35964.409578908366,-837.4609896187394
6000,3000,E6000_C3000_D3000,40116.752730096785,-4989.804140807159
8400,3000,E8400_C3000_D3000,37395.10950290679,-2268.160913617161
10800,3000,E10800_C3000_D3000,35788.44007000732,-661.4914807176901
13200,3000,E13200_C3000_D3000,34683.004070007315,443.9445192823114
15600,3000,E15600_C3000_D3000,33786.85473667397,1340.0938526156533
18000,3000,E18000_C3000_D3000,32963.8660700073,2163.082519282325
20400,3000,E20400_C3000_D3000,32287.59383238551,2839.3547569041148
22800,3000,E22800_C3000_D3000,32069.060093925513,3057.8884953641136
25200,3000,E25200_C3000_D3000,32069.060093925513,3057.8884953641136
27600,3000,E27600_C3000_D3000,32069.060093925513,3057.8884953641136
30000,3000,E30000_C3000_D3000,32069.060093925513,3057.8884953641136
6000,4000,E6000_C4000_D4000,40071.519353713455,-4944.570764423828
8400,4000,E8400_C4000_D4000,37201.00031999346,-2074.0517307038317
10800,4000,E10800_C4000_D4000,35247.87089961685,-120.92231032722339
13200,4000,E13200_C4000_D4000,33697.034099376855,1429.9144899127714
15600,4000,E15600_C4000_D4000,32385.068688260188,2741.8799010294388
18000,4000,E18000_C4000_D4000,31425.425965068516,3701.52262422111
20400,4000,E20400_C4000_D4000,30551.830064485184,4575.118524804442
22800,4000,E22800_C4000_D4000,29722.60220106685,5404.346388222777
25200,4000,E25200_C4000_D4000,28984.73180537518,6142.216783914446
27600,4000,E27600_C4000_D4000,28607.50052220395,6519.448067085676
30000,4000,E30000_C4000_D4000,28600.950151132063,6525.998438157563
6000,5000,E6000_C5000_D5000,40058.77101247512,-4931.822423185491
8400,5000,E8400_C5000_D5000,37165.005388571786,-2038.0567992821598
10800,5000,E10800_C5000_D5000,35126.94858928963,0.0
13200,5000,E13200_C5000_D5000,33564.21711627796,1562.7314730116632
15600,5000,E15600_C5000_D5000,32112.245548566294,3014.7030407233324
18000,5000,E18000_C5000_D5000,31102.40022634129,4024.548362948335
20400,5000,E20400_C5000_D5000,30179.57856495129,4947.3700243383355
22800,5000,E22800_C5000_D5000,29321.529639867957,5805.41894942167
25200,5000,E25200_C5000_D5000,28512.372822356287,6614.57576693334
27600,5000,E27600_C5000_D5000,27837.322867202834,7289.625722086792
30000,5000,E30000_C5000_D5000,27390.3529383124,7736.595650977226
6000,6000,E6000_C6000_D6000,40048.990845808454,-4922.042256518827
8400,6000,E8400_C6000_D6000,37140.482507293455,-2013.5339180038281
10800,6000,E10800_C6000_D6000,35083.29348008142,43.65510920820816
13200,6000,E13200_C6000_D6000,33517.92867373642,1609.01991555321
15600,6000,E15600_C6000_D6000,32063.640439358085,3063.3081499315413
18000,6000,E18000_C6000_D6000,31050.528450466416,4076.4201388232104
20400,6000,E20400_C6000_D6000,30123.656789076413,5003.291800213214
22800,6000,E22800_C6000_D6000,29260.65786399308,5866.290725296545
25200,6000,E25200_C6000_D6000,28448.434379814746,6678.514209474881
27600,6000,E27600_C6000_D6000,27768.617757994627,7358.330831294999
30000,6000,E30000_C6000_D6000,27315.18008796222,7811.768501327406
6000,7000,E6000_C7000_D7000,40040.166121838454,-4913.217532548828
8400,7000,E8400_C7000_D7000,37118.14917396012,-1991.2005846704924
10800,7000,E10800_C7000_D7000,35044.58715974132,82.36142954830575
13200,7000,E13200_C7000_D7000,33477.87235339632,1649.0762358933061
15600,7000,E15600_C7000_D7000,32021.150785684655,3105.7978036049717
18000,7000,E18000_C7000_D7000,31006.255463459656,4120.69312582997
20400,7000,E20400_C7000_D7000,30075.900468736316,5051.048120553311
22800,7000,E22800_C7000_D7000,29209.95154365298,5916.997045636646
25200,7000,E25200_C7000_D7000,28392.861392807983,6734.087196481643
27600,7000,E27600_C7000_D7000,27710.761437654528,7416.187151635098
30000,7000,E30000_C7000_D7000,27254.154927062868,7872.793662226759
6000,8000,E6000_C8000_D8000,40031.916121838454,-4904.967532548828
8400,8000,E8400_C8000_D8000,37096.85846420845,-1969.909874918827
10800,8000,E10800_C8000_D8000,35011.951550283455,114.99703900617169
13200,8000,E13200_C8000_D8000,33444.27464107129,1682.673948218333
15600,8000,E15600_C8000_D8000,31985.65307335963,3141.2955159299963
18000,8000,E18000_C8000_D8000,30969.074417801294,4157.874171488333
20400,8000,E20400_C8000_D8000,30037.436089744624,5089.512499545002
22800,8000,E22800_C8000_D8000,29167.503831327955,5959.444757961672
25200,8000,E25200_C8000_D8000,28348.480347149627,6778.468242139999
27600,8000,E27600_C8000_D8000,27661.53039199617,7465.418197293457
