t,start_h,end_h,no_ess_grid_kw,optimal_grid_kw,charge_kw,discharge_kw,state
1,0.0,0.16666666666666666,3439.8466,8439.846599999999,5000.0,0.0,充电
2,0.16666666666666666,0.3333333333333333,3437.9792,8437.9792,5000.0,0.0,充电
3,0.3333333333333333,0.5,3444.3031,8444.303100000001,5000.0,0.0,充电
4,0.5,0.6666666666666666,3454.4437,8454.4437,5000.0,0.0,充电
5,0.6666666666666666,0.8333333333333333,3458.8273,8458.827299999999,5000.0,0.0,充电
6,0.8333333333333333,1.0,3459.8401,3459.8401,0.0,0.0,待机
7,1.0,1.1666666666666665,3467.1582,3467.1582,0.0,0.0,待机
8,1.1666666666666665,1.3333333333333333,3467.9632,3467.9632,0.0,0.0,待机
9,1.3333333333333333,1.5,3466.9683,5466.9683,2000.0,0.0,充电
10,1.5,1.6666666666666665,3482.4927,3482.4927,0.0,0.0,待机
11,1.6666666666666665,1.8333333333333333,3495.0841,3495.0841,0.0,0.0,待机
12,1.8333333333333333,2.0,3498.4443,3498.4442999999997,0.0,0.0,待机
13,2.0,2.1666666666666665,3505.2295,3505.2294999999995,0.0,0.0,待机
14,2.1666666666666665,2.333333333333333,3512.6387,3512.6386999999995,0.0,0.0,待机
15,2.333333333333333,2.5,3516.8685,3516.8684999999996,0.0,0.0,待机
16,2.5,2.6666666666666665,3517.9246,3517.9246,0.0,0.0,待机
17,2.6666666666666665,2.833333333333333,3518.5518,3518.5518,0.0,0.0,待机
18,2.833333333333333,3.0,3521.0976,3521.0976,0.0,0.0,待机
19,3.0,3.1666666666666665,3526.9261,3526.9261,0.0,0.0,待机
20,3.1666666666666665,3.333333333333333,3537.2854,3537.2853999999998,0.0,0.0,待机
21,3.333333333333333,3.5,3544.8808,3544.8808,0.0,0.0,待机
22,3.5,3.6666666666666665,3541.2787,3541.2786999999994,0.0,0.0,待机
23,3.6666666666666665,3.833333333333333,3546.3976,3546.3976,0.0,0.0,待机
24,3.833333333333333,4.0,3560.207,3560.2069999999994,0.0,0.0,待机
25,4.0,4.166666666666666,3561.9581,3561.9581,0.0,0.0,待机
26,4.166666666666666,4.333333333333333,3556.7183,3556.7183,0.0,0.0,待机
27,4.333333333333333,4.5,3560.0272,3560.0272,0.0,0.0,待机
28,4.5,4.666666666666666,3580.0546,3580.0546,0.0,0.0,待机
29,4.666666666666666,4.833333333333333,3586.6815,3586.6815,0.0,0.0,待机
30,4.833333333333333,5.0,3570.975,3570.9749999999995,0.0,0.0,待机
31,5.0,5.166666666666666,3543.639,3543.639,0.0,0.0,待机
32,5.166666666666666,5.333333333333333,3536.9111000000003,3536.9111000000003,0.0,0.0,待机
33,5.333333333333333,5.5,3470.7327,3470.7326999999996,0.0,0.0,待机
34,5.5,5.666666666666666,3301.9587,8301.9587,5000.0,0.0,充电
35,5.666666666666666,5.833333333333333,3546.8412,3546.8412,0.0,-0.0,待机
36,5.833333333333333,6.0,4009.5233,0.0,0.0,4009.5232999999994,放电
37,6.0,6.166666666666666,3932.7320000000004,0.0,0.0,3932.732,放电
38,6.166666666666666,6.333333333333333,3699.0242000000003,0.0,0.0,3699.0242000000003,放电
39,6.333333333333333,6.5,3548.7269000000006,0.0,0.0,3548.7269000000006,放电
40,6.5,6.666666666666666,3344.9211999999998,0.0,0.0,3344.9211999999998,放电
41,6.666666666666666,6.833333333333333,3175.4382,0.0,0.0,3175.4382,放电
42,6.833333333333333,7.0,3014.8243,0.0,0.0,3014.8243,放电
43,7.0,7.166666666666666,2732.6614000000004,0.0,0.0,2732.6614000000004,放电
44,7.166666666666666,7.333333333333333,2460.4002,0.0,0.0,2460.4002000000005,放电
45,7.333333333333333,7.5,2141.9806999999996,0.0,0.0,2141.9806999999996,放电
46,7.5,7.666666666666666,1700.1814,0.0,0.0,1700.1814,放电
47,7.666666666666666,7.833333333333333,1924.1046999999999,0.0,0.0,1924.1046999999994,放电
48,7.833333333333333,8.0,2510.5286999999994,0.0,0.0,2510.5287,放电
49,8.0,8.166666666666666,2291.4647,0.0,0.0,2291.4646999999995,放电
50,8.166666666666666,8.333333333333332,1857.3380999999995,0.0,0.0,1857.3380999999997,放电
51,8.333333333333332,8.5,1587.7164000000002,0.0,0.0,1587.7164000000002,放电
52,8.5,8.666666666666666,1282.4448000000002,0.0,0.0,1282.4448000000002,放电
53,8.666666666666666,8.833333333333332,1071.3535000000002,0.0,0.0,1071.3535000000004,放电
54,8.833333333333332,9.0,932.3527000000004,0.0,0.0,932.3527000000006,放电
55,9.0,9.166666666666666,673.5570000000007,0.0,0.0,673.5570000000007,放电
56,9.166666666666666,9.333333333333332,386.3811999999998,0.0,0.0,386.3811999999996,放电
57,9.333333333333332,9.5,135.3734999999997,0.0,0.0,135.3734999999997,放电
58,9.5,9.666666666666666,0.0,0.0,104.54439999999954,0.0,充电
59,9.666666666666666,9.833333333333332,0.0,0.0,317.02659999999923,0.0,充电
60,9.833333333333332,10.0,0.0,0.0,507.3744999999999,0.0,充电
61,10.0,10.166666666666666,0.0,0.0,701.9015000000004,0.0,充电
62,10.166666666666666,10.333333333333332,0.0,0.0,879.9636000000003,0.0,充电
63,10.333333333333332,10.5,0.0,0.0,1041.1214999999995,0.0,充电
64,10.5,10.666666666666666,0.0,0.0,1206.1744999999994,0.0,充电
65,10.666666666666666,10.833333333333332,0.0,0.0,1352.4366999999993,0.0,充电
