scenario,boundary,time_h,energy_kwh
eta085,0,0.0,6000.0
eta085,1,0.16666666666666666,6708.333333333333
eta085,2,0.3333333333333333,7416.666666666666
eta085,3,0.5,8125.0
eta085,4,0.6666666666666666,8833.333333333332
eta085,5,0.8333333333333333,9541.666666666666
eta085,6,1.0,9541.666666666666
eta085,7,1.1666666666666665,9541.666666666666
eta085,8,1.3333333333333333,9541.666666666666
eta085,9,1.5,10091.666666666666
eta085,10,1.6666666666666665,10091.666666666666
eta085,11,1.8333333333333333,10091.666666666666
eta085,12,2.0,10091.666666666666
eta085,13,2.1666666666666665,10091.666666666666
eta085,14,2.333333333333333,10091.666666666666
eta085,15,2.5,10091.666666666666
eta085,16,2.6666666666666665,10091.666666666666
eta085,17,2.833333333333333,10091.666666666666
eta085,18,3.0,10091.666666666666
eta085,19,3.1666666666666665,10091.666666666666
eta085,20,3.333333333333333,10091.666666666666
eta085,21,3.5,10091.666666666666
eta085,22,3.6666666666666665,10091.666666666666
eta085,23,3.833333333333333,10091.666666666666
eta085,24,4.0,10091.666666666666
eta085,25,4.166666666666666,10091.666666666666
eta085,26,4.333333333333333,10091.666666666666
eta085,27,4.5,10091.666666666666
eta085,28,4.666666666666666,10091.666666666666
eta085,29,4.833333333333333,10091.666666666666
eta085,30,5.0,10091.666666666666
eta085,31,5.166666666666666,10091.666666666666
eta085,32,5.333333333333333,10091.666666666666
eta085,33,5.5,10091.666666666666
eta085,34,5.666666666666666,10800.0
eta085,35,5.833333333333333,10800.0
eta085,36,6.0,10013.818960784314
eta085,37,6.166666666666666,9242.695039215687
eta085,38,6.333333333333333,8517.39617647059
eta085,39,6.5,7821.567372549021
eta085,40,6.666666666666666,7165.700470588236
eta085,41,6.833333333333333,6543.065529411766
eta085,42,7.0,5951.923509803923
eta085,43,7.166666666666666,5416.107549019609
eta085,44,7.333333333333333,4933.676137254903
eta085,45,7.5,4513.679921568628
eta085,46,7.666666666666666,4429.060506862748
eta085,47,7.833333333333333,4051.7850754901992
eta085,48,8.0,3559.5245460784345
eta085,49,8.166666666666666,3110.217742156866
eta085,50,8.333333333333332,2746.0338009803954
eta085,51,8.5,2434.7168598039248
eta085,52,8.666666666666666,2183.2570950980426
eta085,53,8.833333333333332,1973.1877813725523
eta085,54,9.0,1790.3735264705913
eta085,55,9.166666666666666,1658.3035264705911
eta085,56,9.333333333333332,1582.542506862748
eta085,57,9.5,1555.9986833333364
eta085,58,9.666666666666666,1570.809140000003
eta085,59,9.833333333333332,1615.7212416666696
eta085,60,10.0,1687.5992958333354
eta085,61,10.166666666666666,1787.0353416666687
eta085,62,10.333333333333332,1911.6968516666689
eta085,63,10.5,2059.1890641666687
eta085,64,10.666666666666666,2230.0637850000016
eta085,65,10.833333333333332,2421.6589841666682
eta085,66,11.0,2629.0668466666684
eta085,67,11.166666666666666,3337.4001800000015
eta085,68,11.333333333333332,3569.1369833333347
eta085,69,11.5,4277.470316666669
eta085,70,11.666666666666666,4985.803650000002
eta085,71,11.833333333333332,5694.136983333335
eta085,72,12.0,6402.470316666668
eta085,73,12.166666666666666,7110.803650000002
eta085,74,12.333333333333332,7819.136983333335
eta085,75,12.5,8527.470316666668
eta085,76,12.666666666666666,9235.803650000002
eta085,77,12.833333333333332,9494.672651666668
eta085,78,13.0,9719.5037575
eta085,79,13.166666666666666,9925.635175000001
eta085,80,13.333333333333332,10115.249420833334
eta085,81,13.5,10284.19484
eta085,82,13.666666666666666,10434.950684166666
eta085,83,13.833333333333332,10563.929939166666
eta085,84,14.0,10665.9597175
eta085,85,14.166666666666666,10740.602
eta085,86,14.333333333333332,10786.183136666667
eta085,87,14.5,10800.0
eta085,88,14.666666666666666,10772.021921568627
eta085,89,14.833333333333332,10692.821901960784
eta085,90,15.0,10692.821901960784
eta085,91,15.166666666666666,10800.0
eta085,92,15.333333333333332,10800.0
eta085,93,15.5,10800.0
eta085,94,15.666666666666666,10800.0
eta085,95,15.833333333333332,10800.0
eta085,96,16.0,10800.0
eta085,97,16.166666666666664,10800.0
eta085,98,16.333333333333332,10800.0
eta085,99,16.5,10800.0
eta085,100,16.666666666666664,10800.0
eta085,101,16.833333333333332,10800.0
eta085,102,17.0,10800.0
eta085,103,17.166666666666664,10800.0
eta085,104,17.333333333333332,10800.0
eta085,105,17.5,10800.0
eta085,106,17.666666666666664,10800.0
eta085,107,17.833333333333332,10800.0
eta085,108,18.0,10800.0
eta085,109,18.166666666666664,10800.0
eta085,110,18.333333333333332,10800.0
eta085,111,18.5,10800.0
eta085,112,18.666666666666664,10800.0
eta085,113,18.833333333333332,10407.17468627451
eta085,114,19.0,9576.017
eta085,115,19.166666666666664,8743.774098039215
eta085,116,19.333333333333332,7910.182333333332
eta085,117,19.5,7075.53894117647
eta085,118,19.666666666666664,6238.7948823529405
eta085,119,19.833333333333332,5401.5448823529405
eta085,120,20.0,4564.550725490196
eta085,121,20.166666666666664,3724.898862745098
eta085,122,20.333333333333332,2883.388098039216
eta085,123,20.5,2041.9447450980392
eta085,124,20.666666666666664,1200.0
eta085,125,20.833333333333332,1200.0
eta085,126,21.0,1200.0
eta085,127,21.166666666666664,1200.0
eta085,128,21.333333333333332,1200.0
eta085,129,21.5,1200.0
eta085,130,21.666666666666664,1200.0
eta085,131,21.833333333333332,1200.0
eta085,132,22.0,1908.3333333333333
eta085,133,22.166666666666664,2616.6666666666665
eta085,134,22.333333333333332,2616.6666666666665
eta085,135,22.5,3325.0
eta085,136,22.666666666666664,4033.333333333333
eta085,137,22.833333333333332,4033.333333333333
eta085,138,23.0,4741.666666666666
eta085,139,23.166666666666664,4741.666666666666
eta085,140,23.333333333333332,4741.666666666666
eta085,141,23.5,5449.999999999999
eta085,142,23.666666666666664,6000.0
eta085,143,23.833333333333332,6000.0
eta085,144,24.0,6000.0
main,0,0.0,6000.0
main,1,0.16666666666666666,6750.0
main,2,0.3333333333333333,7500.0
main,3,0.5,8250.0
main,4,0.6666666666666666,9000.0
main,5,0.8333333333333333,9750.0
main,6,1.0,9750.0
main,7,1.1666666666666665,9750.0
main,8,1.3333333333333333,9750.0
main,9,1.5,10050.0
main,10,1.6666666666666665,10050.0
main,11,1.8333333333333333,10050.0
main,12,2.0,10050.0
main,13,2.1666666666666665,10050.0
main,14,2.333333333333333,10050.0
main,15,2.5,10050.0
main,16,2.6666666666666665,10050.0
main,17,2.833333333333333,10050.0
main,18,3.0,10050.0
main,19,3.1666666666666665,10050.0
main,20,3.333333333333333,10050.0
main,21,3.5,10050.0
main,22,3.6666666666666665,10050.0
main,23,3.833333333333333,10050.0
main,24,4.0,10050.0
main,25,4.166666666666666,10050.0
main,26,4.333333333333333,10050.0
main,27,4.5,10050.0
main,28,4.666666666666666,10050.0
main,29,4.833333333333333,10050.0
main,30,5.0,10050.0
main,31,5.166666666666666,10050.0
main,32,5.333333333333333,10050.0
main,33,5.5,10050.0
main,34,5.666666666666666,10800.0
main,35,5.833333333333333,10800.0
main,36,6.0,10057.495685185186
main,37,6.166666666666666,9329.211981481481
main,38,6.333333333333333,8644.2075
main,39,6.5,7987.035851851852
main,40,6.666666666666666,7367.606000000001
main,41,6.833333333333333,6779.561888888889
main,42,7.0,6221.261092592593
main,43,7.166666666666666,5715.212685185185
main,44,7.333333333333333,5259.583018518519
main,45,7.5,4862.919925925926
main,46,7.666666666666666,4548.071518518518
main,47,7.833333333333333,4191.755833333333
main,48,8.0,3726.8431111111104
main,49,8.166666666666666,3302.4977962962957
main,50,8.333333333333332,2958.5462962962956
main,51,8.5,2664.52474074074
main,52,8.666666666666666,2427.0349629629623
main,53,8.833333333333332,2228.6361666666658
main,54,9.0,2055.9782592592583
main,55,9.166666666666666,1931.2454814814803
main,56,9.333333333333332,1859.6934074074063
main,57,9.5,1834.6242407407397
main,58,9.666666666666666,1850.3059007407396
main,59,9.833333333333332,1897.8598907407395
main,60,10.0,1973.9660657407394
main,61,10.166666666666666,2079.2512907407395
main,62,10.333333333333332,2211.2458307407396
main,63,10.5,2367.4140557407395
main,64,10.666666666666666,2548.3402307407396
main,65,10.833333333333332,2751.2057357407393
main,66,11.0,2970.8140607407395
main,67,11.166666666666666,3720.8140607407395
main,68,11.333333333333332,3966.1824407407394
main,69,11.5,4222.07132574074
main,70,11.666666666666666,4643.792100000004
main,71,11.833333333333332,5393.792100000004
main,72,12.0,6143.792100000004
main,73,12.166666666666666,6893.792100000004
main,74,12.333333333333332,7643.792100000004
main,75,12.5,8393.792100000004
main,76,12.666666666666666,9143.792100000004
main,77,12.833333333333332,9417.888690000003
main,78,13.0,9655.945155000003
main,79,13.166666666666666,9874.201950000002
main,80,13.333333333333332,10074.969975000002
main,81,13.5,10253.853360000001
main,82,13.666666666666666,10413.477195000001
main,83,13.833333333333332,10550.043465
main,84,14.0,10658.074995
main,85,14.166666666666666,10737.108
main,86,14.333333333333332,10785.37038
main,87,14.5,10800.0
main,88,14.666666666666666,10773.57625925926
main,89,14.833333333333332,10698.77624074074
main,90,15.0,10698.77624074074
main,91,15.166666666666666,10800.0
main,92,15.333333333333332,10800.0
main,93,15.5,10800.0
main,94,15.666666666666666,10800.0
main,95,15.833333333333332,10800.0
main,96,16.0,10800.0
main,97,16.166666666666664,10800.0
main,98,16.333333333333332,10800.0
main,99,16.5,10800.0
main,100,16.666666666666664,10800.0
main,101,16.833333333333332,10800.0
main,102,17.0,10800.0
main,103,17.166666666666664,10800.0
main,104,17.333333333333332,10800.0
main,105,17.5,10800.0
main,106,17.666666666666664,10800.0
main,107,17.833333333333332,10800.0
main,108,18.0,10800.0
main,109,18.166666666666664,10678.591944444444
main,110,18.333333333333332,10678.591944444444
main,111,18.5,10678.591944444444
main,112,18.666666666666664,10678.591944444444
main,113,18.833333333333332,9895.664981481481
main,114,19.0,9110.682722222222
main,115,19.166666666666664,8324.675537037037
main,116,19.333333333333332,7537.394425925927
main,117,19.5,6749.120111111112
main,118,19.666666666666664,5958.861833333334
main,119,19.833333333333332,5168.125722222223
main,120,20.0,4377.631240740741
main,121,20.166666666666664,3584.626703703704
main,122,20.333333333333332,2789.8665370370372
main,123,20.5,1995.170037037037
main,124,20.666666666666664,1200.0
main,125,20.833333333333332,1200.0
main,126,21.0,1200.0
main,127,21.166666666666664,1200.0
main,128,21.333333333333332,1200.0
main,129,21.5,1200.0
main,130,21.666666666666664,1200.0
main,131,21.833333333333332,1200.0
main,132,22.0,1950.0
main,133,22.166666666666664,2700.0
main,134,22.333333333333332,2700.0
main,135,22.5,3450.0
main,136,22.666666666666664,4200.0
main,137,22.833333333333332,4200.0
main,138,23.0,4950.0
main,139,23.166666666666664,4950.0
main,140,23.333333333333332,4950.0
main,141,23.5,5700.0
main,142,23.666666666666664,6000.0
main,143,23.833333333333332,6000.0
main,144,24.0,6000.0
roundtrip090,0,0.0,6000.0
roundtrip090,1,0.16666666666666666,6790.569415042095
roundtrip090,2,0.3333333333333333,7581.13883008419
roundtrip090,3,0.5,8371.708245126285
roundtrip090,4,0.6666666666666666,9162.27766016838
roundtrip090,5,0.8333333333333333,9952.847075210475
roundtrip090,6,1.0,9952.847075210475
roundtrip090,7,1.1666666666666665,9952.847075210475
roundtrip090,8,1.3333333333333333,9952.847075210475
roundtrip090,9,1.5,10009.430584957905
roundtrip090,10,1.6666666666666665,10009.430584957905
roundtrip090,11,1.8333333333333333,10009.430584957905
roundtrip090,12,2.0,10009.430584957905
roundtrip090,13,2.1666666666666665,10009.430584957905
roundtrip090,14,2.333333333333333,10009.430584957905
roundtrip090,15,2.5,10009.430584957905
roundtrip090,16,2.6666666666666665,10009.430584957905
roundtrip090,17,2.833333333333333,10009.430584957905
roundtrip090,18,3.0,10009.430584957905
roundtrip090,19,3.1666666666666665,10009.430584957905
roundtrip090,20,3.333333333333333,10009.430584957905
roundtrip090,21,3.5,10009.430584957905
roundtrip090,22,3.6666666666666665,10009.430584957905
roundtrip090,23,3.833333333333333,10009.430584957905
roundtrip090,24,4.0,10009.430584957905
roundtrip090,25,4.166666666666666,10009.430584957905
roundtrip090,26,4.333333333333333,10009.430584957905
roundtrip090,27,4.5,10009.430584957905
roundtrip090,28,4.666666666666666,10009.430584957905
roundtrip090,29,4.833333333333333,10009.430584957905
roundtrip090,30,5.0,10009.430584957905
roundtrip090,31,5.166666666666666,10009.430584957905
roundtrip090,32,5.333333333333333,10009.430584957905
roundtrip090,33,5.5,10009.430584957905
roundtrip090,34,5.666666666666666,10800.0
roundtrip090,35,5.833333333333333,10176.883517170843
roundtrip090,36,6.0,9472.482074975587
roundtrip090,37,6.166666666666666,8781.571489029515
roundtrip090,38,6.333333333333333,8131.719178358281
roundtrip090,39,6.5,7508.271411807804
roundtrip090,40,6.666666666666666,6920.628657042048
roundtrip090,41,6.833333333333333,6362.761030313976
roundtrip090,42,7.0,5833.110389579378
roundtrip090,43,7.166666666666666,5353.030717466908
roundtrip090,44,7.333333333333333,4920.782462603918
roundtrip090,45,7.5,4544.474811708261
roundtrip090,46,7.666666666666666,4245.7833861830495
roundtrip090,47,7.833333333333333,3907.7526468144397
roundtrip090,48,8.0,3466.6977121910195
roundtrip090,49,8.166666666666666,3064.1283994202176
roundtrip090,50,8.333333333333332,2737.827356030796
roundtrip090,51,8.5,2458.8940170084093
roundtrip090,52,8.666666666666666,2233.5914313729036
roundtrip090,53,8.833333333333332,2045.373806973281
roundtrip090,54,9.0,1881.5761339395215
roundtrip090,55,9.166666666666666,1763.2442309422972
roundtrip090,56,9.333333333333332,1695.36397332735
roundtrip090,57,9.5,1671.5812736146388
roundtrip090,58,9.666666666666666,1688.1111946454241
roundtrip090,59,9.833333333333332,1738.237501388381
roundtrip090,60,10.0,1818.460453722836
roundtrip090,61,10.166666666666666,1929.44082537727
roundtrip090,62,10.333333333333332,2068.575287079337
roundtrip090,63,10.5,2233.1910501278867
roundtrip090,64,10.666666666666666,2423.903983908625
roundtrip090,65,10.833333333333332,2637.743002068717
roundtrip090,66,11.0,2869.2305021135494
roundtrip090,67,11.166666666666666,3507.9600755955857
roundtrip090,68,11.333333333333332,3766.601057790821
roundtrip090,69,11.5,4036.3316259644525
roundtrip090,70,11.666666666666666,4310.787095492637
roundtrip090,71,11.833333333333332,5101.356510534732
roundtrip090,72,12.0,5891.925925576827
roundtrip090,73,12.166666666666666,6682.495340618922
roundtrip090,74,12.333333333333332,7473.0647556610165
roundtrip090,75,12.5,8263.634170703112
roundtrip090,76,12.666666666666666,9054.203585745207
roundtrip090,77,12.833333333333332,9343.12676017365
roundtrip090,78,13.0,9594.060307216369
roundtrip090,79,13.166666666666666,9824.123169552518
roundtrip090,80,13.333333333333332,10035.751249663726
roundtrip090,81,13.5,10224.310893717326
roundtrip090,82,13.666666666666666,10392.569189534293
roundtrip090,83,13.833333333333332,10536.522677785468
roundtrip090,84,14.0,10650.397909089737
roundtrip090,85,14.166666666666666,10733.70601113223
roundtrip090,86,14.333333333333332,10784.579026499083
roundtrip090,87,14.5,10800.0
roundtrip090,88,14.666666666666666,10774.932238487243
roundtrip090,89,14.833333333333332,10703.970710224856
roundtrip090,90,15.0,10703.970710224856
roundtrip090,91,15.166666666666666,10800.0
roundtrip090,92,15.333333333333332,10800.0
roundtrip090,93,15.5,10800.0
roundtrip090,94,15.666666666666666,10800.0
roundtrip090,95,15.833333333333332,10800.0
roundtrip090,96,16.0,10800.0
roundtrip090,97,16.166666666666664,10800.0
roundtrip090,98,16.333333333333332,10800.0
roundtrip090,99,16.5,10800.0
roundtrip090,100,16.666666666666664,10800.0
roundtrip090,101,16.833333333333332,10800.0
roundtrip090,102,17.0,10800.0
roundtrip090,103,17.166666666666664,10800.0
roundtrip090,104,17.333333333333332,10800.0
roundtrip090,105,17.5,10800.0
roundtrip090,106,17.666666666666664,10800.0
roundtrip090,107,17.833333333333332,10800.0
