horizon,level_1,error_kwh
0,0,-380.38016461665632
0,0.01,-173.82158158962392
0,0.050000000000000003,-98.694239966749592
0,0.25,-27.280360821788364
0,0.5,-0.73812485247486848
0,0.75,26.795244655894379
0,0.94999999999999996,104.51172822415845
0,0.98999999999999999,182.16186799377618
0,1,434.33878343535781
1,0,-380.81855413426206
1,0.01,-177.63888313895725
1,0.050000000000000003,-101.1458671344928
1,0.25,-27.623099951139011
1,0.5,-0.46881560750369999
1,0.75,27.408998883652274
1,0.94999999999999996,108.67120956304566
1,0.98999999999999999,183.85514765190368
1,1,456.42645133367398
2,0,-390.64895579175891
2,0.01,-180.32204383995628
2,0.050000000000000003,-103.5861774424649
2,0.25,-28.20814722258919
2,0.5,-0.42272398779448395
2,0.75,28.321139741983458
2,0.94999999999999996,112.71541722139389
2,0.98999999999999999,193.1530482419945
2,1,429.14553943020519
