诊断方向,基准边界,放宽步长,参数有符号变化,费用节约(元/日),单位日价值,单位,基准活跃时段数,三步长价值稳定,解释边界
提高储电量上限,10800.0,1.0,1.0,0.6550455555552617,0.6550455555552617,元/(kWh·日),21,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高储电量上限,10800.0,10.0,10.0,6.550455555552617,0.6550455555552617,元/(kWh·日),21,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高储电量上限,10800.0,100.0,100.0,65.50455555555527,0.6550455555555527,元/(kWh·日),21,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
降低储电量下限,1200.0,1.0,-1.0,0.6593788888858398,0.6593788888858398,元/(kWh·日),8,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
降低储电量下限,1200.0,10.0,-10.0,6.593788888887502,0.6593788888887502,元/(kWh·日),8,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
降低储电量下限,1200.0,100.0,-100.0,65.9378888888823,0.659378888888823,元/(kWh·日),8,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高充电功率,5000.0,1.0,1.0,0.05646666666143574,0.05646666666143574,元/(kW·日),19,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高充电功率,5000.0,10.0,10.0,0.5646666666652891,0.05646666666652891,元/(kW·日),19,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高充电功率,5000.0,100.0,100.0,5.646666666660167,0.05646666666660167,元/(kW·日),19,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高放电功率,5000.0,1.0,1.0,0.0,0.0,元/(kW·日),0,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高放电功率,5000.0,10.0,10.0,0.0,0.0,元/(kW·日),0,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
提高放电功率,5000.0,100.0,100.0,0.0,0.0,元/(kW·日),0,是,仅边界诊断，不改变主方案约束；未判断投资经济显著性
