情景,效率口径,负荷变化(%),光伏变化(%),费用(元),购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),最低储量(kWh),最高储量(kWh)
main_l95_pv95,主方案：双单程0.90,-5.0,-5.0,33042.515272744015,56609.89738176954,20236.96615843621,16391.942588333335,0.0,1200.0,10800.0
main_l95_pv100,主方案：双单程0.90,-5.0,0.0,31552.184280896938,53832.56760192386,20220.187229423864,16378.351655833332,0.0,1200.0,10800.0
main_l95_pv105,主方案：双单程0.90,-5.0,5.0,30142.4619862411,50946.75285590534,19632.43479423868,15902.27218333333,0.0,1200.0,10800.0
main_l100_pv95,主方案：双单程0.90,0.0,-5.0,36697.187485855306,62418.12221933127,21589.51580349794,17487.507800833333,0.0,1200.0,10800.0
main_l100_pv100,主方案：双单程0.90,0.0,0.0,35126.948589289634,59482.69899835391,20740.66613168725,16799.939566666668,0.0,1200.0,10800.0
main_l100_pv105,主方案：双单程0.90,0.0,5.0,33630.57996634062,56711.75880806584,20757.516621399176,16813.58846333333,0.0,1200.0,10800.0
main_l105_pv95,主方案：双单程0.90,5.0,-5.0,40580.22525385369,68016.76944203704,21839.025370370367,17689.610549999998,0.0,1200.0,10800.0
main_l105_pv100,主方案：双单程0.90,5.0,0.0,38834.16769585597,65197.34555822016,21600.69852572016,17496.565805833336,0.0,1200.0,10800.0
main_l105_pv105,主方案：双单程0.90,5.0,5.0,37223.02717248745,62355.50061493827,21244.366104938275,17207.936544999997,0.0,1200.0,10800.0
eta085_l95_pv95,敏感性：双单程0.85,-5.0,-5.0,34470.1173972166,58876.38117258363,22023.449949250295,15911.942588333332,0.0,1200.0,10800.0
eta085_l95_pv100,敏感性：双单程0.85,-5.0,0.0,32916.4892538028,55882.21153886101,21230.55679469435,15339.077284166668,0.0,1200.0,10800.0
eta085_l95_pv105,敏感性：双单程0.85,-5.0,5.0,31464.888477566543,52926.10248005189,20574.818865051904,14865.30663,0.0,1200.0,10800.0
eta085_l100_pv95,敏感性：双单程0.85,0.0,-5.0,38271.91160882739,64593.62594542632,22621.663887422146,16344.152158662495,0.0,1200.0,10800.0
eta085_l100_pv100,敏感性：双单程0.85,0.0,0.0,36603.40648002707,61728.97512460496,22295.505193771623,16108.502502499998,0.0,1200.0,10800.0
eta085_l100_pv105,敏感性：双单程0.85,0.0,5.0,35038.047734416934,58815.12489243944,21792.05132410611,15744.757081666667,0.0,1200.0,10800.0
eta085_l105_pv95,敏感性：双单程0.85,5.0,-5.0,42257.956885181295,70203.96301019528,22834.624823526523,16498.016434997917,0.0,1200.0,10800.0
eta085_l105_pv100,敏感性：双单程0.85,5.0,0.0,40439.487303297305,67444.62738659457,22887.98035409458,16536.565805833332,0.0,1200.0,10800.0
eta085_l105_pv105,敏感性：双单程0.85,5.0,5.0,38744.64901113095,64624.04637066609,22720.631768166095,16415.6564525,0.0,1200.0,10800.0
eta095_l95_pv95,敏感性：双单程0.95,-5.0,-5.0,31711.237786197773,54648.27410350877,19316.92607017544,17433.525778333336,0.0,1200.0,10800.0
eta095_l95_pv100,敏感性：双单程0.95,-5.0,0.0,30274.71464025692,51811.99439558401,18679.614023084025,16858.351655833332,0.0,1200.0,10800.0
eta095_l95_pv105,敏感性：双单程0.95,-5.0,5.0,28908.851355285038,48986.420203864254,18152.1021421976,16382.27218333333,0.0,1200.0,10800.0
eta095_l100_pv95,敏感性：双单程0.95,0.0,-5.0,35282.02995881096,60309.6325442013,20446.341820867965,18452.823493333337,0.0,1200.0,10800.0
eta095_l100_pv100,敏感性：双单程0.95,0.0,0.0,33767.03262075283,57472.64310064635,19801.750433979694,17871.07976666667,0.0,1200.0,10800.0
eta095_l100_pv105,敏感性：双单程0.95,0.0,5.0,32324.392647381075,54636.113060166186,19161.87087349953,17293.588463333337,0.0,1200.0,10800.0
eta095_l105_pv95,敏感性：双单程0.95,5.0,-5.0,39013.59798302039,65882.1324927193,20664.388421052638,18649.61055,0.0,1200.0,10800.0
eta095_l105_pv100,敏感性：双单程0.95,5.0,0.0,37355.475803955276,63087.135460016165,20450.488427516164,18456.565805833336,0.0,1200.0,10800.0
eta095_l105_pv105,敏感性：双单程0.95,5.0,5.0,35824.654348538,60297.01209778394,20286.574797783946,18308.633755,0.0,1200.0,10800.0
roundtrip090_l95_pv95,口径对照：对称往返0.90,-5.0,-5.0,31745.049918515095,54700.52774940203,19356.539377353634,17420.885439618265,0.0,1200.0,10800.0
roundtrip090_l95_pv100,口径对照：对称往返0.90,-5.0,0.0,30307.065513482936,51862.477730235354,18717.45701902029,16845.711317118265,0.0,1200.0,10800.0
roundtrip090_l95_pv105,口径对照：对称往返0.90,-5.0,5.0,28940.217957231966,49035.43822773535,18188.47982735363,16369.631844618263,0.0,1200.0,10800.0
roundtrip090_l100_pv95,口径对照：对称往返0.90,0.0,-5.0,35318.55151691643,60363.61897398924,20475.047573225773,18427.542815903194,0.0,1200.0,10800.0
roundtrip090_l100_pv100,口径对照：对称往返0.90,0.0,0.0,33801.49554222201,57526.24348088351,19842.710475501775,17858.4394279516,0.0,1200.0,10800.0
roundtrip090_l100_pv105,口径对照：对称往返0.90,0.0,5.0,32357.40959045768,54687.935997179804,19201.053471798074,17280.948124618266,0.0,1200.0,10800.0
roundtrip090_l105_pv95,口径对照：对称往返0.90,5.0,-5.0,39052.99170843979,65936.72460750776,20693.699858410957,18624.329872569866,0.0,1200.0,10800.0
roundtrip090_l105_pv100,口径对照：对称往返0.90,5.0,0.0,37392.00496417293,63141.1334081559,20479.205698225775,18431.2851284032,0.0,1200.0,10800.0
roundtrip090_l105_pv105,口径对照：对称往返0.90,5.0,5.0,35860.09207475507,60351.95921236499,20328.881573649924,18295.993416284935,0.0,1200.0,10800.0
