时段序号,时间段,电价(元/kWh),负载电量(kWh),光伏预测电量(kWh),计划购电量(kWh),充电量(kWh),放电量(kWh),期初储电量(kWh),期末储电量(kWh),弃光电量(kWh),购电费(元),期末SOC(%),实际运行状态
1,00:00-00:10,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,6000.0,6750.0,0.0,597.5411392799999,56.25,充电
2,00:10-00:20,0.4245,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,6750.0,7500.0,0.0,596.9870283999999,62.5,充电
3,00:20-00:30,0.4269,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,7500.0,8250.0,0.0,600.812165565,68.75,充电
4,00:30-00:40,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,8250.0,9000.0,0.0,601.9563914400001,75.0,充电
5,00:40-00:50,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,9000.0,9750.0,0.0,602.127523305,81.25,充电
6,00:50-01:00,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,9750.0,9750.0,0.0,247.09024714166665,81.25,待机
7,01:00-01:10,0.4311,577.8597,0.0,577.8597,0.0,0.0,9750.0,9750.0,0.0,249.11531666999997,81.25,待机
8,01:10-01:20,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,9750.0,9750.0,0.0,248.65296144,81.25,待机
9,01:20-01:30,0.4279,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,9750.0,10050.0,0.0,389.8859559283333,83.75,充电
10,01:30-01:40,0.4312,580.41545,0.0,580.41545,0.0,0.0,10050.0,10050.0,0.0,250.27514204,83.75,待机
11,01:40-01:50,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,10050.0,10050.0,0.0,252.40332342166667,83.75,待机
12,01:50-02:00,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,10050.0,10050.0,0.0,251.36322295499997,83.75,待机
13,02:00-02:10,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,10050.0,10050.0,0.0,250.79917072499998,83.75,待机
14,02:10-02:20,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,10050.0,10050.0,0.0,253.1441623133333,83.75,待机
15,02:20-02:30,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,10050.0,10050.0,0.0,255.96941232499995,83.75,待机
16,02:30-02:40,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,10050.0,10050.0,0.0,254.93226934666666,83.75,待机
17,02:40-02:50,0.4335,586.4253,0.0,586.4253,0.0,0.0,10050.0,10050.0,0.0,254.21536755,83.75,待机
18,02:50-03:00,0.4357,586.8496,0.0,586.8496,0.0,0.0,10050.0,10050.0,0.0,255.69037072,83.75,待机
19,03:00-03:10,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,10050.0,10050.0,0.0,257.11291269,83.75,待机
20,03:10-03:20,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,10050.0,10050.0,0.0,257.69124138999996,83.75,待机
21,03:20-03:30,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,10050.0,10050.0,0.0,257.35834608,83.75,待机
22,03:30-03:40,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,10050.0,10050.0,0.0,256.91976968499995,83.75,待机
23,03:40-03:50,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,10050.0,10050.0,0.0,257.70489226666666,83.75,待机
24,03:50-04:00,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,10050.0,10050.0,0.0,259.7764374333333,83.75,待机
25,04:00-04:10,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,10050.0,10050.0,0.0,261.269626635,83.75,待机
26,04:10-04:20,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,10050.0,10050.0,0.0,260.173943645,83.75,待机
27,04:20-04:30,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,10050.0,10050.0,0.0,258.93264501333334,83.75,待机
28,04:30-04:40,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,10050.0,10050.0,0.0,262.11966429666666,83.75,待机
29,04:40-04:50,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,10050.0,10050.0,0.0,264.33842655,83.75,待机
30,04:50-05:00,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,10050.0,10050.0,0.0,261.57391874999996,83.75,待机
31,05:00-05:10,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,10050.0,10050.0,0.0,255.90979645000002,83.75,待机
32,05:10-05:20,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,10050.0,10050.0,0.0,261.6724728816667,83.75,待机
33,05:20-05:30,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,10050.0,10050.0,0.0,248.79368904499995,83.75,待机
34,05:30-05:40,0.3713,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,10050.0,10800.0,0.0,513.7528775516666,90.0,充电
35,05:40-05:50,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,-0.0,10800.0,10800.0,0.0,337.42282615999994,90.0,待机
36,05:50-06:00,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,10800.0,10057.495685185186,0.0,0.0,83.81246404320987,放电
37,06:00-06:10,0.9368,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,10057.495685185186,9329.211981481481,0.0,0.0,77.74343317901234,放电
