mode,date,parameter,setting,hour,status,solver,version,gap,primal_error,certificate_error,replay_duality_error,radius
4-2,2025-07-01,rho,0.75,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.1417567688497325e-16,1.4551915228366852e-10,4.3655745685100555e-11,2.9103830456733704e-11,0.23066554863855487
4-2,2025-07-06,rho,0.75,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,1.1641532182693481e-10,2.9103830456733704e-11,2.9103830456733704e-11,0.23002528225195404
4-2,2025-09-18,rho,0.75,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,2.1827872842550278e-11,0,2.9103830456733704e-11,0.22108047740911074
4-2,2025-12-14,rho,0.75,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,2.3283064365386963e-10,2.9103830456733704e-11,0,0.21846084356945167
4-2,2025-07-01,rho,1.25,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.1164326193145062e-16,7.2759576141834259e-11,4.3655745685100555e-11,2.9103830456733704e-11,0.38444258106425816
4-2,2025-07-06,rho,1.25,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,2.0372681319713593e-10,0,2.9103830456733704e-11,0.38337547041992337
4-2,2025-09-18,rho,1.25,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,4.3655745685100555e-11,2.9103830456733704e-11,3.637978807091713e-11,0.3684674623485179
4-2,2025-12-14,rho,1.25,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.8941074533417661e-16,5.8207660913467407e-11,2.9103830456733704e-11,0,0.36410140594908608
4-2,2025-07-01,weight,0.3,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,8.7311491370201111e-11,1.4551915228366852e-11,1.4551915228366852e-11,0.30313840344969972
4-2,2025-07-06,weight,0.3,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,5.8207660913467407e-11,2.9103830456733704e-11,2.9103830456733704e-11,0.31649824563306278
4-2,2025-09-18,weight,0.3,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.2313067600472184e-16,2.1827872842550278e-11,2.9103830456733704e-11,2.1827872842550278e-11,0.29241478117700903
4-2,2025-12-14,weight,0.3,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.9066811937618328e-16,1.7462298274040222e-10,2.9103830456733704e-11,5.8207660913467407e-11,0.28465368534448787
4-2,2025-07-01,weight,0.7,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,1.4551915228366852e-10,0,2.9103830456733704e-11,0.31482833341238314
4-2,2025-07-06,weight,0.7,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,2.6193447411060333e-10,0,2.9103830456733704e-11,0.29909166643110824
4-2,2025-09-18,weight,0.7,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,2.1827872842550278e-11,7.2759576141834259e-12,1.4551915228366852e-11,0.296807760273814
4-2,2025-12-14,weight,0.7,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,0,1.4551915228366852e-10,2.9103830456733704e-11,2.9103830456733704e-11,0.27244387046270607
4-3,2025-07-01,rho,0.75,0,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.3040783248914525e-16,5.8207660913467407e-11,7.2759576141834259e-12,0,0.22189473987126879
4-3,2025-07-01,rho,0.75,6,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,1.3858742008582777e-16,3.8184566619747784e-11,2.1827872842550278e-11,1.4551915228366852e-11,0.23891739286988684
4-3,2025-07-01,rho,0.75,12,Optimal,HiGHS_finite_support_Wasserstein_LP,1.15.1,2.8234898483001569e-16,3.637978807091713e-11,0,1.4551915228366852e-11,0.20927657193670235
