point,e_max_kwh,charge_kw,discharge_kw,cost_yuan,dual_bound_yuan,mip_gap,status,max_physical_residual_kwh
E6000_C1000_D1000,6000,1000,1000,43304.450008387386,43304.450008387386,0.0,0,3.296918293926865e-12
E8400_C1000_D1000,8400,1000,1000,42080.23250838739,42080.23250838739,0.0,0,8.071765478234738e-12
E10800_C1000_D1000,10800,1000,1000,41335.20419711225,41335.20419711225,0.0,0,2.3646862246096134e-11
E13200_C1000_D1000,13200,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E15600_C1000_D1000,15600,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E18000_C1000_D1000,18000,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E20400_C1000_D1000,20400,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E22800_C1000_D1000,22800,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E25200_C1000_D1000,25200,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E27600_C1000_D1000,27600,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E30000_C1000_D1000,30000,1000,1000,41258.6780726573,41258.6780726573,0.0,0,2.4101609596982598e-11
E6000_C2000_D2000,6000,2000,2000,40717.68448564012,40717.68448564012,0.0,0,1.1027623258996755e-11
E8400_C2000_D2000,8400,2000,2000,38582.60133857936,38582.60133857936,0.0,0,2.2737367544323206e-12
E10800_C2000_D2000,10800,2000,2000,37585.751634875654,37585.751634875654,0.0,0,1.318767317570746e-11
E13200_C2000_D2000,13200,2000,2000,36741.865634875656,36741.865634875656,0.0,0,3.637978807091713e-12
E15600_C2000_D2000,15600,2000,2000,36099.0046587722,36099.0046587722,0.0,0,3.637978807091713e-12
E18000_C2000_D2000,18000,2000,2000,35964.409578908366,35964.409578908366,0.0,0,3.240074875066057e-12
E20400_C2000_D2000,20400,2000,2000,35964.409578908366,35964.409578908366,0.0,0,3.240074875066057e-12
E22800_C2000_D2000,22800,2000,2000,35964.409578908366,35964.409578908366,0.0,0,3.240074875066057e-12
E25200_C2000_D2000,25200,2000,2000,35964.409578908366,35964.409578908366,0.0,0,3.240074875066057e-12
E27600_C2000_D2000,27600,2000,2000,35964.409578908366,35964.409578908366,0.0,0,3.240074875066057e-12
E30000_C2000_D2000,30000,2000,2000,35964.409578908366,35964.409578908366,0.0,0,3.240074875066057e-12
E6000_C3000_D3000,6000,3000,3000,40116.752730096785,40116.75273009679,0.0,0,1.057287590811029e-11
E8400_C3000_D3000,8400,3000,3000,37395.10950290679,37395.10950290679,0.0,0,8.86757334228605e-12
E10800_C3000_D3000,10800,3000,3000,35788.44007000732,35788.44007000732,0.0,0,2.0463630789890885e-12
E13200_C3000_D3000,13200,3000,3000,34683.004070007315,34683.004070007315,0.0,0,1.2505552149377763e-11
E15600_C3000_D3000,15600,3000,3000,33786.85473667397,33786.85473667397,0.0,0,8.185452315956354e-12
E18000_C3000_D3000,18000,3000,3000,32963.8660700073,32963.8660700073,0.0,0,1.9099388737231493e-11
E20400_C3000_D3000,20400,3000,3000,32287.59383238551,32287.59383238551,0.0,0,2.0463630789890885e-11
E22800_C3000_D3000,22800,3000,3000,32069.060093925513,32069.060093925513,0.0,0,3.501554601825774e-11
E25200_C3000_D3000,25200,3000,3000,32069.060093925513,32069.060093925513,0.0,0,3.501554601825774e-11
E27600_C3000_D3000,27600,3000,3000,32069.060093925513,32069.060093925513,0.0,0,3.501554601825774e-11
E30000_C3000_D3000,30000,3000,3000,32069.060093925513,32069.060093925513,0.0,0,3.501554601825774e-11
E6000_C4000_D4000,6000,4000,4000,40071.519353713455,40071.519353713455,0.0,0,9.094947017729282e-13
E8400_C4000_D4000,8400,4000,4000,37201.00031999346,37201.00031999346,0.0,0,5.4569682106375694e-12
E10800_C4000_D4000,10800,4000,4000,35247.87089961685,35247.87089961685,0.0,0,1.1823431123048067e-11
E13200_C4000_D4000,13200,4000,4000,33697.034099376855,33697.034099376855,0.0,0,1.8189894035458565e-12
E15600_C4000_D4000,15600,4000,4000,32385.068688260188,32385.068688260188,0.0,0,6.821210263296962e-12
E18000_C4000_D4000,18000,4000,4000,31425.425965068516,31425.425965068516,0.0,0,5.033011044967376e-12
E20400_C4000_D4000,20400,4000,4000,30551.830064485184,30551.830064485184,0.0,0,5.033011044967376e-12
E22800_C4000_D4000,22800,4000,4000,29722.60220106685,29722.60220106685,0.0,0,6.821210263296962e-12
E25200_C4000_D4000,25200,4000,4000,28984.73180537518,28984.73180537518,0.0,0,5.6559201766503975e-12
E27600_C4000_D4000,27600,4000,4000,28607.50052220395,28607.50052220395,0.0,0,8.08597633294994e-12
E30000_C4000_D4000,30000,4000,4000,28600.950151132063,28600.950151132063,0.0,0,7.73070496506989e-12
E6000_C5000_D5000,6000,5000,5000,40058.77101247512,40058.771012475125,0.0,0,5.6843418860808015e-12
E8400_C5000_D5000,8400,5000,5000,37165.005388571786,37165.005388571786,0.0,0,9.094947017729282e-12
E10800_C5000_D5000,10800,5000,5000,35126.94858928963,35126.94858928963,0.0,0,4.996003610813204e-12
E13200_C5000_D5000,13200,5000,5000,33564.21711627796,33564.21711627796,0.0,0,9.094947017729282e-12
E15600_C5000_D5000,15600,5000,5000,32112.245548566294,32112.245548566294,0.0,0,2.2168933355715126e-12
