model,horizon,n,mae_kw,rmse_kw,role,econ,net_mae,net_rmse,load_mae,load_rmse,pv_mae,pv_rmse
load_week,0,48096,176.79572117223884,244.28661499529923,posthoc_never_online_selection,,,,,,,
load_week,1,47952,176.69765243785454,244.27363523834489,posthoc_never_online_selection,,,,,,,
load_week,2,47808,176.57797836136214,244.24197225752226,posthoc_never_online_selection,,,,,,,
load_lgb_1,0,48096,142.47659459726626,197.61172113918016,posthoc_never_online_selection,,,,,,,
load_lgb_1,1,47952,149.07677839794135,210.95710517987345,posthoc_never_online_selection,,,,,,,
load_lgb_1,2,47808,152.14971380078742,216.86663648111383,posthoc_never_online_selection,,,,,,,
pv_mean7,0,48096,153.39970672494297,303.85773925555964,posthoc_never_online_selection,,,,,,,
pv_mean7,1,47952,158.68896405440304,312.22966241063091,posthoc_never_online_selection,,,,,,,
pv_mean7,2,47808,164.08666662429602,320.51780545155447,posthoc_never_online_selection,,,,,,,
pv_dhr,0,48096,172.90578034192148,320.71381878343823,posthoc_never_online_selection,,,,,,,
pv_dhr,1,47952,180.29889178146394,334.21323519679413,posthoc_never_online_selection,,,,,,,
pv_dhr,2,47808,186.8605099826689,347.52758233093277,posthoc_never_online_selection,,,,,,,
load_week|pv_mean7,0,47808,,,,59.538954255505892,273.90977472867661,390.64439765118914,177.04350496151275,244.66101672834796,153.84102791762285,304.47189487752411
load_week|pv_mean7,1,47808,,,,60.366222115363662,277.63354356648534,396.79195885809827,176.78777607304218,244.43173042006609,158.99610810017276,312.6208199938867
load_week|pv_mean7,2,47808,,,,61.138628625104239,281.3764533049777,402.73972861897965,176.57797836136214,244.24197225752226,164.08666662429602,320.51780545155447
load_week|pv_dhr,0,47808,,,,63.146627223421035,282.06310028958552,403.81802015120536,177.04350496151275,244.66101672834796,173.36356970220552,321.3600561494718
load_week|pv_dhr,1,47808,,,,63.984314419963752,287.41220498266597,413.96116515270842,176.78777607304218,244.43173042006609,180.61129880807215,334.6412073434069
load_week|pv_dhr,2,47808,,,,64.723110102869356,292.6312260112295,424.01914496366362,176.57797836136214,244.24197225752226,186.8605099826689,347.52758233093277
load_lgb_1|pv_mean7,0,47808,,,,52.00441585576592,247.38802558152611,362.39615716249034,142.70112723759013,197.92731805925638,153.84102791762285,304.47189487752411
load_lgb_1|pv_mean7,1,47808,,,,54.743584527192908,256.26052364289541,375.1695847028588,149.17183365963825,211.11755900923396,158.99610810017276,312.6208199938867
load_lgb_1|pv_mean7,2,47808,,,,56.421370934057158,262.57126830714645,384.49230766592484,152.14971380078742,216.86663648111383,164.08666662429602,320.51780545155447
load_lgb_1|pv_dhr,0,47808,,,,55.716307402216877,256.62976476730591,376.91909256983831,142.70112723759013,197.92731805925638,173.36356970220552,321.3600561494718
load_lgb_1|pv_dhr,1,47808,,,,58.389293119818156,267.17545094240245,393.8386915914312,149.17183365963825,211.11755900923396,180.61129880807215,334.6412073434069
load_lgb_1|pv_dhr,2,47808,,,,59.991751386328659,274.8432785114083,407.18431956591422,152.14971380078742,216.86663648111383,186.8605099826689,347.52758233093277
