date,start,end,interval,emergency_kwh,cost_yuan,intervals
2025-03-20,2025-03-20 15:20:00,2025-03-20 15:30:00,15:20-15:30,8.5759718330403238,31.336601077929341,1
2025-03-20,2025-03-20 16:00:00,2025-03-20 16:10:00,16:00-16:10,17.89387826774751,74.000133576269818,1
2025-03-20,2025-03-20 20:30:00,2025-03-20 20:50:00,20:30-20:50,83.816677847405117,566.4918362633141,2
2025-03-20,2025-03-20 21:20:00,2025-03-20 21:50:00,21:20-21:50,70.216208653506015,320.57170162672531,3
2025-03-20,2025-03-20 23:30:00,2025-03-20 23:40:00,23:30-23:40,1.4480897942571218,3.0699503638250984,1
2025-09-23,2025-09-23 05:00:00,2025-09-23 05:10:00,05:00-05:10,1.7248937412952046,3.7369822905160608,1
2025-09-23,2025-09-23 14:50:00,2025-09-23 15:00:00,14:50-15:00,26.137808899056068,87.48324638514066,1
2025-09-23,2025-09-23 20:30:00,2025-09-23 21:10:00,20:30-21:10,280.05656229467502,1810.6692025460718,4
2025-09-23,2025-09-23 21:20:00,2025-09-23 21:40:00,21:20-21:40,58.227927920437786,283.30253342977147,2
2025-12-21,2025-12-21 03:40:00,2025-12-21 03:50:00,03:40-03:50,46.030327977527577,100.34611499101013,1
2025-12-21,2025-12-21 10:40:00,2025-12-21 10:50:00,10:40-10:50,23.830615283511975,95.203308057630338,1
2025-12-21,2025-12-21 19:50:00,2025-12-21 20:00:00,19:50-20:00,16.427343229505368,110.7367207100957,1
