origin,step,horizon,mean_net_kwh,std_net_kwh,full_Q80_kwh,reduced_Q80_kwh,full_Q90_kwh,reduced_Q90_kwh
2025-02-01,0,0,435.59869195419952,22.747965660675092,457.87661990981815,457.87661990981815,461.58708650675845,461.58708650675845
2025-02-01,1,0,434.8033631786667,21.444704509438569,449.19508648469741,449.19508648469741,466.68463783892236,466.68463783892236
2025-02-01,2,0,442.92456799159066,19.479283739889912,461.04188399518011,461.04188399518011,474.01113776211287,474.01113776211287
2025-02-01,3,0,467.31999678192699,27.159162993003537,485.11714133350017,485.11714133350017,514.58177774505123,514.58177774505123
2025-02-01,4,0,472.49615356289132,27.81411401240673,506.7578618420506,506.7578618420506,512.81561723666732,512.81561723666732
2025-02-01,5,0,474.25398343714966,31.907440865072431,486.78750258937464,486.78750258937464,543.15532129553321,543.15532129553321
2025-02-01,6,0,470.8365433938701,23.124858802517519,491.49361021703913,491.49361021703913,500.77804245732602,500.77804245732602
2025-02-01,7,0,469.98092422831462,22.703577790405401,486.38689541832406,486.38689541832406,505.63948453136442,505.63948453136442
2025-02-01,8,0,466.65719442551409,21.596996429917905,480.17277422547852,480.17277422547852,497.04078772048024,497.04078772048024
2025-02-01,9,0,488.44843542752869,16.935294100255355,509.00722483223944,509.00722483223944,510.28134453561483,510.28134453561483
2025-02-01,10,0,488.87466536452609,19.876056089091563,510.35814131379402,510.35814131379402,516.26208563703005,516.26208563703005
2025-02-01,11,0,486.73031152081552,30.128391614252322,519.28633417181243,519.28633417181243,531.21686876479544,531.21686876479544
2025-02-01,12,0,497.04804023262136,25.07532113391763,514.05017719424723,514.05017719424723,533.33496776913205,533.33496776913205
2025-02-01,13,0,511.508037159857,30.825083333185528,542.22040873591038,542.22040873591038,547.9817347317595,547.9817347317595
2025-02-01,14,0,512.53436315036868,21.445626809397716,533.08499899691924,533.08499899691924,542.50468062204482,542.50468062204482
2025-02-01,15,0,498.18361497929141,22.866303572672035,509.43091137489876,509.43091137489876,543.02857894566898,543.02857894566898
2025-02-01,16,0,502.44938584148895,30.932763779826647,523.91071021142716,523.91071021142716,552.3659976997385,552.3659976997385
2025-02-01,17,0,511.54638047467807,31.338529060126259,538.88050986270105,538.88050986270105,558.83543500203791,558.83543500203791
2025-02-01,18,0,509.48250947156765,21.748183008899534,528.95660321563344,528.95660321563344,537.78953439829149,537.78953439829149
2025-02-01,19,0,509.51172144306224,20.990421435302487,524.15067643674467,524.15067643674467,537.76522552817642,537.76522552817642
2025-02-01,20,0,514.94833971236153,29.46319723783505,541.22671288557126,541.22671288557126,542.50718247429813,542.50718247429813
2025-02-01,21,0,504.29451682786828,27.233165944924565,527.59387415744413,527.59387415744413,542.62690344613441,542.62690344613441
2025-02-01,22,0,508.99488077715648,20.422602424904603,522.53862693324481,522.53862693324481,542.21156003620683,542.21156003620683
2025-02-01,23,0,530.37375181201821,24.735019510701076,554.67949276846957,554.67949276846957,558.51545042495411,558.51545042495411
2025-02-01,24,0,534.11553516408082,22.062498083680076,557.27242455860141,557.27242455860141,564.76326601272558,564.76326601272558
2025-02-01,25,0,537.12922331490313,17.682382968084482,550.23581701574665,550.23581701574665,568.35966889183533,568.35966889183533
2025-02-01,26,0,550.13133935958842,23.303118008183549,572.75932982941401,572.75932982941401,578.51838136397635,578.51838136397635
2025-02-01,27,0,556.15531085753355,22.006745556839828,578.93994834282546,578.93994834282546,579.77267551907084,579.77267551907084
2025-02-01,28,0,550.68695249584709,26.162152712014976,584.88561115466439,584.88561115466439,588.58795771830842,588.58795771830842
2025-02-01,29,0,543.39844336492808,22.999505780215198,562.91759008085694,562.91759008085694,569.72833581011673,569.72833581011673
2025-02-01,30,0,542.46985318217264,15.401275736130543,556.87651899518619,556.87651899518619,560.72099154658906,560.72099154658906
2025-02-01,31,0,551.6337043631753,19.951721985563754,568.78681003563133,568.78681003563133,581.16215261473303,581.16215261473303
2025-02-01,32,0,552.85495944790489,28.310124484788737,576.38491154638018,576.38491154638018,579.3414053880656,579.3414053880656
2025-02-01,33,0,564.07402591083076,26.744603394704576,595.69843105410882,595.69843105410882,602.41141308086935,602.41141308086935
2025-02-01,34,0,561.50504563775053,30.363896971904115,582.29172373455947,582.29172373455947,605.01108385440227,605.01108385440227
2025-02-01,35,0,546.44143855198638,20.99044036128732,565.29192845284183,565.29192845284183,583.83387603380311,583.83387603380311
2025-02-01,36,0,554.82375678314918,15.865727806133249,567.29930605136565,567.29930605136565,571.62541144517593,571.62541144517593
2025-02-01,37,0,550.02844806272708,26.185183546663861,569.94575582188327,569.94575582188327,584.87223518687279,584.87223518687279
2025-02-01,38,0,556.2848793784085,21.605729219567621,573.43629669564973,573.43629669564973,576.74261869114707,576.74261869114707
2025-02-01,39,0,553.03680682352649,16.425310704542454,563.80926763881371,563.80926763881371,579.06357430112996,579.06357430112996
2025-02-01,40,0,618.40967563064214,18.623286841709739,630.68514389705456,630.68514389705456,649.91069855911974,649.91069855911974
2025-02-01,41,0,594.68642413903035,18.581570162355447,606.41031546720933,606.41031546720933,625.29899054752673,625.29899054752673
2025-02-01,42,0,534.90509956250946,29.245552663201831,559.36657298558964,559.36657298558964,581.87695608874424,581.87695608874424
2025-02-01,43,0,497.76503354534657,27.907055094017089,517.72834287420619,517.72834287420619,548.77604981452714,548.77604981452714
2025-02-01,44,0,453.84997254721139,35.451686536119048,489.87723629716504,489.87723629716504,501.68653764094779,501.68653764094779
2025-02-01,45,0,415.12284545391446,56.292524275236119,465.13594867577285,465.13594867577285,501.56014705149448,501.56014705149448
2025-02-01,46,0,346.16571104365119,26.342547965897829,365.74779984935554,365.74779984935554,371.42145229435619,371.42145229435619
2025-02-01,47,0,308.21321355245124,34.833065985335104,342.29896926073889,342.29896926073889,359.48878953714723,359.48878953714723
2025-02-01,48,0,266.63815131889692,39.004292483538272,286.61913803181199,286.61913803181199,338.67532712406262,338.67532712406262
2025-02-01,49,0,208.77114224661321,44.992963530227883,229.39761298252262,229.39761298252262,259.07962314751137,259.07962314751137
2025-02-01,50,0,161.21116086458562,44.608214464794628,197.08066158021816,197.08066158021816,216.67554478773491,216.67554478773491
2025-02-01,51,0,107.33836689339522,44.560262487243733,156.61077839951446,156.61077839951446,165.98240548436667,165.98240548436667
2025-02-01,52,0,80.079854933678064,45.83948898641389,121.76263665584284,121.76263665584284,139.49007363730561,139.49007363730561
2025-02-01,53,0,85.291204498280592,46.47297902714655,132.8063270480036,132.8063270480036,142.37070600579378,142.37070600579378
2025-02-01,54,0,56.535766000444283,37.628601200645932,82.124053870741363,82.124053870741363,119.17590646427864,119.17590646427864
2025-02-01,55,0,-1.8274382069790036,41.852483068029173,30.601542987322922,30.601542987322922,47.371736017486455,47.371736017486455
2025-02-01,56,0,-63.670373500624372,51.288034576163483,-11.453725685299711,-11.453725685299711,0.040884170571644063,0.040884170571644063
2025-02-01,57,0,-88.562626120370382,44.096121716330686,-45.746256410691629,-45.746256410691629,-17.085097709662477,-17.085097709662477
2025-02-01,58,0,-110.79583047291725,44.0199215487022,-68.74640235246018,-68.74640235246018,-52.443171486055689,-52.443171486055689
2025-02-01,59,0,-167.61612388178989,53.877680011451218,-129.22454702632012,-129.22454702632012,-102.19236099821531,-102.19236099821531
2025-02-01,60,0,-219.37887891169231,54.266701987465801,-180.25918359546267,-180.25918359546267,-148.45605822423445,-148.45605822423445
2025-02-01,61,0,-260.51683914470271,59.42118433309691,-207.06481183723008,-207.06481183723008,-183.6368244213833,-183.6368244213833
2025-02-01,62,0,-277.94654225068962,60.504834670604481,-221.16807969015295,-221.16807969015295,-197.53644639546306,-197.53644639546306
2025-02-01,63,0,-277.18272954145067,48.903874169813726,-234.52421207544512,-234.52421207544512,-229.65495884972944,-229.65495884972944
2025-02-01,64,0,-294.68943555626504,34.44780823962045,-273.25557661876849,-273.25557661876849,-257.28921701517902,-257.28921701517902
2025-02-01,65,0,-317.10259079980119,40.517924378713026,-286.45531844520667,-286.45531844520667,-266.95585596354192,-266.95585596354192
2025-02-01,66,0,-337.50554030720497,67.305644225844574,-282.12668717423378,-282.12668717423378,-245.48955035747014,-245.48955035747014
2025-02-01,67,0,-351.42282848841836,79.093990116105687,-291.47828262705826,-291.47828262705826,-269.9009590982497,-269.9009590982497
2025-02-01,68,0,-347.66264096214462,78.349849837540518,-289.32072898764483,-289.32072898764483,-279.72705085291165,-279.72705085291165
2025-02-01,69,0,-347.09714178232969,86.545473184391952,-273.32040878261324,-273.32040878261324,-243.59727567848296,-243.59727567848296
2025-02-01,70,0,-368.53126846022428,84.928857055755401,-290.53900043016722,-290.53900043016722,-265.06509778158227,-265.06509778158227
2025-02-01,71,0,-405.26703296784518,80.88471239802017,-336.61974200955217,-336.61974200955217,-311.45535169868822,-311.45535169868822
2025-02-01,72,0,-398.25294152162985,94.488934138186195,-305.9176897231153,-305.9176897231153,-270.50602851763716,-270.50602851763716
2025-02-01,73,0,-387.45259615793037,93.439816330795807,-285.90675965420934,-285.90675965420934,-233.93266515510223,-233.93266515510223
2025-02-01,74,0,-380.99655457134276,77.409993642778232,-344.74798678486457,-344.74798678486457,-224.40004988879292,-224.40004988879292
2025-02-01,75,0,-387.60706755876862,72.091563882107522,-331.70812573438502,-331.70812573438502,-269.67891964785036,-269.67891964785036
2025-02-01,76,0,-358.2767888409673,81.874965908912571,-287.52868795727363,-287.52868795727363,-270.85410934321601,-270.85410934321601
2025-02-01,77,0,-316.31948887097099,88.448055819823679,-229.80577670849954,-229.80577670849954,-225.93673105691823,-225.93673105691823
2025-02-01,78,0,-308.31646185076715,76.857149607399023,-231.27880901953509,-231.27880901953509,-197.98571234467272,-197.98571234467272
2025-02-01,79,0,-333.12275749222829,69.009576747792423,-271.94752023179262,-271.94752023179262,-229.64385444539903,-229.64385444539903
2025-02-01,80,0,-324.70763280364656,64.833093544617313,-263.69766593601736,-263.69766593601736,-225.88291597208564,-225.88291597208564
2025-02-01,81,0,-316.79760108572299,71.673771386984299,-246.03016392335309,-246.03016392335309,-216.83529689377093,-216.83529689377093
2025-02-01,82,0,-286.35770453077396,79.270140824426491,-212.66551308531172,-212.66551308531172,-189.89841542807213,-189.89841542807213
2025-02-01,83,0,-262.57765188738392,74.145201324214426,-208.49975485890542,-208.49975485890542,-177.05976904991871,-177.05976904991871
2025-02-01,84,0,-232.96396293593637,66.49390245118623,-173.72111565360152,-173.72111565360152,-153.48182678693075,-153.48182678693075
2025-02-01,85,0,-205.66541038023993,62.51463368891396,-151.90652791199392,-151.90652791199392,-118.2919089247069,-118.2919089247069
2025-02-01,86,0,-166.36763553892627,56.481936832521036,-112.15741466963557,-112.15741466963557,-90.24146263521682,-90.24146263521682
2025-02-01,87,0,-120.92302285027262,46.733909217770602,-88.233370763182535,-88.233370763182535,-52.350833647210948,-52.350833647210948
2025-02-01,88,0,-83.023693308777624,51.9208047398715,-60.577252160288481,-60.577252160288481,-12.106700500028788,-12.106700500028788
2025-02-01,89,0,-35.149228957079032,49.862423367644027,10.063809365249273,10.063809365249273,38.489187498025856,38.489187498025856
2025-02-01,90,0,14.563501009422726,36.345243561201706,44.812745821339902,44.812745821339902,64.669547855722612,64.669547855722612
2025-02-01,91,0,62.005370291765914,35.920955319654936,91.24938366797528,91.24938366797528,102.16214893676124,102.16214893676124
2025-02-01,92,0,94.574000463295945,29.016053041734832,110.41750658428569,110.41750658428569,129.44333103263943,129.44333103263943
2025-02-01,93,0,139.54771417052507,37.478667489565801,163.19707266597749,163.19707266597749,193.338429420176,193.338429420176
2025-02-01,94,0,184.4400956918947,36.848338893912896,208.6550448113002,208.6550448113002,231.33817181479881,231.33817181479881
2025-02-01,95,0,219.38099147085217,31.431711075157413,255.06196692602819,255.06196692602819,269.37753012013252,269.37753012013252
2025-02-01,96,0,256.38544100004958,34.892595636460705,281.44098394439669,281.44098394439669,306.78025447002437,306.78025447002437
2025-02-01,97,0,314.91692145988117,29.809754548513187,339.87389436073749,339.87389436073749,347.92280694419384,347.92280694419384
2025-02-01,98,0,392.2124763165254,28.990654379253062,422.04247942754364,422.04247942754364,432.80165787483503,432.80165787483503
2025-02-01,99,0,435.16721356547157,23.627739830044376,455.36873652809697,455.36873652809697,461.58440668802643,461.58440668802643
2025-02-01,100,0,430.28469281723233,21.559345801361463,449.54660313567604,449.54660313567604,455.82107095095728,455.82107095095728
2025-02-01,101,0,406.04447462758907,26.471548694965218,430.15045812789742,430.15045812789742,436.46294488809599,436.46294488809599
2025-02-01,102,0,446.07727915109979,25.253239601235549,469.7974044119054,469.7974044119054,472.49359972958501,472.49359972958501
2025-02-01,103,0,457.98016644121407,18.580328945227357,473.37678616818818,473.37678616818818,484.97835506592043,484.97835506592043
2025-02-01,104,0,457.79938755933347,17.418618369865008,477.52355397440999,477.52355397440999,480.88753203348352,480.88753203348352
2025-02-01,105,0,475.33376903445293,23.8671583841951,494.23404637740794,494.23404637740794,511.34989827700389,511.34989827700389
2025-02-01,106,0,459.85842171272236,15.865002413055569,471.98593377252456,471.98593377252456,491.78919251914186,491.78919251914186
2025-02-01,107,0,468.4856216823199,21.208247750721622,487.65098745615853,487.65098745615853,498.80266652762822,498.80266652762822
2025-02-01,108,0,468.58512200182088,15.330166293332203,484.43112139804185,484.43112139804185,496.46031591350243,496.46031591350243
2025-02-01,109,0,465.63524435807864,19.527839741358342,480.2479541769934,480.2479541769934,485.130246790093,485.130246790093
2025-02-01,110,0,460.17838905553043,21.512393943602959,480.2878897246365,480.2878897246365,489.30532942327301,489.30532942327301
2025-02-01,111,0,462.28357842818224,30.395923479928911,485.89307980382978,485.89307980382978,502.59617304218591,502.59617304218591
2025-02-01,112,0,480.41467819204087,26.400717829266888,511.91047986061318,511.91047986061318,526.27731715396692,526.27731715396692
2025-02-01,113,0,482.23999546041114,25.05995519648836,508.98224016232473,508.98224016232473,516.02969455371328,516.02969455371328
2025-02-01,114,0,460.02141935238211,23.963135358614306,465.87123395077674,465.87123395077674,495.77894970621315,495.77894970621315
2025-02-01,115,0,455.78429443692517,32.132496181531778,477.23500648381798,477.23500648381798,485.75426276072369,485.75426276072369
2025-02-01,116,0,458.31760276975854,26.489096327740739,484.29536379146157,484.29536379146157,490.09863883523815,490.09863883523815
2025-02-01,117,0,463.15219052775967,24.047759618012691,487.75129659530774,487.75129659530774,498.65876623983854,498.65876623983854
2025-02-01,118,0,465.9463136505546,20.098524504788589,480.00559349988185,480.00559349988185,483.73289268785481,483.73289268785481
2025-02-01,119,0,466.51475051068149,18.999456347590211,482.5813321151827,482.5813321151827,485.01713648107602,485.01713648107602
2025-02-01,120,0,465.89416491718089,23.389271379989058,484.97760970289556,484.97760970289556,498.88949396777736,498.88949396777736
2025-02-01,121,0,467.33923095824059,25.505464470093628,480.05668332856231,480.05668332856231,506.15738984203176,506.15738984203176
2025-02-01,122,0,466.33803831383722,24.96630236380711,485.79850426462951,485.79850426462951,509.39327865136397,509.39327865136397
2025-02-01,123,0,461.7626418566669,22.453615926073294,480.65206922518485,480.65206922518485,489.31836680995809,489.31836680995809
2025-02-01,124,0,465.74678895313309,15.713634990153555,480.69378081282775,480.69378081282775,492.69640648260292,492.69640648260292
2025-02-01,125,0,505.4339430178776,23.464614939141988,514.39418241454393,514.39418241454393,534.98972860137292,534.98972860137292
2025-02-01,126,0,483.26778057045624,21.002153587464658,503.55178329365714,503.55178329365714,506.28052881491527,506.28052881491527
2025-02-01,127,0,459.22352435169171,21.366653169681502,472.88493297293263,472.88493297293263,487.08283211900982,487.08283211900982
2025-02-01,128,0,466.08835575534675,23.933933988680412,481.31725838788964,481.31725838788964,502.18408057035379,502.18408057035379
2025-02-01,129,0,482.52288537778651,19.94019854332937,497.77232321311158,497.77232321311158,504.25775805691683,504.25775805691683
2025-02-01,130,0,474.39418322345625,33.1853093609704,505.04899694118001,505.04899694118001,517.87807924978551,517.87807924978551
2025-02-01,131,0,427.6379006779772,36.993657239986717,443.2676308578441,443.2676308578441,480.97669583336801,480.97669583336801
2025-02-01,132,0,418.13020731524125,34.481540625380191,434.02147756600198,434.02147756600198,471.68347213248973,471.68347213248973
2025-02-01,133,0,416.28634375691462,26.209961247692661,434.93097540427931,434.93097540427931,461.34894125555309,461.34894125555309
2025-02-01,134,0,408.92122760259434,28.553000533874251,435.60971536654876,435.60971536654876,440.37847290031419,440.37847290031419
2025-02-01,135,0,417.46484932260341,14.516488489270738,430.62165590040684,430.62165590040684,434.67270733689509,434.67270733689509
2025-02-01,136,0,410.16225214122943,22.301254439946817,432.66318585761599,432.66318585761599,437.36624683646005,437.36624683646005
2025-02-01,137,0,404.73930815950257,31.328083012328023,442.07015068369134,442.07015068369134,461.0959010200811,461.0959010200811
2025-02-01,138,0,411.62949581475795,15.33224619919458,420.23450726739998,420.23450726739998,425.98025331348231,425.98025331348231
