date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-02-01,3,15,15,8482.7663850000008,8842.475794799464,23010.311035166997,17.040032068561594,False
2025-02-02,3,16,16,8842.475794799464,8618.7100320873997,56483.907889211827,0,False
2025-02-03,3,17,17,8618.7100320873997,8517.5338815361374,55824.695999037176,24.320542722519605,False
2025-02-04,3,18,18,8517.5338815361374,8588.0910054585256,55848.954589075649,81.4987681544265,False
2025-02-05,3,19,19,8588.0910054585256,8374.9012357807242,54747.627961055354,17.382359907993077,False
2025-02-06,3,20,20,8374.9012357807242,8371.9833854733279,55160.401450268429,1.7312575623325301,False
2025-02-07,3,21,21,8371.9833854733279,8677.6003089691258,22400.038920512565,0,False
2025-02-08,3,22,22,8677.6003089691258,8716.8354471802122,20150.204950521751,3.183988028490603,False
2025-02-09,3,23,23,8716.8354471802122,8410.4546757024455,53504.510824450394,109.63770791973687,False
2025-02-10,3,24,24,8410.4546757024455,8270.0388851616262,53489.01411070711,15.688450098357471,False
2025-02-11,3,25,25,8270.0388851616262,8189.7817831265775,53040.45475839002,21.712233634569657,False
2025-02-12,3,26,26,8189.7817831265775,8157.5594620498632,52214.69915333367,0.048240394675111986,False
2025-02-13,3,26,26,8157.5594620498632,7416.9087525007508,51384.82593338786,16.352875002906899,False
2025-02-14,3,26,26,7416.9087525007508,7097.9158139705523,18650.859051241798,14.95779522714497,False
2025-02-15,3,26,26,7097.9158139705523,8084.9773938131866,19617.053992321798,103.2493560974622,False
2025-02-16,3,26,26,8084.9773938131866,7973.5910333430056,50653.078141186757,284.32186462627385,False
2025-02-17,3,26,26,7973.5910333430056,8137.6485128171207,49705.161314476463,4.4023834705505793,False
2025-02-18,3,26,26,8137.6485128171207,8391.908477882027,49055.640374785093,20.43466569019904,False
2025-02-19,3,26,26,8391.908477882027,7750.7361785190606,48814.334722147396,92.127325709963927,False
2025-02-20,3,26,26,7750.7361785190606,6849.8897811639808,48035.901317612661,14.185939923362014,False
2025-02-21,3,26,26,6849.8897811639808,6446.3569889928431,17919.161885671707,8.3675688444259002,False
