date,interval,planned_kwh,daily_planned_kwh,daily_planned_cost_yuan,daily_actual_cost_yuan
2025-03-20,10:00-10:10,0,63558.546666347262,39475.965372505838,40288.153702121948
2025-03-20,12:00-12:10,638.41247203976775,63558.546666347262,39475.965372505838,40288.153702121948
2025-03-20,14:00-14:10,0,63558.546666347262,39475.965372505838,40288.153702121948
2025-03-20,16:00-16:10,504.65431421498391,63558.546666347262,39475.965372505838,40288.153702121948
2025-03-20,18:00-18:10,667.82538341667987,63558.546666347262,39475.965372505838,40288.153702121948
2025-03-20,20:00-20:10,0,63558.546666347262,39475.965372505838,40288.153702121948
2025-06-21,10:00-10:10,0,43519.879573438666,25487.238705328113,25487.238705328113
2025-06-21,12:00-12:10,19.35048966336198,43519.879573438666,25487.238705328113,25487.238705328113
2025-06-21,14:00-14:10,0,43519.879573438666,25487.238705328113,25487.238705328113
2025-06-21,16:00-16:10,219.08200382799458,43519.879573438666,25487.238705328113,25487.238705328113
2025-06-21,18:00-18:10,466.12292676968372,43519.879573438666,25487.238705328113,25487.238705328113
2025-06-21,20:00-20:10,19.469863918653115,43519.879573438666,25487.238705328113,25487.238705328113
2025-09-23,10:00-10:10,0,67367.327567664091,42294.400896768318,43904.785377958375
2025-09-23,12:00-12:10,324.53331007259089,67367.327567664091,42294.400896768318,43904.785377958375
2025-09-23,14:00-14:10,0,67367.327567664091,42294.400896768318,43904.785377958375
2025-09-23,16:00-16:10,561.55089903785699,67367.327567664091,42294.400896768318,43904.785377958375
2025-09-23,18:00-18:10,725.60229950294809,67367.327567664091,42294.400896768318,43904.785377958375
2025-09-23,20:00-20:10,57.079896849728357,67367.327567664091,42294.400896768318,43904.785377958375
2025-12-21,10:00-10:10,0,97273.448625934645,62703.906866329839,63010.193010088573
2025-12-21,12:00-12:10,968.28855288004695,97273.448625934645,62703.906866329839,63010.193010088573
2025-12-21,14:00-14:10,0,97273.448625934645,62703.906866329839,63010.193010088573
2025-12-21,16:00-16:10,871.11872263212535,97273.448625934645,62703.906866329839,63010.193010088573
2025-12-21,18:00-18:10,687.10465549295191,97273.448625934645,62703.906866329839,63010.193010088573
2025-12-21,20:00-20:10,0,97273.448625934645,62703.906866329839,63010.193010088573
