origin,horizon,M,S,mean_net_kwh,mean_timewise_variance_kwh2,full_Q80_mean_kwh,reduced_Q80_mean_kwh,full_Q90_mean_kwh,reduced_Q90_mean_kwh,positive_Q90_tail_underestimate_kwh,expected_objective_yuan_all_horizons
2025-02-01,0,15,15,265.46858110333363,1700.5669992985738,292.78928908338207,292.78928908338207,312.23286645808759,312.23286645808759,0,134826.92198016378
2025-02-01,1,15,15,576.90394145845187,1630.8789934540378,602.75100516885527,602.75100516885527,623.26142141691082,623.26142141691082,0,134826.92198016378
2025-02-01,2,15,15,573.961721774073,1531.8866043368689,599.68277448389063,599.68277448389063,619.00517668477823,619.00517668477823,0,134826.92198016378
2025-02-02,0,16,16,576.68208154211925,1675.9607285113198,605.3616960583023,605.3616960583023,624.01286440799277,624.01286440799277,0,168041.35107136451
2025-02-02,1,16,16,573.02590935871785,1625.4595767117712,600.7010236894356,600.7010236894356,620.97095909370682,620.97095909370682,0,168041.35107136451
2025-02-02,2,16,16,570.19758695062501,1534.4349621169392,597.75932506922697,597.75932506922697,617.02570694214046,617.02570694214046,0,168041.35107136451
2025-02-03,0,17,17,568.66601230387323,1664.3380806416133,598.60456462463071,598.60456462463071,616.84229595285422,616.84229595285422,0,165875.14567790012
2025-02-03,1,17,17,566.65833229752343,1619.5518048915733,596.03648324020548,596.03648324020548,616.35070270438803,616.35070270438803,0,165875.14567790012
2025-02-03,2,17,17,558.80353297158319,1546.5793974423948,588.3228067131638,588.3228067131638,607.57408355298924,607.57408355298924,0,165875.14567790012
2025-02-04,0,18,18,565.07929058787568,1668.2462268442739,596.77781901105618,596.77781901105618,615.02063853377172,615.02063853377172,0,164815.81088381555
2025-02-04,1,18,18,557.44128048908897,1630.1780618963198,588.80108928966683,588.80108928966683,609.00328569075498,609.00328569075498,0,164815.81088381555
2025-02-04,2,18,18,557.6709414397352,1522.1221618259956,588.10072250476571,588.10072250476571,607.23347893619757,607.23347893619757,0,164815.81088381555
2025-02-05,0,19,19,555.72160031007638,1677.7814082153568,589.36475544169093,589.36475544169093,607.38512739177941,607.38512739177941,0,130383.26600353949
2025-02-05,1,19,19,555.37611438539557,1605.0783022619701,587.59623760954264,587.59623760954264,607.75105221575825,607.75105221575825,0,130383.26600353949
2025-02-05,2,19,19,247.5633484995941,1528.9566114878821,280.01105942688446,280.01105942688446,297.78769865588879,297.78769865588879,0,130383.26600353949
2025-02-06,0,20,20,555.98713483194672,1649.6025805982947,584.09492768820701,584.09492768820701,597.21492373300805,597.21492373300805,0,95598.276800986132
2025-02-06,1,20,20,250.78777258761232,1612.2850094975272,278.53829509640258,278.53829509640258,292.28554505880766,292.28554505880766,0,95598.276800986132
2025-02-06,2,20,20,226.54820257567485,1510.0990506462122,253.62858656372248,253.62858656372248,267.81136059186616,267.81136059186616,0,95598.276800986132
2025-02-07,0,21,21,252.72907426424521,1648.5043344418868,282.28947584522211,282.28947584522211,295.4817181649255,295.4817181649255,0,93559.672483565533
2025-02-07,1,21,21,227.78739470427757,1594.8147119791365,256.58734590292664,256.58734590292664,270.10524858590111,270.10524858590111,0,93559.672483565533
2025-02-07,2,21,21,537.73255696436854,1504.7937392997928,566.57463383166282,566.57463383166282,579.70398698439158,579.70398698439158,0,93559.672483565533
2025-02-08,0,22,22,224.34214593366266,1626.9900365425628,254.4328069811871,254.4328069811871,267.84339610415549,267.84339610415549,0,124166.25528040245
2025-02-08,1,22,22,535.06611498469647,1584.2586281450874,565.7339240944649,565.7339240944649,578.39691200648804,578.39691200648804,0,124166.25528040245
2025-02-08,2,22,22,537.00248842422297,1589.9026183122648,567.43847244004428,567.43847244004428,580.56619010111842,580.56619010111842,0,124166.25528040245
2025-02-09,0,23,23,536.0567533657304,1608.2302492658014,567.15470399927347,567.15470399927347,580.01905088473984,580.01905088473984,0,156917.64474583915
2025-02-09,1,23,23,536.24928252202312,1665.2750829335605,568.52309600386513,568.52309600386513,581.11978622548747,581.11978622548747,0,156917.64474583915
