origin,step,mean_scenario_soc_kwh,scenario_soc_Q10_kwh,scenario_soc_Q90_kwh
2025-02-01,0,8985.7076218609127,8964.1308974590847,9012.6756247698486
2025-02-01,1,9722.8584910260342,9689.0434357295198,9762.6756247698486
2025-02-01,2,9728.8243737882258,9696.1583792066322,9763.9882154495135
2025-02-01,3,9736.8309313735044,9675.7678048423513,9797.9097816280591
2025-02-01,4,9746.2071502257259,9675.8076300915982,9840.7524279250156
2025-02-01,5,9757.2166282811759,9633.234543246368,9861.9323436687828
2025-02-01,6,9755.1683628361043,9623.3770358566726,9877.8524368555918
2025-02-01,7,9750.604721488553,9622.6465843398692,9890.6785952685477
2025-02-01,8,9778.3488930107123,9642.422588754971,9878.9511491219891
2025-02-01,9,9775.7163755858164,9654.3068092265949,9890.130529676544
2025-02-01,10,9769.0284728007227,9638.7196288055366,9904.9855823648431
2025-02-01,11,9797.1615347898878,9638.2524318341257,9949.3246889291531
2025-02-01,12,9811.1731433984787,9647.3266069045585,9969.4224887041219
2025-02-01,13,9787.9436324812978,9601.530290690127,9956.8835070241475
2025-02-01,14,9794.3233499735998,9578.3741858422727,9958.1753547414773
2025-02-01,15,9784.4547080760567,9584.7153459612127,9960.6219315579874
2025-02-01,16,9769.1918322319889,9595.1924562868844,9952.7388158007452
2025-02-01,17,9772.5026481512577,9551.1536002499633,9964.4928239434357
2025-02-01,18,9771.5284869188545,9534.426128463936,9977.999000059639
2025-02-01,19,9781.5603563280929,9534.479645704836,9977.8975008537636
2025-02-01,20,9802.252877273213,9527.569780388174,9990.6618444588858
2025-02-01,21,9824.7240410821778,9534.1414673674208,10022.664242887295
2025-02-01,22,9835.0154536602749,9560.5573940288887,10014.141844783431
2025-02-01,23,9838.7905383785037,9608.8883498022296,9987.3381712098562
2025-02-01,24,9842.0103533978836,9639.1640009197563,9995.9654027432698
2025-02-01,25,9847.3045404221775,9633.1988653939188,9971.184632338056
2025-02-01,26,9850.7531787987482,9602.8104438201572,9982.0553574547303
2025-02-01,27,9871.0787090127214,9603.8670925437636,10021.568784125759
2025-02-01,28,9900.4840489247908,9635.7409190513008,10049.731177292517
2025-02-01,29,9908.9328370913699,9654.9819611815183,10044.581654426593
2025-02-01,30,9916.5871217857984,9654.8594202389031,10073.066906463508
2025-02-01,31,9918.7819726572743,9640.6999935958247,10094.008703364965
2025-02-01,32,9933.7989067696835,9684.0753594777416,10085.880732854181
2025-02-01,33,10660.22873936537,10422.238663158241,10800
2025-02-01,34,10436.135185604697,10214.729278975226,10587.648747456074
2025-02-01,35,9832.7607220000791,9642.1053788378649,9984.4003936887311
2025-02-01,36,9220.1666943950295,9009.1344252670515,9358.3763175640415
2025-02-01,37,8613.2536293764206,8405.0714359661688,8798.6939060614586
2025-02-01,38,7999.080099322221,7811.2922588681558,8178.2862071449827
2025-02-01,39,7387.2404999273813,7186.4980723952931,7584.2986100763528
2025-02-01,40,6700.8811490881199,6500.2117239814352,6875.4925345219845
2025-02-01,41,6040.6919008701861,5852.2881400120341,6243.4550090019138
2025-02-01,42,5449.4968494672676,5269.6410313931638,5638.1012572153732
2025-02-01,43,4896.9465495127151,4698.3347548017036,5077.7136645746805
2025-02-01,44,4392.4087204635443,4156.1451726829846,4620.7621022137573
2025-02-01,45,3932.5128698753583,3627.6734563064788,4234.1257909486521
2025-02-01,46,3551.1773846915653,3218.5199876563056,3892.7291095549167
2025-02-01,47,3208.1000088265673,2807.1019548200511,3605.1310757495226
2025-02-01,48,2914.0824566544779,2447.6567193180754,3333.6262703813559
2025-02-01,49,2688.0358296630825,2232.5000128067427,3120.7742525083254
2025-02-01,50,2515.4868390479714,1997.1146034953961,2992.0056391590911
2025-02-01,51,2398.764668669437,1822.9622452348242,2929.565909851181
2025-02-01,52,2312.7895223476544,1669.2446248879978,2874.7630514019274
2025-02-01,53,2224.320642685766,1488.7004895821019,2797.2931682254898
2025-02-01,54,2166.7871660729716,1415.8524744587435,2789.502578556655
2025-02-01,55,2163.3520493023575,1401.6791942378593,2819.520294968183
2025-02-01,56,2221.9089979188898,1368.3664486080868,2916.1439301022638
2025-02-01,57,2302.3582202344064,1379.326379161552,3027.2177030397675
2025-02-01,58,2396.1626625682225,1468.5129733027338,3141.7858946577007
2025-02-01,59,2536.2856280944065,1628.6242479505543,3301.8971693055209
2025-02-01,60,2728.6423063091424,1828.5378710286609,3518.9586096736862
2025-02-01,61,2959.321169179153,2030.3632340676113,3784.1113143275657
2025-02-01,62,3214.0214580339389,2244.2410709629867,4098.4713498795927
2025-02-01,63,3467.0829291014261,2488.5878745697901,4410.8754699960273
2025-02-01,64,3734.1456403290344,2755.1976085304013,4714.3792483536163
2025-02-01,65,4017.4630632073749,3037.7861361740925,5017.9780458108744
2025-02-01,66,4324.3706076374474,3359.3436933630396,5323.9916550942407
2025-02-01,67,4637.50856746301,3698.0134370782084,5699.6380674898428
2025-02-01,68,4953.1444805301062,4001.4947858142696,6104.9426810539589
2025-02-01,69,5267.2008582582457,4222.7395501218753,6466.8488541592997
2025-02-01,70,5600.3545082634828,4536.7273450878465,6800.6328375213479
2025-02-01,71,6335.7533462278434,5286.7273450878465,7550.6328375213479
2025-02-01,72,7070.0842056700112,6036.7273450878465,8300.6328375213488
2025-02-01,73,7510.5024998254348,6535.7094178385842,8828.114910261289
2025-02-01,74,8243.9864377782269,7272.3749939373965,9578.114910261289
2025-02-01,75,8976.847194904627,7921.9666005524459,10328.114910261289
