model,horizon,origins,mean_kw,std_kw,q0.1_kw,q0.5_kw,q0.8_kw,q0.9_kw
load_week,0,334,-1.9494697043413223,244.28137576970826,-268.71000000000004,-8.0740000000000691,158.73880000000008,263.50125000000003
load_week,1,333,-1.413925319069073,244.27209016426585,-268.0569999999995,-7.6041000000000167,159.10979999999981,263.9101799999998
load_week,2,332,-0.83095069653614362,244.2431131692131,-267.2839799999997,-7.0077000000001135,159.4688399999998,264.41152000000022
load_lgb_1,0,334,-0.6184889242517575,197.61280762631773,-214.43990622579304,-4.7023042812047606,130.11700005572129,216.79551897360989
load_lgb_1,1,333,2.5374599178072086,210.94404348059257,-219.54297884547677,-2.8360431692756265,134.04372368090853,227.009690136156
load_lgb_1,2,332,4.0777483354002646,216.83056382872621,-220.83043570687011,-1.8414601882202533,137.13321071500894,232.14682815741338
pv_mean7,0,334,-2.7692022125392071,303.84827924060494,-279.82276428571458,0,63.358928571427896,274.30332857142866
pv_mean7,1,333,-3.2307246354773174,312.21620289767509,-293.73170061224437,0,67.676742448979851,284.86363816326491
pv_mean7,2,332,-3.9700572444783986,320.49656910887893,-306.68194705539292,0,69.431424314868636,293.33609078717274
pv_dhr,0,334,-15.407305103059979,320.34684671648267,-285.56535857300491,0,75.912149721561718,287.17923907095224
pv_dhr,1,333,-16.699527731730345,333.79924500842037,-298.44575913372927,0,78.20430039511831,296.64907150474392
pv_dhr,2,332,-17.625868552296467,347.08395101558426,-311.89164244565126,0,79.521388505363419,306.82616473944762
