step,grid,charge_cap,discharge_cap,role
0,566.22436926781563,43.274133592282411,833.33333333333326,first_day_frozen
1,1381.9023301006373,833.33333333333326,692.55620473135366,first_day_frozen
2,623.15076329663816,48.180900265555238,833.33333333333326,first_day_frozen
3,650.59675008862598,98.953887014767432,3.0669815927251687,first_day_frozen
4,638.19323753467745,80.958646412000661,8.6945550080856542,first_day_frozen
5,638.43046347153336,93.690492444878487,53.452519146313726,first_day_frozen
6,652.0323161337202,74.314350111511544,17.84417640855618,first_day_frozen
7,645.71028274887942,84.871619633436353,5.6903469528053705,first_day_frozen
8,645.7758026382545,93.001535348935818,21.872328900655724,first_day_frozen
9,626.64736109794762,55.175058667861776,21.425496678337289,first_day_frozen
10,628.17581819004238,49.74913193714292,23.553416231148649,first_day_frozen
11,661.32572217476184,149.19083131075661,3.7915065211847541,first_day_frozen
12,637.92356871288962,79.959543860913982,26.497244029670096,first_day_frozen
13,679.87918105932863,93.140610092688263,11.51382218005004,first_day_frozen
14,668.46325874065303,72.534945658244609,15.336741848542601,first_day_frozen
15,640.66324235854358,47.046732151130186,61.698314889566944,first_day_frozen
16,658.98366529841837,71.11982810608481,66.076762326073705,first_day_frozen
17,700.76292367717019,100.91577152035401,32.775519909240174,first_day_frozen
18,674.75202211792453,56.995947961462093,38.348055094998095,first_day_frozen
19,665.86337344941819,58.215490387140449,23.049979495546431,first_day_frozen
20,683.35305611958051,107.78865145852785,6.7040717562775747,first_day_frozen
21,692.94360264124703,80.892560388982929,17.67302781086239,first_day_frozen
22,672.8124820603407,48.634696104885144,40.303276956085654,first_day_frozen
23,673.15540504570845,62.011747195933026,54.020786671257845,first_day_frozen
24,701.70960504764662,66.447023015953846,29.112306068609428,first_day_frozen
25,684.3216270072694,57.388361445517603,32.818550041068264,first_day_frozen
26,700.30403416952788,84.328148063864319,17.209886649118687,first_day_frozen
27,709.06197493233537,75.708981676158828,9.2251551649497738,first_day_frozen
28,703.32178785735653,93.953908362611401,3.0463338330222429,first_day_frozen
29,678.58927048171438,74.963560524493687,17.761167201845332,first_day_frozen
30,691.53474086838128,71.937408213255821,15.741795583827598,first_day_frozen
31,723.48383847413618,82.051923178979905,13.976495647050314,first_day_frozen
32,719.53709304812628,99.118918198110464,30.640488345584458,first_day_frozen
33,1502.4052365886741,833.33333333333326,0,first_day_frozen
34,787.03946027177687,132.07002346429806,2.6018783051836714,first_day_frozen
35,867.70677616627279,14.969277493069967,68.568958251824299,first_day_frozen
36,161.38819612932292,0,754.14624531310233,first_day_frozen
37,898.18067796726439,68.336249609543074,24.224372707683372,first_day_frozen
38,883.85892190852167,41.460571985474758,54.774441035063205,first_day_frozen
39,882.66060827065348,22.583413025778441,65.530179633061678,first_day_frozen
40,871.45102165138235,64.846465834696005,47.343525268509566,first_day_frozen
41,835.10989148839246,74.44398730913008,40.541123911059508,first_day_frozen
42,789.75075658679373,69.931446533708709,42.278785190321727,first_day_frozen
43,761.6308899210145,76.953424802796121,37.677692566612841,first_day_frozen
44,744.61514133741559,128.83766194069801,0.28385889207134152,first_day_frozen
45,1412.0128738606447,833.33333333333326,0,first_day_frozen
46,678.22672960696002,50.769608448235431,75.40178230057802,first_day_frozen
47,49.818012357427179,0,833.33333333333326,first_day_frozen
48,36.711839260433926,0,833.33333333333326,first_day_frozen
49,0,0,833.33333333333326,first_day_frozen
50,0,0,761.52892686750272,first_day_frozen
51,0,0,692.53949599390148,first_day_frozen
52,0,0,666.04125517482009,first_day_frozen
53,0,0,635.65680582982634,first_day_frozen
54,0.15545978629849916,0,573.01558927980443,first_day_frozen
55,0,0,517.77360707919934,first_day_frozen
56,0,0,493.77449603794065,first_day_frozen
57,81.968691118036844,0,347.62263177549772,first_day_frozen
58,0,0,379.43695640900756,first_day_frozen
59,0,0,353.83768597034441,first_day_frozen
60,0,0,328.42771378357276,first_day_frozen
61,0,0,276.53552213949081,first_day_frozen
62,0.16760664476624126,0,249.94309709795536,first_day_frozen
63,0,0,236.99891917433462,first_day_frozen
64,151.81713638415471,34.731205419642386,32.231858286303435,first_day_frozen
65,900.25701780040936,833.33333333333326,0,first_day_frozen
66,921.73769093360795,833.33333333333326,0,first_day_frozen
67,959.09844720540002,833.33333333333326,0,first_day_frozen
68,951.71265218618555,833.33333333333326,0,first_day_frozen
69,919.68759843192345,833.33333333333326,0,first_day_frozen
70,891.55384316137554,833.33333333333326,0,first_day_frozen
71,843.30780384342938,833.33333333333326,0,first_day_frozen
72,865.62391359846322,833.33333333333326,0,first_day_frozen
73,865.90228999263934,833.33333333333326,0,first_day_frozen
74,847.18826645011291,833.33333333333326,0,first_day_frozen
75,896.67807139538627,833.33333333333326,0,first_day_frozen
76,562.52571230908461,734.73898642281108,0,first_day_frozen
77,135.26666007842041,265.30797986391218,25.886420194195146,first_day_frozen
78,127.26641216651042,219.74332508263888,57.018881470717723,first_day_frozen
79,144.32391680191554,203.011748094984,70.473683134824469,first_day_frozen
80,135.39728722027803,202.16547920207645,53.289617779436519,first_day_frozen
81,124.16167990038841,207.44370971583595,58.348198317927178,first_day_frozen
82,4.0048619063157691,55.655946427938488,242.41236807615584,first_day_frozen
83,0,16.122185561443985,287.94984072659429,first_day_frozen
84,0,0,305.64179197698326,first_day_frozen
85,0,0,286.63122171724137,first_day_frozen
86,0,0,318.94503212183173,first_day_frozen
87,0,0,373.36213116005246,first_day_frozen
88,0.10969820182343334,0,443.81161618277315,first_day_frozen
89,1237.138515158812,833.33333333333326,0,first_day_frozen
90,1263.848903167602,833.33333333333326,0,first_day_frozen
91,1266.9978031661835,833.33333333333326,0,first_day_frozen
92,629.24596239469042,160.45027483757951,0,first_day_frozen
93,603.1930063620365,93.456283663978638,34.247688716941184,first_day_frozen
94,643.94596551266409,91.980026796091579,55.766920549476076,first_day_frozen
95,676.36723220667375,44.788496531846249,49.554733804665034,first_day_frozen
96,718.9799754038761,60.40984877552728,60.648581338334495,first_day_frozen
97,810.10025701109919,82.365553872868531,47.557191346415706,first_day_frozen
98,861.04633559561228,73.67221875583266,34.208082551792231,first_day_frozen
99,878.21352454083808,76.49020561152031,18.749095939267114,first_day_frozen
100,921.24711697128134,75.742362252503881,22.246490254114715,first_day_frozen
101,992.02178430962147,81.92962133869689,1.3329357211837802,first_day_frozen
102,1038.656774182341,76.025358952350871,40.251964434302863,first_day_frozen
103,1017.0499025471671,40.828466776229675,40.36893516494024,first_day_frozen
104,1024.2641787148016,44.025049874251977,23.895115660868505,first_day_frozen
105,1080.9047580157514,68.797852864637434,18.540381209803037,first_day_frozen
106,931.17017379630659,47.675597116672293,42.606675400799588,first_day_frozen
107,723.8014970091873,32.368530417636407,66.787727617706409,first_day_frozen
108,688.27727215515529,21.647207075843426,58.870414828528702,first_day_frozen
109,715.03375101198594,24.480310243238364,65.348636477820634,first_day_frozen
110,713.52990492853689,32.170561557384644,61.651464212339029,first_day_frozen
111,706.25926502412574,51.276907521710541,71.798533999017607,first_day_frozen
112,323.52478262241698,0,487.82570522648143,first_day_frozen
113,5.0051767767214121,0,723.98205365822434,first_day_frozen
114,1.9590606154927661,0,770.80098973560962,first_day_frozen
115,6.1274300992793256,0,814.54155477541372,first_day_frozen
116,4.0966859917935112,0,765.87759043891629,first_day_frozen
117,2.6746868469713174,0,764.99882719317463,first_day_frozen
118,2.3159416396676069,0,748.75070794111105,first_day_frozen
119,2.545716508418165,0,718.41280345595294,first_day_frozen
120,1.6432873286156022,0,750.52399008764087,first_day_frozen
121,6.1951985465241242,0,772.19678891269973,first_day_frozen
122,1.8505097431135564,0,782.89204782156628,first_day_frozen
123,0.020787302022852911,0,780.04084208647259,first_day_frozen
124,715.53682903991069,11.226010998908222,54.354991834586599,first_day_frozen
125,733.90058991693797,48.107881305494274,67.361402056129634,first_day_frozen
126,728.3268127246597,29.051611001217111,42.513001183931472,first_day_frozen
127,727.68815993710996,42.53220451780669,48.311720379295608,first_day_frozen
128,727.35278596859155,41.092055382517401,69.65695141228602,first_day_frozen
129,727.96059344963078,0.8935250933746296,54.629153158523152,first_day_frozen
130,727.47994594819704,41.281870008183269,35.58953491878129,first_day_frozen
131,1420.6388096864953,833.33333333333326,0,first_day_frozen
132,1393.1298986789375,833.33333333333326,0,first_day_frozen
133,611.23400909907275,64.329078238814873,28.613190367789457,first_day_frozen
134,1398.0592084441287,833.33333333333326,0,first_day_frozen
135,1385.3396050979347,833.33333333333326,0,first_day_frozen
136,1341.8377332201428,833.33333333333326,0,first_day_frozen
137,1337.0941426830238,833.33333333333326,0,first_day_frozen
138,702.2590953170394,164.16509310497327,0,first_day_frozen
139,1374.1834343512567,833.33333333333326,0,first_day_frozen
140,1378.5996876718953,833.33333333333326,0,first_day_frozen
141,1362.8539253700003,833.33333333333326,0,first_day_frozen
142,587.82072276958479,42.273082614528676,28.890449574650347,first_day_frozen
143,599.78230442524557,58.007018672173231,14.662777731663041,first_day_frozen
144,1366.0177524343112,833.33333333333326,0,open_loop_proxy_only
145,1365.3255294451967,833.33333333333326,0,open_loop_proxy_only
146,607.68206739867219,43.895397718440563,38.790327018702669,open_loop_proxy_only
147,619.22930183529559,51.345699597416001,47.18657373069118,open_loop_proxy_only
148,656.07692054298673,105.30433917615971,0,open_loop_proxy_only
149,700.24691736938473,153.3377371919529,0,open_loop_proxy_only
150,654.87959907034019,71.137627451257117,12.820736508404806,open_loop_proxy_only
151,638.86750824262856,76.616636251029263,19.608296343798429,open_loop_proxy_only
152,654.16315397290873,76.2354857478593,44.545966725365133,open_loop_proxy_only
153,643.75612036621362,39.737235998964138,39.254124857842157,open_loop_proxy_only
154,641.29119008806367,62.198591682673054,19.312842738216659,open_loop_proxy_only
155,657.08269934078226,133.63167778269451,0.73239782777238016,open_loop_proxy_only
156,664.46865407003133,98.566406960009886,0,open_loop_proxy_only
157,681.01926208208283,91.618051261682794,12.511923309174543,open_loop_proxy_only
158,666.48296503584106,72.901519834582686,13.863196300182203,open_loop_proxy_only
159,638.02532936351849,55.538604855321864,44.927742736169535,open_loop_proxy_only
160,664.8867112530836,77.924893230124781,61.972012067457626,open_loop_proxy_only
161,715.32757927953594,73.471566431082465,48.770738837269391,open_loop_proxy_only
162,664.90371395955674,33.199207400347071,64.560910764607343,open_loop_proxy_only
163,641.77589932022545,33.378318025002272,51.665599876001814,open_loop_proxy_only
164,686.49495073362391,97.57637485111627,19.056443533683364,open_loop_proxy_only
165,679.5496320179459,67.208915300671833,31.517319043054727,open_loop_proxy_only
166,676.6468727433338,26.294182120778064,60.206161042053054,open_loop_proxy_only
167,680.62053829370404,39.629521862190472,81.963550019804075,open_loop_proxy_only
168,676.76381545324375,57.906581555437583,35.471848097101415,open_loop_proxy_only
169,694.28817165028011,75.802015969952322,19.945215480465901,open_loop_proxy_only
170,703.96354477914497,84.460165960852663,27.073900584557354,open_loop_proxy_only
171,694.16068815533822,62.649798403176419,25.880629602104978,open_loop_proxy_only
172,682.44139990521512,53.011022640041801,17.918417610892661,open_loop_proxy_only
173,683.36582282044014,54.240590132490865,30.29678343772142,open_loop_proxy_only
174,688.45181281910629,71.427330829231778,24.654256191156833,open_loop_proxy_only
175,701.58961421470769,55.366585171166207,44.813651535844741,open_loop_proxy_only
176,716.56084850564025,80.708665082893731,24.798716388044227,open_loop_proxy_only
177,1516.6911403382028,833.33333333333326,0,open_loop_proxy_only
178,808.73194668976703,102.40350187636678,0.006258079576029558,open_loop_proxy_only
179,856.3623844422317,23.890547745748563,79.940519084152697,open_loop_proxy_only
180,90.377285295397471,0,832.9816997149801,open_loop_proxy_only
181,895.6128503897969,71.881684526509503,33.140423505925234,open_loop_proxy_only
182,891.18771313517345,45.562691209680452,58.214606553187934,open_loop_proxy_only
183,884.21164309483504,22.308936042857113,74.737460083325004,open_loop_proxy_only
184,872.26245417398343,62.547024855643258,58.878910133955571,open_loop_proxy_only
185,838.20571690768634,92.190253907086571,27.142128818947807,open_loop_proxy_only
186,792.62819148252424,90.881853464030655,31.935896484974023,open_loop_proxy_only
187,756.80720664666455,87.956153308805483,27.780118084668928,open_loop_proxy_only
188,774.77077274186468,194.5988457344329,0.17303082074952897,open_loop_proxy_only
189,1410.1489429759044,833.33333333333326,0,open_loop_proxy_only
190,681.65643290706726,47.690765247440254,44.252584649193338,open_loop_proxy_only
191,40.552835218323857,0,833.33333333333326,open_loop_proxy_only
192,24.844456797602426,0,833.33333333333326,open_loop_proxy_only
193,0,0,821.48235792383809,open_loop_proxy_only
194,0,0,767.2883061970341,open_loop_proxy_only
195,0,0,685.41665702450291,open_loop_proxy_only
196,0,0,653.71636035162567,open_loop_proxy_only
197,0,0,653.80050881342811,open_loop_proxy_only
198,0.091184862668773611,0,579.37320052031725,open_loop_proxy_only
199,0.092138857546649383,0,509.96782404001266,open_loop_proxy_only
200,0,0,503.38507211062074,open_loop_proxy_only
