date,start,end,interval,emergency_kwh,cost_yuan,intervals
2025-03-20,2025-03-20 01:00:00,2025-03-20 01:30:00,01:00-01:30,29.043991147607017,62.318998053156662,3
2025-03-20,2025-03-20 15:40:00,2025-03-20 16:00:00,15:40-16:00,44.852395808561596,179.72223439162332,2
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:10:00,20:00-20:10,12.61138068335481,85.208793587086774,1
2025-03-20,2025-03-20 20:30:00,2025-03-20 20:50:00,20:30-20:50,80.733683059846157,559.49038900225878,2
2025-03-20,2025-03-20 21:30:00,2025-03-20 21:50:00,21:30-21:50,36.118896572474796,144.83511400185577,2
2025-03-20,2025-03-20 23:30:00,2025-03-20 23:40:00,23:30-23:40,3.4319783848326324,7.2757941758451814,1
2025-09-23,2025-09-23 05:00:00,2025-09-23 05:10:00,05:00-05:10,7.7049353757673771,16.692742491600022,1
2025-09-23,2025-09-23 14:50:00,2025-09-23 15:00:00,14:50-15:00,37.151586600151262,124.34636035070628,1
2025-09-23,2025-09-23 20:30:00,2025-09-23 21:10:00,20:30-21:10,291.39777223373778,1898.3161919386628,4
2025-09-23,2025-09-23 21:20:00,2025-09-23 21:40:00,21:20-21:40,42.274383661612021,208.21174688460755,2
2025-12-21,2025-12-21 03:40:00,2025-12-21 03:50:00,03:40-03:50,46.030327977527577,100.34611499101013,1
2025-12-21,2025-12-21 10:40:00,2025-12-21 10:50:00,10:40-10:50,13.642693211996175,54.502559381924719,1
2025-12-21,2025-12-21 19:50:00,2025-12-21 20:00:00,19:50-20:00,16.427343229505368,110.7367207100957,1
