date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-02-01,2,16,16,8482.7663850000008,8597.6406132099673,22627.690868564012,26.277447893906952,False
2025-02-02,2,17,17,8597.6406132099673,8704.6403151203231,56751.190089101096,16.748328875473476,False
2025-02-03,2,18,18,8704.6403151203231,8504.6963178199676,55692.290088399095,15.925447706280181,False
2025-02-04,2,19,19,8504.6963178199676,8604.5832796342456,55968.185701572678,10.635049018408949,False
2025-02-05,2,20,20,8604.5832796342456,8246.7995237302566,55174.30625785247,18.452612965341075,False
2025-02-06,2,21,21,8246.7995237302566,8753.7631692921132,55925.680070535505,17.334933333333424,False
2025-02-07,2,22,22,8753.7631692921132,8249.2399768396117,20987.688450708079,15.783016666666583,False
2025-02-08,2,23,23,8249.2399768396117,7924.4169749502407,19316.68659151582,3.7000000000000455,False
2025-02-09,2,24,24,7924.4169749502407,7795.0684036193406,58420.936593614621,1030.9813095200532,False
2025-02-10,2,25,25,7795.0684036193406,7967.5245485163914,52644.694267121879,7.8199666666668008,False
2025-02-11,2,26,26,7967.5245485163914,7865.7084838039127,51397.551399057462,36.984944289817484,False
2025-02-12,2,27,27,7865.7084838039127,7862.147164824285,51291.185835504308,13.940909046897644,False
2025-02-13,2,27,27,7862.147164824285,6822.4707597428433,50382.147541612037,23.648664015705663,False
2025-02-14,2,27,27,6822.4707597428433,6500.3778864399173,18621.300900853472,61.490209718006582,False
2025-02-15,2,27,27,6500.3778864399173,7576.4607957684657,20265.796428692858,304.57565810881687,False
2025-02-16,2,27,27,7576.4607957684657,7790.6602987707311,53333.503994772356,655.94342561644169,False
2025-02-17,2,27,27,7790.6602987707311,7807.9761950322727,48819.260035081956,18.439433333333341,False
2025-02-18,2,27,27,7807.9761950322727,8077.5325417519216,48936.625632738345,49.467955968971935,False
2025-02-19,2,27,27,8077.5325417519216,7586.4144449575269,50854.596562999541,530.36105038297751,False
2025-02-20,2,27,27,7586.4144449575269,6062.6998211811633,47107.119824210597,85.015964675813393,False
2025-02-21,2,27,27,6062.6998211811633,5979.6774363709119,17761.075715755891,3.4350000000000023,False
2025-02-22,2,27,27,5979.6774363709119,7836.7784672576781,18937.155273806562,75.993187117448883,False
2025-02-23,2,27,27,7836.7784672576781,7644.9127157087123,48625.966869018288,431.0062203597808,False
2025-02-24,2,27,27,7644.9127157087123,7824.4034514028835,46532.06593246384,75.910421667039259,False
2025-02-25,2,27,27,7824.4034514028835,7767.7191614629364,46068.368848385515,28.61858333333339,False
2025-02-26,2,27,27,7767.7191614629364,7989.0687256583133,45954.155769920006,79.65542092902821,False
2025-02-27,2,27,27,7989.0687256583133,5646.7291998707569,46264.747905258249,591.87794122568505,False
2025-02-28,2,27,27,5646.7291998707569,5403.2748524449626,17115.005890747103,51.00091437196744,False
2025-03-01,2,27,27,5403.2748524449626,7799.1117595204223,19102.139604753025,166.3187669890859,False
2025-03-02,2,27,27,7799.1117595204223,7795.2781753485524,74248.794638044987,5043.7516941444073,False
2025-03-03,2,27,27,7795.2781753485524,7709.5287744947136,68957.198835143456,4003.1399995285719,False
2025-03-04,3,26,26,7709.5287744947136,7650.8179813853403,46267.61696802824,185.12647112049018,False
2025-03-05,3,26,26,7650.8179813853403,7835.1817821370159,45957.385883069699,64.309810509082126,False
2025-03-06,2,27,27,7835.1817821370159,5137.4402268563472,44519.36300244736,34.137445853900147,False
2025-03-07,2,27,27,5137.4402268563472,4321.2870046267917,16363.336945783487,0,False
2025-03-08,2,27,27,4321.2870046267917,8053.2232310638856,19184.900464875245,390.03176262406657,False
2025-03-09,2,27,27,8053.2232310638856,7968.0171090260128,43525.188734449672,26.454653418825274,False
2025-03-10,2,27,27,7968.0171090260128,7720.9055930489867,52229.457595435691,1419.7383312689099,False
2025-03-11,2,27,27,7720.9055930489867,7838.7058074148317,44528.437411841798,171.32198780227793,False
2025-03-12,2,27,27,7838.7058074148317,7550.3225819396748,43873.225947087696,112.48324983313375,False
2025-03-13,2,27,27,7550.3225819396748,3931.5085471666157,50851.727530314136,1566.255235323873,False
2025-03-14,2,27,27,3931.5085471666157,4100.4898524684968,16026.750701174007,131.91102693739637,False
2025-03-15,2,27,27,4100.4898524684968,7705.9517580905149,18365.933456276645,216.0196437386731,False
2025-03-16,2,27,27,7705.9517580905149,8129.6943917678836,42988.127544605661,71.347776124602433,False
2025-03-17,2,27,27,8129.6943917678836,8413.6506247337184,42833.636526731054,30.108333333333462,False
2025-03-18,2,27,27,8413.6506247337184,8000.7249548645059,42112.902928259136,119.60580889263565,False
2025-03-19,2,27,27,8000.7249548645059,8463.9331250057548,41770.469952617372,0.36163333333342962,False
2025-03-20,2,27,27,8463.9331250057548,3951.4381703020804,39826.224535772759,102.20966787233601,False
2025-03-21,2,27,27,3951.4381703020804,3784.9516630603257,15695.281056361531,200.7143381842701,False
2025-03-22,2,27,27,3784.9516630603257,8539.3863555531116,17430.083367182633,0,False
2025-03-23,2,27,27,8539.3863555531116,8008.2407216525089,40223.003526789733,78.557649094718386,False
2025-03-24,2,27,27,8008.2407216525089,8007.3083547688384,39946.135207515683,89.41084196152562,False
2025-03-25,2,27,27,8007.3083547688384,7802.3198549999988,41908.800597978872,654.63328299527245,False
2025-03-26,2,27,27,7802.3198549999988,7949.016575131106,38679.97712956406,26.198544283828653,False
2025-03-27,2,27,27,7949.016575131106,3287.2162390933299,36867.299244298643,171.63248003314715,False
2025-03-28,2,27,27,3287.2162390933299,3769.3457245017044,15014.351065036471,65.243152223349583,False
2025-03-29,2,27,27,3769.3457245017044,7911.8869508580219,17120.871006445952,143.85254580682397,False
2025-03-30,2,27,27,7911.8869508580219,8325.0746183940755,37246.774458952175,42.443852674089499,False
2025-03-31,2,27,27,8325.0746183940755,8039.7287499560289,43726.721764897287,1277.1615789519165,False
2025-04-01,2,27,27,8039.7287499560289,7968.2670454428553,59064.842037526949,3401.5783842988039,False
