date,start,end,interval,emergency_kwh,cost_yuan,intervals
2025-02-01,2025-02-01 15:20:00,2025-02-01 15:30:00,15:20-15:30,8.4981978939069052,31.052415104335832,1
2025-02-01,2025-02-01 19:20:00,2025-02-01 19:30:00,19:20-19:30,15.536666666666633,104.74043833333312,1
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:20:00,21:10-21:20,2.242583333333414,10.507624208333711,1
2025-02-02,2025-02-02 01:40:00,2025-02-02 01:50:00,01:40-01:50,1.6493666666665376,3.5733528833330541,1
2025-02-02,2025-02-02 02:50:00,2025-02-02 03:00:00,02:50-03:00,15.098962208806938,32.893089171885912,1
2025-02-03,2025-02-03 10:30:00,2025-02-03 10:50:00,10:30-10:50,15.925447706280181,75.99475196017579,2
2025-02-04,2025-02-04 14:20:00,2025-02-04 14:30:00,14:20-14:30,1.0880823517422868,5.5878469173725138,1
2025-02-04,2025-02-04 22:10:00,2025-02-04 22:20:00,22:10-22:20,9.5469666666666626,20.850575199999994,1
2025-02-05,2025-02-05 10:10:00,2025-02-05 10:20:00,10:10-10:20,18.452612965341075,88.461826555845107,1
2025-02-06,2025-02-06 21:10:00,2025-02-06 21:20:00,21:10-21:20,17.334933333333424,81.222830133333758,1
2025-02-07,2025-02-07 18:30:00,2025-02-07 18:40:00,18:30-18:40,15.783016666666583,98.817467349999475,1
2025-02-08,2025-02-08 01:50:00,2025-02-08 02:00:00,01:50-02:00,3.7000000000000455,7.9753500000000983,1
2025-02-09,2025-02-09 04:00:00,2025-02-09 04:10:00,04:00-04:10,16.140449999999987,35.517060224999973,1
2025-02-09,2025-02-09 09:40:00,2025-02-09 09:50:00,09:40-09:50,1.4162644618322702,6.7761173176364959,1
2025-02-09,2025-02-09 10:00:00,2025-02-09 10:10:00,10:00-10:10,9.4429404087324542,46.832262957108611,1
2025-02-09,2025-02-09 10:20:00,2025-02-09 10:50:00,10:20-10:50,107.02868915630049,454.64084914837309,3
2025-02-09,2025-02-09 13:00:00,2025-02-09 13:10:00,13:00-13:10,4.1562714245357313,17.94678001114529,1
2025-02-09,2025-02-09 20:20:00,2025-02-09 21:10:00,20:20-21:10,786.96622838546841,5415.0966226599876,5
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,21:20-21:40,105.83046568318382,512.14579550435371,2
2025-02-10,2025-02-10 04:40:00,2025-02-10 04:50:00,04:40-04:50,6.0949666666666644,13.475971299999994,1
2025-02-10,2025-02-10 18:50:00,2025-02-10 19:00:00,18:50-19:00,1.7250000000001364,11.614425000000919,1
2025-02-11,2025-02-11 21:30:00,2025-02-11 21:40:00,21:30-21:40,36.984944289817484,182.5391925423942,1
2025-02-12,2025-02-12 14:10:00,2025-02-12 14:20:00,14:10-14:20,10.115919899386739,50.468324378040442,1
2025-02-12,2025-02-12 15:30:00,2025-02-12 15:40:00,15:30-15:40,3.8249891475109052,14.40873411867358,1
2025-02-13,2025-02-13 03:10:00,2025-02-13 03:20:00,03:10-03:20,5.3383057764837076,11.666867274505142,1
2025-02-13,2025-02-13 05:40:00,2025-02-13 05:50:00,05:40-05:50,8.0375999999999976,22.939310399999993,1
2025-02-13,2025-02-13 19:30:00,2025-02-13 19:50:00,19:30-19:50,10.272758239221957,69.250033753518707,2
2025-02-14,2025-02-14 03:00:00,2025-02-14 03:10:00,03:00-03:10,6.3144244128586138,13.809646190921789,1
2025-02-14,2025-02-14 07:40:00,2025-02-14 07:50:00,07:40-07:50,6.4088609530716099,27.558102098207922,1
2025-02-14,2025-02-14 16:00:00,2025-02-14 16:10:00,16:00-16:10,1.5218576594758417,6.2936423507623429,1
2025-02-14,2025-02-14 17:10:00,2025-02-14 17:50:00,17:10-17:50,47.245066692600517,236.77766740024524,4
2025-02-15,2025-02-15 03:30:00,2025-02-15 03:40:00,03:30-03:40,1.6299999999999955,3.5476949999999898,1
2025-02-15,2025-02-15 05:50:00,2025-02-15 06:10:00,05:50-06:10,35.994699999999909,168.14613396666627,2
2025-02-15,2025-02-15 06:40:00,2025-02-15 06:50:00,06:40-06:50,1.2494262251495343,5.2738280963561843,1
2025-02-15,2025-02-15 15:50:00,2025-02-15 16:00:00,15:50-16:00,12.82934131616625,51.670172150859571,1
2025-02-15,2025-02-15 17:10:00,2025-02-15 17:20:00,17:10-17:20,5.504456967574697,26.812209889056348,1
