date,start,end,interval,emergency_kwh,cost_yuan,intervals
2025-02-01,2025-02-01 03:30:00,2025-02-01 03:40:00,03:30-03:40,12.860799999999927,27.991531199999837,1
2025-02-01,2025-02-01 08:50:00,2025-02-01 09:00:00,08:50-09:00,16.299166666666679,84.429683333333386,1
2025-02-01,2025-02-01 15:20:00,2025-02-01 15:40:00,15:20-15:40,52.075233333333387,194.04780646666688,2
2025-02-01,2025-02-01 18:00:00,2025-02-01 18:20:00,18:00-18:20,12.146816666666666,75.800220024999987,2
2025-02-01,2025-02-01 19:10:00,2025-02-01 19:40:00,19:10-19:40,115.41270000000003,777.73748679166692,3
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:30:00,21:10-21:30,51.367966666666689,240.68460781666678,2
2025-02-01,2025-02-01 23:50:00,2025-02-02 00:00:00,23:50-00:00+1日,7.42999999999995,15.885339999999893,1
2025-02-02,2025-02-02 01:40:00,2025-02-02 02:00:00,01:40-02:00,18.081183333333229,39.163827024999776,2
2025-02-02,2025-02-02 02:40:00,2025-02-02 03:10:00,02:40-03:10,85.364649999999983,186.0458450666666,3
2025-02-02,2025-02-02 18:20:00,2025-02-02 18:40:00,18:20-18:40,34.068399999999997,213.67605989999998,2
2025-02-02,2025-02-02 19:00:00,2025-02-02 19:20:00,19:00-19:20,33.340350000000171,224.79606647500117,2
2025-02-03,2025-02-03 00:20:00,2025-02-03 00:40:00,00:20-00:40,13.406549999999811,28.627210799999599,2
2025-02-03,2025-02-03 01:50:00,2025-02-03 02:20:00,01:50-02:20,35.224233333333359,75.840834200000046,3
2025-02-03,2025-02-03 03:00:00,2025-02-03 03:30:00,03:00-03:30,66.965616666666619,146.20429432499989,3
2025-02-03,2025-02-03 04:10:00,2025-02-03 04:20:00,04:10-04:20,7.0785833333334267,15.533951125000206,1
2025-02-03,2025-02-03 06:30:00,2025-02-03 06:40:00,06:30-06:40,1.4228666666666641,6.1190380999999885,1
2025-02-03,2025-02-03 09:00:00,2025-02-03 09:20:00,09:00-09:20,44.838266666666925,224.21246280833461,2
2025-02-03,2025-02-03 09:30:00,2025-02-03 10:00:00,09:30-10:00,68.179133333333397,326.71684023333364,3
2025-02-03,2025-02-03 10:10:00,2025-02-03 10:50:00,10:10-10:50,232.87185000000011,1109.8566051333339,4
2025-02-03,2025-02-03 16:10:00,2025-02-03 16:30:00,16:10-16:30,11.781166666666877,51.376752750000918,2
2025-02-03,2025-02-03 17:00:00,2025-02-03 17:20:00,17:00-17:20,26.686616666666623,128.7807767833331,2
2025-02-03,2025-02-03 18:10:00,2025-02-03 18:40:00,18:10-18:40,45.216916666666748,283.02515337500051,3
2025-02-03,2025-02-03 20:20:00,2025-02-03 20:40:00,20:20-20:40,29.33901666666668,200.18752610000013,2
2025-02-03,2025-02-03 23:50:00,2025-02-04 00:00:00,23:50-00:00+1日,15.758333333333326,33.691316666666651,1
2025-02-04,2025-02-04 00:20:00,2025-02-04 00:30:00,00:20-00:30,23.706666666666706,50.601880000000087,1
2025-02-04,2025-02-04 02:10:00,2025-02-04 02:20:00,02:10-02:20,5.1116333333333159,11.051351266666629,1
2025-02-04,2025-02-04 09:20:00,2025-02-04 09:30:00,09:20-09:30,24.079583333333289,116.78597916666645,1
2025-02-04,2025-02-04 16:00:00,2025-02-04 16:20:00,16:00-16:20,33.275966666666477,139.66813661666589,2
2025-02-04,2025-02-04 17:50:00,2025-02-04 18:00:00,17:50-18:00,6.8166666666667197,41.96680833333366,1
2025-02-04,2025-02-04 18:20:00,2025-02-04 18:40:00,18:20-18:40,27.522633333333374,172.40507396666692,2
2025-02-04,2025-02-04 19:10:00,2025-02-04 19:20:00,19:10-19:20,1.0256000000001677,6.8945960000011279,1
2025-02-04,2025-02-04 20:40:00,2025-02-04 20:50:00,20:40-20:50,7.3197166666666362,44.745427983333144,1
2025-02-04,2025-02-04 22:10:00,2025-02-04 22:20:00,22:10-22:20,79.125400000000013,172.80987360000003,1
2025-02-05,2025-02-05 01:00:00,2025-02-05 01:10:00,01:00-01:10,6.9911166666666986,15.069351975000069,1
2025-02-05,2025-02-05 01:40:00,2025-02-05 01:50:00,01:40-01:50,14.535116666666681,31.490330258333366,1
2025-02-05,2025-02-05 03:50:00,2025-02-05 04:10:00,03:50-04:10,1.297583333333364,2.8522079583333997,2
2025-02-05,2025-02-05 06:00:00,2025-02-05 06:20:00,06:00-06:20,49.247133333333295,218.8054938666665,2
2025-02-05,2025-02-05 07:00:00,2025-02-05 07:20:00,07:00-07:20,32.315683333333368,129.12575076666681,2
2025-02-05,2025-02-05 08:30:00,2025-02-05 08:40:00,08:30-08:40,3.0322499999999764,16.086086249999873,1
2025-02-05,2025-02-05 09:00:00,2025-02-05 10:50:00,09:00-10:50,882.38226666666651,4244.3271457416668,11
2025-02-05,2025-02-05 13:40:00,2025-02-05 14:30:00,13:40-14:30,186.84041666666658,930.20643225833294,5
2025-02-05,2025-02-05 16:30:00,2025-02-05 16:40:00,16:30-16:40,3.5151000000000749,15.860131200000337,1
2025-02-05,2025-02-05 17:20:00,2025-02-05 17:40:00,17:20-17:40,31.627416666666704,155.08775333333352,2
2025-02-05,2025-02-05 18:00:00,2025-02-05 18:20:00,18:00-18:20,41.833050000000071,261.34530142500046,2
2025-02-05,2025-02-05 18:40:00,2025-02-05 19:10:00,18:40-19:10,50.721649999999954,336.13171387499972,3
2025-02-05,2025-02-05 19:40:00,2025-02-05 20:10:00,19:40-20:10,51.570133333333274,347.64426519999961,3
2025-02-05,2025-02-05 20:20:00,2025-02-05 20:40:00,20:20-20:40,130.10308066666607,907.36064573066244,2
2025-02-05,2025-02-05 21:00:00,2025-02-05 21:20:00,21:00-21:20,2.7606166666665786,12.876039416666268,2
2025-02-05,2025-02-05 22:10:00,2025-02-05 22:20:00,22:10-22:20,6.3209333333334143,13.804918400000178,1
2025-02-06,2025-02-06 00:50:00,2025-02-06 01:00:00,00:50-01:00,1.2416666666665606,2.6602708333331062,1
2025-02-06,2025-02-06 03:40:00,2025-02-06 03:50:00,03:40-03:50,2.7816000000000258,6.0638880000000563,1
2025-02-06,2025-02-06 04:50:00,2025-02-06 05:00:00,04:50-05:00,3.3266666666667106,7.3103500000000956,1
2025-02-06,2025-02-06 07:50:00,2025-02-06 08:00:00,07:50-08:00,1.8154166666665787,10.544847708332822,1
2025-02-06,2025-02-06 12:50:00,2025-02-06 13:10:00,12:50-13:10,49.418283333333271,206.80514180833308,2
2025-02-06,2025-02-06 13:30:00,2025-02-06 13:40:00,13:30-13:40,34.897366666666414,150.45999638333222,1
2025-02-06,2025-02-06 14:00:00,2025-02-06 14:30:00,14:00-14:30,113.19673333333333,565.94707619999986,3
2025-02-06,2025-02-06 18:50:00,2025-02-06 19:10:00,18:50-19:10,24.184283333333383,162.89992425833367,2
2025-02-06,2025-02-06 20:30:00,2025-02-06 20:40:00,20:30-20:40,9.4998333333332994,66.270837333333091,1
2025-02-06,2025-02-06 21:00:00,2025-02-06 21:20:00,21:00-21:20,76.786316666666607,355.81625661666646,2
2025-02-07,2025-02-07 01:20:00,2025-02-07 01:30:00,01:20-01:30,1.9183333333334076,4.1042741666668254,1
2025-02-07,2025-02-07 02:00:00,2025-02-07 02:20:00,02:00-02:20,23.569583333333412,50.812406958333504,2
2025-02-07,2025-02-07 03:20:00,2025-02-07 03:40:00,03:20-03:40,30.507616666666763,66.410775175000211,2
2025-02-07,2025-02-07 04:40:00,2025-02-07 04:50:00,04:40-04:50,3.2995499999999538,7.2953050499998975,1
2025-02-07,2025-02-07 08:20:00,2025-02-07 09:00:00,08:20-09:00,84.706883333333138,449.34094012499895,4
2025-02-07,2025-02-07 15:40:00,2025-02-07 15:50:00,15:40-15:50,4.7012166666666815,18.388808991666725,1
2025-02-07,2025-02-07 18:20:00,2025-02-07 18:50:00,18:20-18:50,119.65718333333342,757.9563013416672,3
2025-02-07,2025-02-07 19:00:00,2025-02-07 19:20:00,19:00-19:20,37.765616666666631,254.30926999166644,2
2025-02-07,2025-02-07 19:30:00,2025-02-07 19:50:00,19:30-19:50,31.483783333333349,212.21718504166677,2
2025-02-07,2025-02-07 20:40:00,2025-02-07 21:10:00,20:40-21:10,72.895266666666771,364.87397001666727,3
2025-02-08,2025-02-08 00:20:00,2025-02-08 01:10:00,00:20-01:10,84.215583333333313,180.0525076583333,5
2025-02-08,2025-02-08 01:50:00,2025-02-08 02:10:00,01:50-02:10,62.67734999999999,135.03220177499998,2
2025-02-08,2025-02-08 02:50:00,2025-02-08 03:20:00,02:50-03:20,25.309183333333408,55.303536016666833,3
2025-02-08,2025-02-08 03:50:00,2025-02-08 04:40:00,03:50-04:40,47.67073333333343,104.38033806666688,5
2025-02-08,2025-02-08 04:50:00,2025-02-08 05:20:00,04:50-05:20,34.253999999999792,75.009286383332878,3
2025-02-08,2025-02-08 06:20:00,2025-02-08 06:30:00,06:20-06:30,8.4749999999999091,37.1162624999996,1
2025-02-08,2025-02-08 07:00:00,2025-02-08 07:30:00,07:00-07:30,69.459583333333455,273.00065083333385,3
2025-02-08,2025-02-08 17:20:00,2025-02-08 18:10:00,17:20-18:10,56.68123333333341,310.31070199166703,5
2025-02-08,2025-02-08 18:30:00,2025-02-08 19:20:00,18:30-19:20,138.37906666666657,918.38431581666623,5
2025-02-08,2025-02-08 19:40:00,2025-02-08 20:50:00,19:40-20:50,138.74571666666657,931.783820191666,7
2025-02-08,2025-02-08 22:10:00,2025-02-08 22:20:00,22:10-22:20,44.869849999999985,97.995752399999972,1
2025-02-09,2025-02-09 00:30:00,2025-02-09 01:00:00,00:30-01:00,41.922683333333453,89.66732765000026,3
2025-02-09,2025-02-09 01:20:00,2025-02-09 01:40:00,01:20-01:40,51.546916666666561,110.6726298333331,2
2025-02-09,2025-02-09 02:00:00,2025-02-09 02:20:00,02:00-02:20,47.975133333333133,103.4022947583329,2
2025-02-09,2025-02-09 03:10:00,2025-02-09 03:30:00,03:10-03:30,22.512033333333306,49.119098849999943,2
2025-02-09,2025-02-09 03:50:00,2025-02-09 04:20:00,03:50-04:20,68.32510000000002,150.20382865000005,3
2025-02-09,2025-02-09 04:40:00,2025-02-09 04:50:00,04:40-04:50,21.454516666666677,47.43593635000002,1
2025-02-09,2025-02-09 05:40:00,2025-02-09 05:50:00,05:40-05:50,10.693400000000111,30.518963600000315,1
2025-02-09,2025-02-09 06:00:00,2025-02-09 06:20:00,06:00-06:20,8.9240833333333285,39.512631833333309,2
2025-02-09,2025-02-09 07:00:00,2025-02-09 07:20:00,07:00-07:20,38.803566666666825,155.79717073333399,2
2025-02-09,2025-02-09 09:00:00,2025-02-09 10:50:00,09:00-10:50,687.61276666666674,3236.6938860583336,11
2025-02-09,2025-02-09 12:50:00,2025-02-09 14:50:00,12:50-14:50,686.11088333333328,3186.9174568083326,12
2025-02-09,2025-02-09 17:10:00,2025-02-09 17:20:00,17:10-17:20,5.7707833333332701,28.109485616666355,1
2025-02-09,2025-02-09 17:50:00,2025-02-09 18:10:00,17:50-18:10,58.421999999999898,362.78479766666601,2
2025-02-09,2025-02-09 19:10:00,2025-02-09 20:00:00,19:10-20:00,65.972616666666454,444.64686578333186,5
2025-02-09,2025-02-09 20:30:00,2025-02-09 21:10:00,20:30-21:10,480.03528566666614,3274.1434460773298,4
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,21:20-21:40,35.42541666666682,169.45839395833411,2
2025-02-09,2025-02-09 22:10:00,2025-02-09 22:20:00,22:10-22:20,17.185233333333372,37.532549600000088,1
2025-02-09,2025-02-09 23:40:00,2025-02-09 23:50:00,23:40-23:50,12.239900000000034,26.138306450000073,1
2025-02-10,2025-02-10 01:00:00,2025-02-10 01:20:00,01:00-01:20,53.577866666666637,115.35040229999994,2
