date,interval,planned_kwh,daily_planned_kwh,daily_planned_cost_yuan,daily_actual_cost_yuan
2025-03-20,10:00-10:10,0,62414.360470832267,38491.983959312071,43621.121732670399
2025-03-20,12:00-12:10,567.51439285714287,62414.360470832267,38491.983959312071,43621.121732670399
2025-03-20,14:00-14:10,0,62414.360470832267,38491.983959312071,43621.121732670399
2025-03-20,16:00-16:10,482.64816666666667,62414.360470832267,38491.983959312071,43621.121732670399
2025-03-20,18:00-18:10,697.40021666666667,62414.360470832267,38491.983959312071,43621.121732670399
2025-03-20,20:00-20:10,0,62414.360470832267,38491.983959312071,43621.121732670399
2025-06-21,10:00-10:10,0,40051.208732833627,21835.826116151839,24602.40248335541
2025-06-21,12:00-12:10,0,40051.208732833627,21835.826116151839,24602.40248335541
2025-06-21,14:00-14:10,0,40051.208732833627,21835.826116151839,24602.40248335541
2025-06-21,16:00-16:10,164.49280238095236,40051.208732833627,21835.826116151839,24602.40248335541
2025-06-21,18:00-18:10,0,40051.208732833627,21835.826116151839,24602.40248335541
2025-06-21,20:00-20:10,0,40051.208732833627,21835.826116151839,24602.40248335541
2025-09-23,10:00-10:10,0,65095.176771546146,40199.702044028789,54866.017540265166
2025-09-23,12:00-12:10,410.95318333333319,65095.176771546146,40199.702044028789,54866.017540265166
2025-09-23,14:00-14:10,0,65095.176771546146,40199.702044028789,54866.017540265166
2025-09-23,16:00-16:10,510.2406809523809,65095.176771546146,40199.702044028789,54866.017540265166
2025-09-23,18:00-18:10,764.0861523809524,65095.176771546146,40199.702044028789,54866.017540265166
2025-09-23,20:00-20:10,0,65095.176771546146,40199.702044028789,54866.017540265166
2025-12-21,10:00-10:10,0,93484.61231560845,59626.084750499191,65257.11243065157
2025-12-21,12:00-12:10,916.1828095238094,93484.61231560845,59626.084750499191,65257.11243065157
2025-12-21,14:00-14:10,0,93484.61231560845,59626.084750499191,65257.11243065157
2025-12-21,16:00-16:10,798.969638095238,93484.61231560845,59626.084750499191,65257.11243065157
2025-12-21,18:00-18:10,720.82493333333332,93484.61231560845,59626.084750499191,65257.11243065157
2025-12-21,20:00-20:10,0,93484.61231560845,59626.084750499191,65257.11243065157
