date,interval,charge_kwh,discharge_kwh,soc_at_0000,soc_at_2400
2025-02-01,00:00-04:00,1741.3706833333322,0,8482.7663850000008,9092.434890264547
2025-02-01,04:00-08:00,833.33333333333326,6626.1339119047607,8482.7663850000008,9092.434890264547
2025-02-01,08:00-12:00,4332.216428571428,645.68436666666662,8482.7663850000008,9092.434890264547
2025-02-01,12:00-16:00,4645.3370017636635,0,8482.7663850000008,9092.434890264547
2025-02-01,16:00-20:00,0,5860.2288880952401,8482.7663850000008,9092.434890264547
2025-02-01,20:00-24:00,8113.4642666666659,2248.4857666666667,8482.7663850000008,9092.434890264547
2025-02-02,00:00-04:00,1063.961233039392,0,9092.434890264547,8780.7914629629631
2025-02-02,04:00-08:00,1666.6666666666665,1538.064557142859,9092.434890264547,8780.7914629629631
2025-02-02,08:00-12:00,5833.333333333333,6687.556514285714,9092.434890264547,8780.7914629629631
2025-02-02,12:00-16:00,5144.0381334509138,1341.0498166666669,9092.434890264547,8780.7914629629631
2025-02-02,16:00-20:00,0,5602.9068666666662,9092.434890264547,8780.7914629629631
2025-02-02,20:00-24:00,8162.9433333333327,2826.3649166666664,9092.434890264547,8780.7914629629631
2025-02-03,00:00-04:00,1410.2317078189299,0,8780.7914629629631,8700.8824461375643
2025-02-03,04:00-08:00,1666.6666666666665,1775.0426642857142,8780.7914629629631,8700.8824461375643
2025-02-03,08:00-12:00,5792.5342071428568,6643.0444714285713,8780.7914629629631,8700.8824461375643
2025-02-03,12:00-16:00,5640.9331003233328,1518.0213833333332,8780.7914629629631,8700.8824461375643
2025-02-03,16:00-20:00,0,5649.9599738095249,8780.7914629629631,8700.8824461375643
2025-02-03,20:00-24:00,8164.4715333333334,2852.4677666666666,8780.7914629629631,8700.8824461375643
2025-02-04,00:00-04:00,1499.0195042915952,0,8700.8824461375643,8798.6879446031744
2025-02-04,04:00-08:00,1650.0128476190475,1601.4293619047648,8700.8824461375643,8798.6879446031744
2025-02-04,08:00-12:00,5786.9866738095234,7161.8160761904765,8700.8824461375643,8798.6879446031744
2025-02-04,12:00-16:00,6467.7328007348606,1824.5877428571425,8700.8824461375643,8798.6879446031744
2025-02-04,16:00-20:00,0,5544.9854261904757,8700.8824461375643,8798.6879446031744
2025-02-04,20:00-24:00,8051.1186333333326,2777.6015166666666,8700.8824461375643,8798.6879446031744
2025-02-05,00:00-04:00,1344.822978218695,0,8798.6879446031744,8605.3760453703708
2025-02-05,04:00-08:00,1666.6666666666665,1626.1880357142857,8798.6879446031744,8605.3760453703708
2025-02-05,08:00-12:00,5615.9132404761895,7235.4068499999994,8798.6879446031744,8605.3760453703708
2025-02-05,12:00-16:00,6426.3610474426723,1530.7730499999998,8798.6879446031744,8605.3760453703708
2025-02-05,16:00-20:00,0,5729.3462833333351,8798.6879446031744,8605.3760453703708
2025-02-05,20:00-24:00,8132.9124166666661,2833.4743333333331,8798.6879446031744,8605.3760453703708
2025-02-06,00:00-04:00,1543.789244032921,0,8605.3760453703708,8849.6194296296326
2025-02-06,04:00-08:00,1666.6666666666665,1486.9144333333334,8605.3760453703708,8849.6194296296326
2025-02-06,08:00-12:00,5813.7507285714273,6822.7008238095241,8605.3760453703708,8849.6194296296326
2025-02-06,12:00-16:00,5821.9491421810671,1740.6093666666666,8605.3760453703708,8849.6194296296326
2025-02-06,16:00-20:00,0,5425.4330333333319,8605.3760453703708,8849.6194296296326
2025-02-06,20:00-24:00,8110.8453333333327,2899.6941999999999,8605.3760453703708,8849.6194296296326
2025-02-07,00:00-04:00,1333.7561893004081,0,8849.6194296296326,8165.6111481481521
2025-02-07,04:00-08:00,833.33333333333326,6288.4973333333328,8849.6194296296326,8165.6111481481521
2025-02-07,08:00-12:00,4290.4850602292763,998.73304761904774,8849.6194296296326,8165.6111481481521
2025-02-07,12:00-16:00,4706.0956569958862,0,8849.6194296296326,8165.6111481481521
2025-02-07,16:00-20:00,0,6094.3686642857137,8849.6194296296326,8165.6111481481521
2025-02-07,20:00-24:00,7467.8833333333332,2325.5668023809512,8849.6194296296326,8165.6111481481521
2025-02-08,00:00-04:00,344.36626102292394,0,8165.6111481481521,8642.9730170370385
2025-02-08,04:00-08:00,833.33333333333326,6159.0183119047615,8165.6111481481521,8642.9730170370385
2025-02-08,08:00-12:00,4500.1901404761902,376.85931666666664,8165.6111481481521,8642.9730170370385
2025-02-08,12:00-16:00,5318.1937160787766,0,8165.6111481481521,8642.9730170370385
2025-02-08,16:00-20:00,0,6092.3095928571429,8165.6111481481521,8642.9730170370385
2025-02-08,20:00-24:00,8117.2771999999986,2424.0092238095226,8165.6111481481521,8642.9730170370385
2025-02-09,00:00-04:00,1563.3633144032906,0,8642.9730170370385,8511.4607099999994
2025-02-09,04:00-08:00,1662.4592476190473,2383.6887023809522,8642.9730170370385,8511.4607099999994
2025-02-09,08:00-12:00,5132.6692119047621,6574.0945571428565,8642.9730170370385,8511.4607099999994
2025-02-09,12:00-16:00,6720.532765432099,1649.7181333333333,8642.9730170370385,8511.4607099999994
2025-02-09,16:00-20:00,0,5772.1856952380949,8642.9730170370385,8511.4607099999994
2025-02-09,20:00-24:00,8123.8452333333335,2532.9985041190525,8642.9730170370385,8511.4607099999994
2025-02-10,00:00-04:00,1695.0499333333337,0,8511.4607099999994,8550.3405146825389
2025-02-10,04:00-08:00,1666.6666666666665,2178.2272714285723,8511.4607099999994,8550.3405146825389
2025-02-10,08:00-12:00,5833.333333333333,4989.0509499999998,8511.4607099999994,8550.3405146825389
2025-02-10,12:00-16:00,3873.2937692533815,1358.3948166666667,8511.4607099999994,8550.3405146825389
2025-02-10,16:00-20:00,0,5657.0155142857157,8511.4607099999994,8550.3405146825389
2025-02-10,20:00-24:00,7990.2610833333329,2839.7894999999999,8511.4607099999994,8550.3405146825389
2025-02-11,00:00-04:00,1653.5286003527344,0,8550.3405146825389,8519.2787592592595
2025-02-11,04:00-08:00,1666.6666666666665,2431.5816666666665,8550.3405146825389,8519.2787592592595
2025-02-11,08:00-12:00,5833.333333333333,5946.3715547619049,8550.3405146825389,8519.2787592592595
2025-02-11,12:00-16:00,5136.7555044385635,1172.4833666666668,8550.3405146825389,8519.2787592592595
2025-02-11,16:00-20:00,0,5825.5351500000006,8550.3405146825389,8519.2787592592595
2025-02-11,20:00-24:00,8087.0216666666656,2777.6015166666666,8550.3405146825389,8519.2787592592595
2025-02-12,00:00-04:00,1700.8013786008228,0,8519.2787592592595,8572.8685835978795
2025-02-12,04:00-08:00,1660.7859595238092,2394.6361999999999,8519.2787592592595,8572.8685835978795
2025-02-12,08:00-12:00,5833.333333333333,5488.4248666666663,8519.2787592592595,8572.8685835978795
2025-02-12,12:00-16:00,4829.8021092592589,1424.315269047619,8519.2787592592595,8572.8685835978795
2025-02-12,16:00-20:00,0,5728.8565214285718,8519.2787592592595,8572.8685835978795
2025-02-12,20:00-24:00,8089.7579999999989,2828.2657333333336,8519.2787592592595,8572.8685835978795
2025-02-13,00:00-04:00,1632.3910293356894,0,8572.8685835978795,7852.6508454270588
2025-02-13,04:00-08:00,1618.2940285714283,2356.0305404761903,8572.8685835978795,7852.6508454270588
2025-02-13,08:00-12:00,5833.333333333333,4285.6052166666668,8572.8685835978795,7852.6508454270588
2025-02-13,12:00-16:00,2548.9496111111112,776.65005000000019,8572.8685835978795,7852.6508454270588
2025-02-13,16:00-20:00,0,5656.7185666666664,8572.8685835978795,7852.6508454270588
2025-02-13,20:00-24:00,7241.1912685815059,2861.2605999999996,8572.8685835978795,7852.6508454270588
2025-02-14,00:00-04:00,0,0,7852.6508454270588,7490.4041590854113
2025-02-14,04:00-08:00,567.43553482825382,5963.9748285714286,7852.6508454270588,7490.4041590854113
2025-02-14,08:00-12:00,3165.0783976190451,213.09401666666668,7852.6508454270588,7490.4041590854113
2025-02-14,12:00-16:00,6581.5888785714278,0,7852.6508454270588,7490.4041590854113
2025-02-14,16:00-20:00,0,6211.301742857142,7852.6508454270588,7490.4041590854113
2025-02-14,20:00-24:00,6989.3379545393454,1953.4384497142876,7852.6508454270588,7490.4041590854113
2025-02-15,00:00-04:00,0,0,7490.4041590854113,8554.2152036243424
2025-02-15,04:00-08:00,817.95419610733472,5670.3080785714283,7490.4041590854113,8554.2152036243424
2025-02-15,08:00-12:00,3511.3805619047644,159.00708333333333,7490.4041590854113,8554.2152036243424
2025-02-15,12:00-16:00,6524.0285166666654,0,7490.4041590854113,8554.2152036243424
2025-02-15,16:00-20:00,0,6200.1618666666636,7490.4041590854113,8554.2152036243424
2025-02-15,20:00-24:00,7982.8722833333322,2270.4438333333333,7490.4041590854113,8554.2152036243424
2025-02-16,00:00-04:00,1626.4145737507306,0,8554.2152036243424,8542.367196666668
2025-02-16,04:00-08:00,1658.0363261904761,3303.1394470476207,8554.2152036243424,8542.367196666668
2025-02-16,08:00-12:00,5416.6228547619048,5479.9991809523799,8554.2152036243424,8542.367196666668
2025-02-16,12:00-16:00,5588.7056626690182,770.37638333333337,8554.2152036243424,8542.367196666668
2025-02-16,16:00-20:00,0,5750.7687666666661,8554.2152036243424,8542.367196666668
