date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-02-01,3,15,15,8482.7663850000008,8842.475794799464,23010.311035166997,17.040032068561594,False
2025-02-02,2,17,17,8842.475794799464,8603.1508781546127,56418.640743401622,0,False
2025-02-03,2,18,18,8603.1508781546127,8498.5090218130445,55800.575734160055,24.320542722519605,False
2025-02-04,2,19,19,8498.5090218130445,8621.8660891032523,55807.911601696578,81.4987681544265,False
2025-02-05,2,20,20,8621.8660891032523,8406.5029047910048,54644.35973353796,16.097349381677304,False
2025-02-06,2,21,21,8406.5029047910048,8521.3909407976007,55230.105579339492,0,False
2025-02-07,3,21,21,8521.3909407976007,8677.6003089691258,22329.51855439951,0,True
2025-02-08,2,23,23,8677.6003089691258,8586.2213947401251,20033.396788610957,13.686540462503899,True
2025-02-09,2,24,24,8586.2213947401251,8310.9191938564218,53440.93383587346,104.97379107645973,False
2025-02-10,2,25,25,8310.9191938564218,8208.3563538480212,53709.704445949967,13.073916993815487,False
2025-02-11,2,26,26,8208.3563538480212,8229.5717177909955,53194.310502860921,23.214728114827594,False
2025-02-12,2,27,27,8229.5717177909955,8142.3456762143087,52264.459052351653,0,False
2025-02-13,2,28,28,8142.3456762143087,7407.7056388878345,51366.826061960688,23.743677770034424,False
2025-02-14,2,29,29,7407.7056388878345,7193.8306843959581,18741.562478196316,6.7795955497866771,False
2025-02-15,2,30,30,7193.8306843959581,8029.1984844967365,19478.704697939738,87.203780117633968,False
2025-02-16,2,31,31,8029.1984844967365,7804.1587903492273,50257.331269587245,182.9210571181884,False
2025-02-17,2,32,32,7804.1587903492273,8365.0535031414001,49827.689017046985,0,False
2025-02-18,2,33,33,8365.0535031414001,8451.7368793332698,48961.029536538219,0,False
2025-02-19,2,34,34,8451.7368793332698,8051.5465383362771,49035.496371754947,25.072417690084887,False
2025-02-20,2,35,35,8051.5465383362771,6988.1500720284002,47972.732799128302,3.9913411842650959,False
2025-02-21,2,36,36,6988.1500720284002,6665.2984357991436,17876.517687377564,0,False
2025-02-22,2,37,37,6665.2984357991436,8054.7452920095575,18735.98746784118,20.045362684995155,False
2025-02-23,2,38,38,8054.7452920095575,7977.7921984741033,47843.769685334788,62.620005594962699,False
2025-02-24,2,39,39,7977.7921984741033,8246.6707905168369,47844.828739379227,33.412807120028674,False
2025-02-25,2,40,40,8246.6707905168369,8106.0155804834421,47273.787250250491,33.664618777641437,False
2025-02-26,2,41,40,8106.0155804834421,8357.9896172844055,46856.474268567807,17.79920166880299,False
2025-02-27,2,42,40,8357.9896172844055,6120.1464956014233,45258.338687724128,56.642847584789529,False
2025-02-28,2,43,40,6120.1464956014233,6040.4567909769439,17355.396242378054,9.4049533013720747,False
2025-03-01,2,44,40,6040.4567909769439,7914.9054090978316,18399.719886105053,16.443333333333307,False
2025-03-02,2,45,40,7914.9054090978316,7869.7248272921879,66382.978173225958,3577.0676825776577,False
2025-03-03,2,46,40,7869.7248272921879,7789.3148826689676,63354.440034019528,2947.020139223172,False
2025-03-04,3,46,40,7789.3148826689676,7858.341944000581,45747.9369559677,14.415634460736893,True
2025-03-05,3,47,40,7858.341944000581,7899.3048480493717,45451.134965516554,0,False
2025-03-06,3,48,40,7899.3048480493717,5771.216407694732,44473.164505951005,1.2820943916863143,False
2025-03-07,2,50,40,5771.216407694732,5021.3857459596229,16506.269592952347,0,False
2025-03-08,2,51,40,5021.3857459596229,8358.7218558355344,17878.258612429003,41.72804404771562,False
2025-03-09,3,51,40,8358.7218558355344,7994.9433205117366,43364.090974322906,18.324339656337656,False
2025-03-10,3,52,40,7994.9433205117366,7737.0033512729397,52846.570737544644,1532.2561264710353,False
2025-03-11,3,53,40,7737.0033512729397,8023.132128620503,42956.780931322282,21.109558843139521,False
2025-03-12,2,55,40,8023.132128620503,7572.6260024194462,42549.239802444608,80.421600803098613,False
2025-03-13,3,54,40,7572.6260024194462,4225.7853313205878,53788.50670744777,2059.6485436059452,False
2025-03-14,3,54,40,4225.7853313205878,4575.1013124546298,15826.10635481901,0,False
2025-03-15,3,54,40,4575.1013124546298,8021.1198859437372,17846.076041156353,133.67685677282185,False
2025-03-16,3,54,40,8021.1198859437372,7938.9986379353322,41906.679920866452,114.10076880183618,False
2025-03-17,3,54,40,7938.9986379353322,8129.5136904260153,41872.190641563859,32.627873209958125,False
2025-03-18,3,54,40,8129.5136904260153,8020.7377002234143,43402.041045008096,555.50011541132972,False
2025-03-19,3,54,40,8020.7377002234143,8291.7052434373381,40755.386807177718,2.0201089373526884,False
2025-03-20,3,54,40,8291.7052434373381,3975.7323905329145,39732.62458018076,251.14785642319171,False
2025-03-21,3,54,40,3975.7323905329145,4047.9596574834522,15212.03290787498,26.507801356633081,False
2025-03-22,2,55,40,4047.9596574834522,8305.8972980047438,17129.661948275108,1.1791687506564017,False
2025-03-23,3,54,40,8305.8972980047438,7941.1247955740491,39400.291104787771,100.78904458535324,False
2025-03-24,3,54,40,7941.1247955740491,7764.1892278557525,39021.565977682731,75.867729139778646,False
2025-03-25,3,54,40,7764.1892278557525,7752.7964137860645,44276.569140679545,833.16553776776971,False
2025-03-26,3,54,20,7752.7964137860645,8104.5909110675257,38706.625319822961,12.784159421286972,False
2025-03-27,3,54,40,8104.5909110675257,3583.9568231651961,36491.104975354334,146.88535636920091,False
2025-03-28,2,55,40,3583.9568231651961,4125.7032073426171,14910.185821817513,18.952553817522883,False
2025-03-29,2,55,40,4125.7032073426171,7829.4451308007283,16773.748636316519,72.216493991457583,False
2025-03-30,2,55,40,7829.4451308007283,8074.6583779235298,37175.135434836702,26.340458562090905,False
2025-03-31,2,55,40,8074.6583779235298,7944.8472561208127,37710.186730196707,180.04067816394894,False
2025-04-01,2,55,40,7944.8472561208127,7897.9886918332577,54215.39510862944,2597.4767938243799,False
2025-04-02,2,55,40,7897.9886918332577,7794.4275730187319,54710.860409078305,3140.9740842896072,False
2025-04-03,3,54,40,7794.4275730187319,3318.2292628354426,36352.651592758455,347.02858925110831,False
2025-04-04,3,54,40,3318.2292628354426,3730.0791252557474,14300.367659970427,0,False
2025-04-05,2,55,40,3730.0791252557474,7958.9370581724033,16237.943958886493,8.7700713164057333,False
2025-04-06,3,54,40,7958.9370581724033,8407.6776185840281,37115.750291402153,17.670562389568747,False
2025-04-07,3,54,40,8407.6776185840281,8338.8948161593871,36646.593320917345,7.2582228140767029,False
