origin,horizon,M,S,mean_net_kwh,mean_timewise_variance_kwh2,full_Q80_mean_kwh,reduced_Q80_mean_kwh,full_Q90_mean_kwh,reduced_Q90_mean_kwh,positive_Q90_tail_underestimate_kwh,expected_objective_yuan_all_horizons
2025-02-01,0,15,15,265.46858110333363,1700.5669992985738,292.78928908338207,292.78928908338207,312.23286645808759,312.23286645808759,0,134826.92198016378
2025-02-01,1,15,15,576.90394145845187,1630.8789934540378,602.75100516885527,602.75100516885527,623.26142141691082,623.26142141691082,0,134826.92198016378
2025-02-01,2,15,15,573.961721774073,1531.8866043368689,599.68277448389063,599.68277448389063,619.00517668477823,619.00517668477823,0,134826.92198016378
2025-02-02,0,17,17,576.9361906542614,1664.338080641613,606.87474297501899,606.87474297501899,625.11247430324261,625.11247430324261,0,111180.34878442185
2025-02-02,1,17,17,571.61078976358476,1619.5518048915733,600.98894070626682,600.98894070626682,621.30316017044913,621.30316017044913,0,111180.34878442185
2025-02-03,0,18,18,567.17933457250479,1668.2462268442741,598.87786299568529,598.87786299568529,617.12068251840071,617.12068251840071,0,110000.7869477092
2025-02-03,1,18,18,564.90272295050499,1630.1780618963201,596.26253175108309,596.26253175108309,616.46472815217112,616.46472815217112,0,110000.7869477092
2025-02-04,0,19,19,563.4314645970511,1677.7866109961751,597.07374838711735,597.07374838711735,615.0953751652479,615.0953751652479,0,108927.09389759228
2025-02-04,1,19,19,556.7679509748076,1605.0860964732908,588.98827639653689,588.98827639653689,609.14318129942671,609.14318129942671,0,108927.09389759228
2025-02-05,0,20,20,555.29810166896914,1649.6021952910089,583.40591448141333,583.40591448141333,596.52591052621437,596.52591052621437,0,108079.03587380044
2025-02-05,1,20,20,555.35729112581396,1612.2839441021538,583.10778903249263,583.10778903249263,596.85503899489754,596.85503899489754,0,108079.03587380044
2025-02-06,0,21,21,556.0273658542219,1648.5022498483788,585.58772832427678,585.58772832427678,598.77996836223406,598.77996836223406,0,75060.219308872343
2025-02-06,1,21,21,250.97835825911818,1594.8183612591981,279.77812669436429,279.77812669436429,293.29603093865779,293.29603093865779,0,75060.219308872343
2025-02-07,0,21,21,252.72907426424521,1648.5043344418868,282.28947584522211,282.28947584522211,295.4817181649255,295.4817181649255,0,93489.152117452482
2025-02-07,1,21,21,227.78739470427757,1594.8147119791365,256.58734590292664,256.58734590292664,270.10524858590111,270.10524858590111,0,93489.152117452482
2025-02-07,2,21,21,537.73255696436854,1504.7937392997928,566.57463383166282,566.57463383166282,579.70398698439158,579.70398698439158,0,93489.152117452482
2025-02-08,0,23,23,224.39263582259218,1608.2263350526255,255.49036441651029,255.49036441651029,268.35471126890786,268.35471126890786,0,70372.254614564707
2025-02-08,1,23,23,533.7533057279561,1665.2693913809492,566.02679412209409,566.02679412209409,578.62348459409418,578.62348459409418,0,70372.254614564707
2025-02-09,0,24,24,534.71693309422449,1699.0463310013099,567.38792287798242,567.38792287798242,580.23061000573341,580.23061000573341,0,103813.77921842392
2025-02-09,1,24,24,535.94606987640748,1667.3780013827818,569.03242341574958,569.03242341574958,581.54728259633805,581.54728259633805,0,103813.77921842392
2025-02-10,0,25,25,540.47971402773612,1698.1015631538776,569.86442599476732,569.86442599476732,586.46721083959096,586.46721083959096,0,104533.20882968449
2025-02-10,1,25,25,536.27873778727258,1689.7591532533688,565.10051169923759,565.10051169923759,582.07420527067802,582.07420527067802,0,104533.20882968449
2025-02-11,0,26,26,532.81175448907663,1717.4560770480341,562.66314923409186,562.66314923409186,579.06818448836964,579.06818448836964,0,102976.54176059979
2025-02-11,1,26,26,529.07294855500652,1729.4548014615139,559.33258683758925,559.33258683758925,576.22449617910888,576.22449617910888,0,102976.54176059979
2025-02-12,0,27,27,527.96443890432545,1771.9304911270171,559.3110762951369,559.3110762951369,575.39456112442303,575.39456112442303,0,101724.85256456611
2025-02-12,1,27,27,521.32446305653957,1708.8386553079376,552.51679145967421,552.51679145967421,569.12787283157149,569.12787283157149,0,101724.85256456611
