origin,step,horizon,mean_net_kwh,std_net_kwh,full_Q80_kwh,reduced_Q80_kwh,full_Q90_kwh,reduced_Q90_kwh
2025-02-01,0,0,435.35169308815904,23.028697348628409,457.78231169323846,457.78231169323846,461.58708650675845,461.58708650675845
2025-02-01,1,0,432.97632119430068,16.28444840474609,448.50787216965546,448.50787216965546,451.5828498235478,451.5828498235478
2025-02-01,2,0,440.57957791061699,15.902732822832672,449.47570241120729,449.47570241120729,463.89888970013794,463.89888970013794
2025-02-01,3,0,466.46092391327272,28.738143933795349,485.11714133350017,485.11714133350017,514.58177774505123,514.58177774505123
2025-02-01,4,0,472.76053188249296,28.940902798157939,506.7578618420506,506.7578618420506,512.81561723666732,512.81561723666732
2025-02-01,5,0,474.59534195479716,33.896232624640191,486.78750258937464,486.78750258937464,543.15532129553321,543.15532129553321
2025-02-01,6,0,471.47522400860817,24.49899704580325,491.49361021703913,491.49361021703913,500.77804245732602,500.77804245732602
2025-02-01,7,0,471.84177813006426,22.708429980975495,486.38689541832406,486.38689541832406,505.63948453136442,505.63948453136442
2025-02-01,8,0,467.96308551165123,22.574787266588107,480.17277422547852,480.17277422547852,497.04078772048024,497.04078772048024
2025-02-01,9,0,486.85816620106459,17.135176947940923,501.44436941194965,501.44436941194965,510.28134453561483,510.28134453561483
2025-02-01,10,0,486.90186481674357,19.73558815819321,499.55654767335886,499.55654767335886,515.51157750673462,515.51157750673462
2025-02-01,11,0,488.06315104815121,31.739945803679511,519.28633417181243,519.28633417181243,531.21686876479544,531.21686876479544
2025-02-01,12,0,499.88310879122389,21.933747115449869,514.05017719424723,514.05017719424723,533.33496776913205,533.33496776913205
2025-02-01,13,0,513.13071683968417,29.238417562026491,542.22040873591038,542.22040873591038,547.9817347317595,547.9817347317595
2025-02-01,14,0,513.33296115313249,22.42525580982042,533.08499899691924,533.08499899691924,542.50468062204482,542.50468062204482
2025-02-01,15,0,500.45080339368758,23.425786229922977,509.43091137489876,509.43091137489876,543.02857894566898,543.02857894566898
2025-02-01,16,0,505.24056566280734,31.633878483543555,523.91071021142716,523.91071021142716,552.3659976997385,552.3659976997385
2025-02-01,17,0,510.53136870915688,32.441252297002585,527.08670114278948,527.08670114278948,558.83543500203791,558.83543500203791
2025-02-01,18,0,505.65173301458469,18.980202669870508,521.50826539678064,521.50826539678064,536.74160658942515,536.74160658942515
2025-02-01,19,0,506.62576791998862,18.766587558572702,518.80057230357295,518.80057230357295,536.29573747095048,536.29573747095048
2025-02-01,20,0,513.44950489406267,30.810137467881081,541.22671288557126,541.22671288557126,542.50718247429813,542.50718247429813
2025-02-01,21,0,506.06370905543184,28.038303057210765,527.59387415744413,527.59387415744413,542.62690344613441,542.62690344613441
2025-02-01,22,0,509.91786635563324,21.560874500574137,522.53862693324481,522.53862693324481,542.21156003620683,542.21156003620683
2025-02-01,23,0,528.46635223368446,25.478204269043758,541.6526070186319,541.6526070186319,558.51545042495411,558.51545042495411
2025-02-01,24,0,533.0784447015908,22.718135108550658,557.27242455860141,557.27242455860141,564.76326601272558,564.76326601272558
2025-02-01,25,0,537.81683531625072,18.571543938528286,550.23581701574665,550.23581701574665,568.35966889183533,568.35966889183533
2025-02-01,26,0,551.53385577031986,24.196850143215439,572.75932982941401,572.75932982941401,578.51838136397635,578.51838136397635
2025-02-01,27,0,558.11248107992697,19.884711474863359,578.93994834282546,578.93994834282546,579.77267551907084,579.77267551907084
2025-02-01,28,0,553.76383297695349,26.363198898974325,584.88561115466439,584.88561115466439,588.58795771830842,588.58795771830842
2025-02-01,29,0,548.11123111141922,18.71732078316623,562.91759008085694,562.91759008085694,569.72833581011673,569.72833581011673
2025-02-01,30,0,545.01154547679903,14.625803097897863,556.87651899518619,556.87651899518619,560.72099154658906,560.72099154658906
2025-02-01,31,0,550.79565518406673,20.980763936244898,568.78681003563133,568.78681003563133,581.16215261473303,581.16215261473303
2025-02-01,32,0,551.81804519173818,26.077358708889911,569.73169011821346,569.73169011821346,578.73229211608668,578.73229211608668
2025-02-01,33,0,565.2835807703317,27.524520792785058,595.69843105410882,595.69843105410882,602.41141308086935,602.41141308086935
2025-02-01,34,0,563.35532253081522,29.250384489121291,581.16694326081893,581.16694326081893,605.01108385440227,605.01108385440227
2025-02-01,35,0,545.07973055246339,21.763180277836966,562.88356545041768,562.88356545041768,583.83387603380311,583.83387603380311
2025-02-01,36,0,553.2861780759913,16.283792462202548,567.29930605136565,567.29930605136565,571.62541144517593,571.62541144517593
2025-02-01,37,0,548.3800316251012,26.936372908796667,567.51375530595533,567.51375530595533,584.87223518687279,584.87223518687279
2025-02-01,38,0,554.91411127208949,22.648695269157457,573.43629669564973,573.43629669564973,576.74261869114707,576.74261869114707
2025-02-01,39,0,552.41967552620247,17.274868967428862,563.80926763881371,563.80926763881371,579.06357430112996,579.06357430112996
2025-02-01,40,0,619.98877653762952,19.231060734420907,630.68514389705456,630.68514389705456,649.91069855911974,649.91069855911974
2025-02-01,41,0,595.84310510601892,19.372717292187261,606.41031546720933,606.41031546720933,625.29899054752673,625.29899054752673
2025-02-01,42,0,534.45951681036081,30.335714092438685,559.36657298558964,559.36657298558964,581.87695608874424,581.87695608874424
2025-02-01,43,0,499.09072805494577,28.977083277181421,517.72834287420619,517.72834287420619,548.77604981452714,548.77604981452714
2025-02-01,44,0,455.99065853457165,37.221491031396283,489.87723629716504,489.87723629716504,501.68653764094779,501.68653764094779
2025-02-01,45,0,416.27193181227955,59.833611964029124,465.13594867577285,465.13594867577285,501.56014705149448,501.56014705149448
2025-02-01,46,0,344.78457495355826,27.748878458244313,365.74779984935554,365.74779984935554,371.42145229435619,371.42145229435619
2025-02-01,47,0,309.51159705629493,36.59532945384494,342.29896926073889,342.29896926073889,359.48878953714723,359.48878953714723
2025-02-01,48,0,265.33538931976551,41.347199384960298,286.61913803181199,286.61913803181199,338.67532712406262,338.67532712406262
2025-02-01,49,0,204.85536807364491,46.408620984211289,220.21185385353061,220.21185385353061,259.07962314751137,259.07962314751137
2025-02-01,50,0,156.74375603470801,45.305870815222306,191.36353732979393,191.36353732979393,216.67554478773491,216.67554478773491
2025-02-01,51,0,106.13316935790256,43.702762395427463,142.40059015164667,142.40059015164667,157.82033845173592,157.82033845173592
2025-02-01,52,0,78.521847014766507,47.337215812351587,117.39239234427828,117.39239234427828,139.49007363730561,139.49007363730561
2025-02-01,53,0,81.130941051682058,47.477605066365705,131.12333157985336,131.12333157985336,142.37070600579378,142.37070600579378
2025-02-01,54,0,52.25299194703102,36.395066948634749,73.276031193005792,73.276031193005792,96.226440276522297,96.226440276522297
2025-02-01,55,0,-5.7359662971866081,42.546681343052619,25.697040250379207,25.697040250379207,47.371736017486455,47.371736017486455
2025-02-01,56,0,-68.337968030471671,52.802220309987653,-11.453725685299711,-11.453725685299711,0.040884170571644063,0.040884170571644063
2025-02-01,57,0,-93.279177917929772,44.77302319958077,-70.74240551007793,-70.74240551007793,-17.085097709662477,-17.085097709662477
2025-02-01,58,0,-116.78678164639096,43.463058865355841,-92.532052860658638,-92.532052860658638,-52.443171486055689,-52.443171486055689
2025-02-01,59,0,-175.44768190234211,52.089558847223728,-137.8978461211656,-137.8978461211656,-104.92561600360507,-104.92561600360507
2025-02-01,60,0,-228.74560834103423,49.624142059977544,-189.4965929308558,-189.4965929308558,-173.50420318702405,-173.50420318702405
2025-02-01,61,0,-270.16762367994886,56.233595475938756,-223.70981624800848,-223.70981624800848,-186.51425674569782,-186.51425674569782
2025-02-01,62,0,-285.86847251032407,60.121423438287408,-237.08823734953813,-237.08823734953813,-197.53644639546306,-197.53644639546306
2025-02-01,63,0,-282.63721545164543,49.555342300990709,-237.48058488368224,-237.48058488368224,-229.65495884972944,-229.65495884972944
2025-02-01,64,0,-299.60169362610327,33.206604567204984,-273.40173928842415,-273.40173928842415,-261.05861310972051,-261.05861310972051
2025-02-01,65,0,-322.60364393180078,39.241327054227128,-286.54264066034466,-286.54264066034466,-282.4584708388594,-282.4584708388594
2025-02-01,66,0,-344.77295472869974,67.063569766630948,-288.01922031181311,-288.01922031181311,-251.78828819915935,-251.78828819915935
2025-02-01,67,0,-357.98501328990108,81.146731203436374,-291.89234250791833,-291.89234250791833,-285.36232284785149,-285.36232284785149
2025-02-01,68,0,-352.08367695870112,81.982921180798797,-289.32072898764483,-289.32072898764483,-279.72705085291165,-279.72705085291165
2025-02-01,69,0,-346.92782894658677,90.918030184112155,-273.32040878261324,-273.32040878261324,-243.59727567848296,-243.59727567848296
2025-02-01,70,0,-368.10811636252146,90.40524875549238,-290.53900043016722,-290.53900043016722,-265.06509778158227,-265.06509778158227
2025-02-01,71,0,-409.81713229185095,85.02240932738502,-336.61974200955217,-336.61974200955217,-311.45535169868822,-311.45535169868822
2025-02-01,72,0,-403.95481087607271,94.771189421822598,-306.29933325994699,-306.29933325994699,-270.50602851763716,-270.50602851763716
2025-02-01,73,0,-389.31752322162941,93.806063375664124,-334.87501530569466,-334.87501530569466,-233.93266515510223,-233.93266515510223
2025-02-01,74,0,-376.56815150347353,80.984774517072438,-344.74798678486457,-344.74798678486457,-224.40004988879292,-224.40004988879292
2025-02-01,75,0,-378.42142936256931,69.723008644048377,-331.70812573438502,-331.70812573438502,-269.67891964785036,-269.67891964785036
2025-02-01,76,0,-349.2192668509802,75.931827205971629,-287.52868795727363,-287.52868795727363,-270.85410934321601,-270.85410934321601
2025-02-01,77,0,-311.39167863193001,85.886218555343163,-229.80577670849954,-229.80577670849954,-225.93673105691823,-225.93673105691823
2025-02-01,78,0,-305.50660856483211,78.900490944396822,-231.27880901953509,-231.27880901953509,-197.98571234467272,-197.98571234467272
2025-02-01,79,0,-330.70752339945767,72.578600659261454,-271.94752023179262,-271.94752023179262,-229.64385444539903,-229.64385444539903
2025-02-01,80,0,-320.8523674918427,67.691994670870997,-263.69766593601736,-263.69766593601736,-225.88291597208564,-225.88291597208564
2025-02-01,81,0,-313.2693050910226,75.59052655620799,-246.03016392335309,-246.03016392335309,-216.83529689377093,-216.83529689377093
2025-02-01,82,0,-285.23139785530242,83.821350115940987,-212.66551308531172,-212.66551308531172,-189.89841542807213,-189.89841542807213
2025-02-01,83,0,-261.41456024647567,77.473051886260208,-208.49975485890542,-208.49975485890542,-177.05976904991871,-177.05976904991871
2025-02-01,84,0,-227.15282689351378,68.542126187067865,-173.72111565360152,-173.72111565360152,-153.48182678693075,-153.48182678693075
2025-02-01,85,0,-195.86856018695602,59.548967335866159,-151.90652791199392,-151.90652791199392,-118.2919089247069,-118.2919089247069
2025-02-01,86,0,-158.66932226756256,55.077759601798661,-112.15741466963557,-112.15741466963557,-90.24146263521682,-90.24146263521682
2025-02-01,87,0,-119.2710612329486,49.480829839270612,-88.233370763182535,-88.233370763182535,-52.350833647210948,-52.350833647210948
2025-02-01,88,0,-82.343840716475029,54.314926085020694,-61.054873493011044,-61.054873493011044,-12.106700500028788,-12.106700500028788
2025-02-01,89,0,-31.046971154136603,51.421466212534575,10.063809365249273,10.063809365249273,38.489187498025856,38.489187498025856
2025-02-01,90,0,15.395561028135248,36.600249236425434,44.812745821339902,44.812745821339902,64.669547855722612,64.669547855722612
2025-02-01,91,0,60.217201179931998,32.210719804384304,89.840128027620338,89.840128027620338,92.479805730986214,92.479805730986214
2025-02-01,92,0,96.096023199515372,28.932745697671955,110.41750658428569,110.41750658428569,129.44333103263943,129.44333103263943
2025-02-01,93,0,143.14970854539214,38.472218134505269,163.19707266597749,163.19707266597749,193.338429420176,193.338429420176
2025-02-01,94,0,189.76383998224392,35.966693149916438,208.6550448113002,208.6550448113002,231.33817181479881,231.33817181479881
2025-02-01,95,0,223.71906400120724,30.979108974360344,255.06196692602819,255.06196692602819,269.37753012013252,269.37753012013252
2025-02-01,96,0,258.5968723703844,34.068994905017313,281.44098394439669,281.44098394439669,306.78025447002437,306.78025447002437
2025-02-01,97,0,314.8737418453407,31.529938658885577,339.87389436073749,339.87389436073749,347.92280694419384,347.92280694419384
2025-02-01,98,0,392.24785808636818,26.079796148296111,417.89074580189629,417.89074580189629,422.53846156066879,422.53846156066879
2025-02-01,99,0,435.12071423076765,24.065665107920829,452.08645968849225,452.08645968849225,461.58440668802643,461.58440668802643
2025-02-01,100,0,428.99347232390301,22.484855346361467,449.54660313567604,449.54660313567604,455.82107095095728,455.82107095095728
2025-02-01,101,0,404.65402488688636,27.437168092346376,428.67331756088953,428.67331756088953,436.46294488809599,436.46294488809599
2025-02-01,102,0,445.77830320957037,26.764422631496664,469.7974044119054,469.7974044119054,472.49359972958501,472.49359972958501
2025-02-01,103,0,455.49830826477631,18.134169231890297,465.45454508442492,465.45454508442492,480.55215966370497,480.55215966370497
2025-02-01,104,0,456.00426322018285,17.293648203906621,473.5863894066004,473.5863894066004,477.85088750383477,477.85088750383477
