origin,horizon,nominal,covered_intervals,n,picp
2025-02-01,0,0.80000000000000004,91,144,0.63194444444444442
2025-02-01,0,0.90000000000000002,114,144,0.79166666666666663
2025-02-01,1,0.80000000000000004,95,144,0.65972222222222221
2025-02-01,1,0.90000000000000002,122,144,0.84722222222222221
2025-02-02,0,0.80000000000000004,99,144,0.6875
2025-02-02,0,0.90000000000000002,120,144,0.83333333333333337
2025-02-02,1,0.80000000000000004,109,144,0.75694444444444442
2025-02-02,1,0.90000000000000002,124,144,0.86111111111111116
2025-02-03,0,0.80000000000000004,121,144,0.84027777777777779
2025-02-03,0,0.90000000000000002,129,144,0.89583333333333337
2025-02-03,1,0.80000000000000004,107,144,0.74305555555555558
2025-02-03,1,0.90000000000000002,126,144,0.875
2025-02-04,0,0.80000000000000004,111,144,0.77083333333333337
2025-02-04,0,0.90000000000000002,126,144,0.875
2025-02-04,1,0.80000000000000004,124,144,0.86111111111111116
2025-02-04,1,0.90000000000000002,132,144,0.91666666666666663
2025-02-05,0,0.80000000000000004,121,144,0.84027777777777779
2025-02-05,0,0.90000000000000002,134,144,0.93055555555555558
2025-02-05,1,0.80000000000000004,116,144,0.80555555555555558
2025-02-05,1,0.90000000000000002,133,144,0.92361111111111116
2025-02-06,0,0.80000000000000004,115,144,0.79861111111111116
2025-02-06,0,0.90000000000000002,129,144,0.89583333333333337
2025-02-06,1,0.80000000000000004,89,144,0.61805555555555558
2025-02-06,1,0.90000000000000002,103,144,0.71527777777777779
2025-02-07,0,0.80000000000000004,89,144,0.61805555555555558
2025-02-07,0,0.90000000000000002,103,144,0.71527777777777779
2025-02-07,1,0.80000000000000004,104,144,0.72222222222222221
2025-02-07,1,0.90000000000000002,118,144,0.81944444444444442
2025-02-08,0,0.80000000000000004,108,144,0.75
2025-02-08,0,0.90000000000000002,119,144,0.82638888888888884
2025-02-08,1,0.80000000000000004,114,144,0.79166666666666663
2025-02-08,1,0.90000000000000002,124,144,0.86111111111111116
2025-02-09,0,0.80000000000000004,115,144,0.79861111111111116
2025-02-09,0,0.90000000000000002,124,144,0.86111111111111116
2025-02-09,1,0.80000000000000004,110,144,0.76388888888888884
2025-02-09,1,0.90000000000000002,122,144,0.84722222222222221
2025-02-10,0,0.80000000000000004,108,144,0.75
2025-02-10,0,0.90000000000000002,121,144,0.84027777777777779
2025-02-10,1,0.80000000000000004,120,144,0.83333333333333337
2025-02-10,1,0.90000000000000002,131,144,0.90972222222222221
2025-02-11,0,0.80000000000000004,128,144,0.88888888888888884
2025-02-11,0,0.90000000000000002,135,144,0.9375
2025-02-11,1,0.80000000000000004,125,144,0.86805555555555558
2025-02-11,1,0.90000000000000002,136,144,0.94444444444444442
2025-02-12,0,0.80000000000000004,130,144,0.90277777777777779
2025-02-12,0,0.90000000000000002,134,144,0.93055555555555558
2025-02-12,1,0.80000000000000004,92,144,0.63888888888888884
2025-02-12,1,0.90000000000000002,105,144,0.72916666666666663
2025-02-13,0,0.80000000000000004,99,144,0.6875
2025-02-13,0,0.90000000000000002,104,144,0.72222222222222221
2025-02-13,1,0.80000000000000004,112,144,0.77777777777777779
2025-02-13,1,0.90000000000000002,124,144,0.86111111111111116
2025-02-14,0,0.80000000000000004,114,144,0.79166666666666663
2025-02-14,0,0.90000000000000002,123,144,0.85416666666666663
2025-02-14,1,0.80000000000000004,112,144,0.77777777777777779
2025-02-14,1,0.90000000000000002,123,144,0.85416666666666663
2025-02-15,0,0.80000000000000004,114,144,0.79166666666666663
2025-02-15,0,0.90000000000000002,123,144,0.85416666666666663
2025-02-15,1,0.80000000000000004,108,144,0.75
2025-02-15,1,0.90000000000000002,120,144,0.83333333333333337
2025-02-16,0,0.80000000000000004,110,144,0.76388888888888884
2025-02-16,0,0.90000000000000002,122,144,0.84722222222222221
2025-02-16,1,0.80000000000000004,119,144,0.82638888888888884
2025-02-16,1,0.90000000000000002,133,144,0.92361111111111116
2025-02-17,0,0.80000000000000004,117,144,0.8125
2025-02-17,0,0.90000000000000002,134,144,0.93055555555555558
2025-02-17,1,0.80000000000000004,123,144,0.85416666666666663
2025-02-17,1,0.90000000000000002,137,144,0.95138888888888884
2025-02-18,0,0.80000000000000004,126,144,0.875
2025-02-18,0,0.90000000000000002,138,144,0.95833333333333337
2025-02-18,1,0.80000000000000004,104,144,0.72222222222222221
2025-02-18,1,0.90000000000000002,129,144,0.89583333333333337
2025-02-19,0,0.80000000000000004,109,144,0.75694444444444442
2025-02-19,0,0.90000000000000002,125,144,0.86805555555555558
2025-02-19,1,0.80000000000000004,115,144,0.79861111111111116
2025-02-19,1,0.90000000000000002,129,144,0.89583333333333337
2025-02-20,0,0.80000000000000004,113,144,0.78472222222222221
2025-02-20,0,0.90000000000000002,131,144,0.90972222222222221
2025-02-20,1,0.80000000000000004,121,144,0.84027777777777779
2025-02-20,1,0.90000000000000002,136,144,0.94444444444444442
2025-02-21,0,0.80000000000000004,124,144,0.86111111111111116
2025-02-21,0,0.90000000000000002,139,144,0.96527777777777779
2025-02-21,1,0.80000000000000004,116,144,0.80555555555555558
2025-02-21,1,0.90000000000000002,130,144,0.90277777777777779
2025-02-22,0,0.80000000000000004,120,144,0.83333333333333337
2025-02-22,0,0.90000000000000002,129,144,0.89583333333333337
2025-02-22,1,0.80000000000000004,114,144,0.79166666666666663
2025-02-22,1,0.90000000000000002,125,144,0.86805555555555558
2025-02-23,0,0.80000000000000004,116,144,0.80555555555555558
2025-02-23,0,0.90000000000000002,130,144,0.90277777777777779
2025-02-23,1,0.80000000000000004,125,144,0.86805555555555558
2025-02-23,1,0.90000000000000002,139,144,0.96527777777777779
2025-02-24,0,0.80000000000000004,125,144,0.86805555555555558
2025-02-24,0,0.90000000000000002,140,144,0.97222222222222221
2025-02-24,1,0.80000000000000004,104,144,0.72222222222222221
2025-02-24,1,0.90000000000000002,124,144,0.86111111111111116
2025-02-25,0,0.80000000000000004,102,144,0.70833333333333337
2025-02-25,0,0.90000000000000002,124,144,0.86111111111111116
2025-02-25,1,0.80000000000000004,119,144,0.82638888888888884
2025-02-25,1,0.90000000000000002,131,144,0.90972222222222221
2025-02-26,0,0.80000000000000004,117,144,0.8125
2025-02-26,0,0.90000000000000002,132,144,0.91666666666666663
2025-02-26,1,0.80000000000000004,118,144,0.81944444444444442
2025-02-26,1,0.90000000000000002,130,144,0.90277777777777779
2025-02-27,0,0.80000000000000004,114,144,0.79166666666666663
2025-02-27,0,0.90000000000000002,125,144,0.86805555555555558
2025-02-27,1,0.80000000000000004,118,144,0.81944444444444442
2025-02-27,1,0.90000000000000002,129,144,0.89583333333333337
2025-02-28,0,0.80000000000000004,115,144,0.79861111111111116
2025-02-28,0,0.90000000000000002,126,144,0.875
2025-02-28,1,0.80000000000000004,92,144,0.63888888888888884
2025-02-28,1,0.90000000000000002,103,144,0.71527777777777779
2025-03-01,0,0.80000000000000004,92,144,0.63888888888888884
2025-03-01,0,0.90000000000000002,103,144,0.71527777777777779
2025-03-01,1,0.80000000000000004,84,144,0.58333333333333337
2025-03-01,1,0.90000000000000002,95,144,0.65972222222222221
2025-03-02,0,0.80000000000000004,88,144,0.61111111111111116
2025-03-02,0,0.90000000000000002,99,144,0.6875
2025-03-02,1,0.80000000000000004,75,144,0.52083333333333337
2025-03-02,1,0.90000000000000002,93,144,0.64583333333333337
2025-03-03,0,0.80000000000000004,75,144,0.52083333333333337
2025-03-03,0,0.90000000000000002,93,144,0.64583333333333337
2025-03-03,1,0.80000000000000004,104,144,0.72222222222222221
2025-03-03,1,0.90000000000000002,123,144,0.85416666666666663
2025-03-04,0,0.80000000000000004,111,144,0.77083333333333337
2025-03-04,0,0.90000000000000002,126,144,0.875
2025-03-04,1,0.80000000000000004,112,144,0.77777777777777779
2025-03-04,1,0.90000000000000002,124,144,0.86111111111111116
2025-03-04,2,0.80000000000000004,112,144,0.77777777777777779
2025-03-04,2,0.90000000000000002,122,144,0.84722222222222221
2025-03-05,0,0.80000000000000004,117,144,0.8125
2025-03-05,0,0.90000000000000002,128,144,0.88888888888888884
2025-03-05,1,0.80000000000000004,112,144,0.77777777777777779
2025-03-05,1,0.90000000000000002,124,144,0.86111111111111116
2025-03-05,2,0.80000000000000004,101,144,0.70138888888888884
2025-03-05,2,0.90000000000000002,113,144,0.78472222222222221
2025-03-06,0,0.80000000000000004,115,144,0.79861111111111116
2025-03-06,0,0.90000000000000002,126,144,0.875
2025-03-06,1,0.80000000000000004,105,144,0.72916666666666663
2025-03-06,1,0.90000000000000002,121,144,0.84027777777777779
2025-03-06,2,0.80000000000000004,117,144,0.8125
2025-03-06,2,0.90000000000000002,126,144,0.875
2025-03-07,0,0.80000000000000004,106,144,0.73611111111111116
2025-03-07,0,0.90000000000000002,119,144,0.82638888888888884
2025-03-07,1,0.80000000000000004,117,144,0.8125
2025-03-07,1,0.90000000000000002,126,144,0.875
2025-03-08,0,0.80000000000000004,114,144,0.79166666666666663
2025-03-08,0,0.90000000000000002,127,144,0.88194444444444442
2025-03-08,1,0.80000000000000004,99,144,0.6875
2025-03-08,1,0.90000000000000002,117,144,0.8125
2025-03-09,0,0.80000000000000004,99,144,0.6875
2025-03-09,0,0.90000000000000002,120,144,0.83333333333333337
2025-03-09,1,0.80000000000000004,96,144,0.66666666666666663
2025-03-09,1,0.90000000000000002,120,144,0.83333333333333337
2025-03-09,2,0.80000000000000004,98,144,0.68055555555555558
2025-03-09,2,0.90000000000000002,128,144,0.88888888888888884
2025-03-10,0,0.80000000000000004,99,144,0.6875
