step,grid,charge_cap,discharge_cap,role
0,1378.6438987342558,833.33333333333326,0,first_day_frozen
1,1398.986606191897,833.33333333333326,0,first_day_frozen
2,1393.3719025031892,833.33333333333326,0,first_day_frozen
3,1378.8013269641629,833.33333333333326,0,first_day_frozen
4,1404.7366496561244,833.33333333333326,0,first_day_frozen
5,1401.9621953189901,833.33333333333326,0,first_day_frozen
6,849.84001176392769,833.33333333333326,0,first_day_frozen
7,1391.9231342550884,833.33333333333326,0,first_day_frozen
8,1416.3580971781794,833.33333333333326,0,first_day_frozen
9,589.65797735555043,833.33333333333326,30.308626345263633,first_day_frozen
10,593.06732554964299,833.33333333333326,833.33333333333326,first_day_frozen
11,1411.8954144623285,833.33333333333326,0,first_day_frozen
12,1390.8619157345138,833.33333333333326,0,first_day_frozen
13,615.15719104252139,833.33333333333326,833.33333333333326,first_day_frozen
14,630.98631075621029,833.33333333333326,833.33333333333326,first_day_frozen
15,628.20880575770434,833.33333333333326,833.33333333333326,first_day_frozen
16,634.04881689949127,833.33333333333326,10.751361983611673,first_day_frozen
17,629.14795876789606,833.33333333333326,1.982995564313228,first_day_frozen
18,611.9839884038314,833.33333333333326,833.33333333333326,first_day_frozen
19,626.14971106699261,833.33333333333326,833.33333333333326,first_day_frozen
20,627.33568517211233,833.33333333333326,0,first_day_frozen
21,623.62050095374241,833.33333333333326,833.33333333333326,first_day_frozen
22,618.43070286942555,833.33333333333326,833.33333333333326,first_day_frozen
23,643.79675025441452,833.33333333333326,833.33333333333326,first_day_frozen
24,631.43948866035214,833.33333333333326,833.33333333333326,first_day_frozen
25,628.18502266199926,833.33333333333326,833.33333333333326,first_day_frozen
26,627.22148070644141,833.33333333333326,833.33333333333326,first_day_frozen
27,626.00371925701427,833.33333333333326,833.33333333333326,first_day_frozen
28,641.06950668324964,833.33333333333326,833.33333333333326,first_day_frozen
29,651.1001787094192,833.33333333333326,833.33333333333326,first_day_frozen
30,630.493971380468,833.33333333333326,7.9574670506893881,first_day_frozen
31,642.37957855841455,833.33333333333326,0,first_day_frozen
32,1432.6374332823748,833.33333333333326,0,first_day_frozen
33,1388.5923280536083,833.33333333333326,0,first_day_frozen
34,277.79871665817268,833.33333333333326,833.33333333333326,first_day_frozen
35,0,833.33333333333326,742.08698195513136,first_day_frozen
36,0,833.33333333333326,693.09220961397614,first_day_frozen
37,0,833.33333333333326,632.8151589291906,first_day_frozen
38,0,833.33333333333326,635.72830266796302,first_day_frozen
39,0,833.33333333333326,558.90208366047955,first_day_frozen
40,0,833.33333333333326,491.89880017356438,first_day_frozen
41,0,833.33333333333326,466.53918716891781,first_day_frozen
42,0,833.33333333333326,388.14140779219088,first_day_frozen
43,0,833.33333333333326,338.82438476417269,first_day_frozen
44,0,833.33333333333326,249.90248488571493,first_day_frozen
45,0,833.33333333333326,278.55534826838914,first_day_frozen
46,0,833.33333333333326,341.91952460590312,first_day_frozen
47,0,833.33333333333326,484.41806872264044,first_day_frozen
48,0,833.33333333333326,833.33333333333326,first_day_frozen
49,0,833.33333333333326,833.33333333333326,first_day_frozen
50,0,833.33333333333326,833.33333333333326,first_day_frozen
51,0,833.33333333333326,333.42275494010858,first_day_frozen
52,0,833.33333333333326,272.41122305063902,first_day_frozen
53,0,833.33333333333326,833.33333333333326,first_day_frozen
54,0,833.33333333333326,167.58219586253972,first_day_frozen
55,0,833.33333333333326,833.33333333333326,first_day_frozen
56,0,833.33333333333326,833.33333333333326,first_day_frozen
57,0,833.33333333333326,833.33333333333326,first_day_frozen
58,0,833.33333333333326,833.33333333333326,first_day_frozen
59,0,833.33333333333326,833.33333333333326,first_day_frozen
60,0,833.33333333333326,0,first_day_frozen
61,0,833.33333333333326,0,first_day_frozen
62,0,833.33333333333326,0,first_day_frozen
63,0,833.33333333333326,0,first_day_frozen
64,0,833.33333333333326,0,first_day_frozen
65,0,833.33333333333326,0,first_day_frozen
66,425.42608786279192,833.33333333333326,0,first_day_frozen
67,0,833.33333333333326,0,first_day_frozen
68,93.044009344286721,833.33333333333326,0,first_day_frozen
69,401.02600724545402,833.33333333333326,0,first_day_frozen
70,421.14759409272006,833.33333333333326,0,first_day_frozen
71,557.46302115144545,833.33333333333326,0,first_day_frozen
72,501.62568240345138,833.33333333333326,0,first_day_frozen
73,503.6279494950528,833.33333333333326,0,first_day_frozen
74,532.1009553615628,833.33333333333326,0,first_day_frozen
75,566.26236585765514,833.33333333333326,0,first_day_frozen
76,0,833.33333333333326,0,first_day_frozen
77,0,833.33333333333326,0,first_day_frozen
78,0,833.33333333333326,0,first_day_frozen
79,0,833.33333333333326,0,first_day_frozen
80,0,833.33333333333326,0,first_day_frozen
81,0,833.33333333333326,0,first_day_frozen
82,0,833.33333333333326,0,first_day_frozen
83,0,833.33333333333326,0,first_day_frozen
84,0,833.33333333333326,0,first_day_frozen
85,0,833.33333333333326,46.910669162982984,first_day_frozen
86,0,833.33333333333326,57.111086458741283,first_day_frozen
87,0,833.33333333333326,833.33333333333326,first_day_frozen
88,0,833.33333333333326,833.33333333333326,first_day_frozen
89,138.72599345839723,833.33333333333326,0,first_day_frozen
90,184.41993284675596,833.33333333333326,0,first_day_frozen
91,203.34163384704576,833.33333333333326,833.33333333333326,first_day_frozen
92,255.43538303181887,833.33333333333326,833.33333333333326,first_day_frozen
93,248.63442856103634,833.33333333333326,833.33333333333326,first_day_frozen
94,269.15646325713021,833.33333333333326,833.33333333333326,first_day_frozen
95,340.72641511318591,833.33333333333326,0,first_day_frozen
96,397.38486909227669,833.33333333333326,833.33333333333326,first_day_frozen
97,442.49302338643247,833.33333333333326,833.33333333333326,first_day_frozen
98,499.69703063038395,833.33333333333326,833.33333333333326,first_day_frozen
