origin,horizon,M,S,mean_net_kwh,mean_timewise_variance_kwh2,full_Q80_mean_kwh,reduced_Q80_mean_kwh,full_Q90_mean_kwh,reduced_Q90_mean_kwh,positive_Q90_tail_underestimate_kwh,expected_objective_yuan_all_horizons
2025-02-01,0,16,16,265.2434229228586,1675.9607285113195,293.92303743904171,293.92303743904171,312.57420578873217,312.57420578873217,0,77510.252958226134
2025-02-01,1,16,16,577.15690693868623,1625.4595767117712,604.83202126940398,604.83202126940398,625.1019566736752,625.1019566736752,0,77510.252958226134
2025-02-02,0,17,17,576.9361906542614,1664.338080641613,606.87474297501899,606.87474297501899,625.11247430324261,625.11247430324261,0,111234.54063549603
2025-02-02,1,17,17,571.61078976358476,1619.5518048915733,600.98894070626682,600.98894070626682,621.30316017044913,621.30316017044913,0,111234.54063549603
2025-02-03,0,18,18,567.17933457250479,1668.2462268442741,598.87786299568529,598.87786299568529,617.12068251840071,617.12068251840071,0,110000.7869477092
2025-02-03,1,18,18,564.90272295050499,1630.1780618963201,596.26253175108309,596.26253175108309,616.46472815217112,616.46472815217112,0,110000.7869477092
2025-02-04,0,19,19,563.4314645970511,1677.7866109961751,597.07374838711735,597.07374838711735,615.0953751652479,615.0953751652479,0,108927.09389759228
2025-02-04,1,19,19,556.7679509748076,1605.0860964732908,588.98827639653689,588.98827639653689,609.14318129942671,609.14318129942671,0,108927.09389759228
2025-02-05,0,20,20,555.29810166896914,1649.6021952910089,583.40591448141333,583.40591448141333,596.52591052621437,596.52591052621437,0,107645.64750892227
2025-02-05,1,20,20,555.35729112581396,1612.2839441021538,583.10778903249263,583.10778903249263,596.85503899489754,596.85503899489754,0,107645.64750892227
2025-02-06,0,21,21,556.0273658542219,1648.5022498483788,585.58772832427678,585.58772832427678,598.77996836223406,598.77996836223406,0,74806.810189089738
2025-02-06,1,21,21,250.97835825911818,1594.8183612591981,279.77812669436429,279.77812669436429,293.29603093865779,293.29603093865779,0,74806.810189089738
2025-02-07,0,21,21,252.72907426424521,1648.5043344418868,282.28947584522211,282.28947584522211,295.4817181649255,295.4817181649255,0,93392.883905941169
2025-02-07,1,21,21,227.78739470427757,1594.8147119791365,256.58734590292664,256.58734590292664,270.10524858590111,270.10524858590111,0,93392.883905941169
