origin,step,mean_scenario_soc_kwh,scenario_soc_Q10_kwh,scenario_soc_Q90_kwh
2025-02-01,0,8806.1062239907587,8782.9547114051329,8832.347973554115
2025-02-01,1,9541.0797769886594,9504.0724750991667,9580.1990789604679
2025-02-01,2,9546.6399656518879,9511.3399053383437,9589.0190230123753
2025-02-01,3,9553.5726920469588,9488.9209412105629,9615.2141141429438
2025-02-01,4,9563.1344305510684,9489.9123746946789,9663.7598174846044
2025-02-01,5,9571.3484613669243,9443.7861336307215,9674.6397339713876
2025-02-01,6,9608.2890660754729,9470.6862088929138,9727.2640410244039
2025-02-01,7,9639.1617347841566,9512.6841341948293,9773.3165437982771
2025-02-01,8,9658.5137935410276,9521.6650803750217,9749.9131389526065
2025-02-01,9,9664.1692136252459,9541.6879673864314,9773.1991655706061
2025-02-01,10,9672.8787996917999,9542.9118216934512,9814.6055958989509
2025-02-01,11,9709.6699352810047,9550.0444625014261,9866.4557728180771
2025-02-01,12,9721.278489745815,9575.6889364225608,9872.3979183317424
2025-02-01,13,9747.5788177093964,9571.3633885226336,9909.6075976690845
2025-02-01,14,9764.1685250490373,9560.0428166488509,9920.4862270954109
2025-02-01,15,9766.1505150994308,9567.9971245784582,9932.4560732251484
2025-02-01,16,9775.2739726872878,9599.6889872717657,9945.7026082202192
2025-02-01,17,9807.2229446553629,9609.754677277062,9986.0350012624804
2025-02-01,18,9822.1652958225222,9611.5902989955975,10027.288492691976
2025-02-01,19,9832.23533811569,9611.4082623788054,10026.938886201531
2025-02-01,20,9856.952729291821,9610.6423455138429,10051.94628233924
2025-02-01,21,9888.186686540852,9627.0237871788049,10090.394948403633
2025-02-01,22,9898.9091168116465,9653.5067165008586,10085.318756683559
2025-02-01,23,9904.1963115965027,9702.9162646938057,10060.587482167568
2025-02-01,24,9917.5269153818554,9735.022566438598,10065.465832645785
2025-02-01,25,9921.8133550742023,9727.0396653233547,10037.345318334887
2025-02-01,26,9935.5852428234994,9708.0619074949282,10062.426091775716
2025-02-01,27,9952.8264570136216,9706.4787658331516,10098.301012288606
2025-02-01,28,9972.2388802084297,9728.341960052172,10116.22373441898
2025-02-01,29,9987.3517023218083,9750.7228956086346,10114.950623190396
2025-02-01,30,9999.6827850936552,9753.9103814083392,10145.986285155434
2025-02-01,31,10004.440468430925,9747.1798952893769,10158.514728116854
2025-02-01,32,10029.754062596046,9798.5851775654864,10173.97060950223
2025-02-01,33,10723.663512281897,10527.64465509464,10800
2025-02-01,34,10500.818162924195,10329.976133574104,10590.574151764999
2025-02-01,35,9893.7703930117077,9755.0825519830651,9996.2497669095246
2025-02-01,36,9278.13162669341,9119.9432059328701,9389.9620981749758
2025-02-01,37,8668.8613334536058,8513.4821354004835,8794.7831552058178
2025-02-01,38,8051.5450641360349,7896.1172508597911,8175.4680082437826
2025-02-01,39,7437.7664503243395,7276.1511146416542,7576.8468435318346
2025-02-01,40,6750.0938689863287,6594.4699807104453,6870.1569268084377
2025-02-01,41,6089.1382668782198,5944.5278921366562,6230.4486274502151
2025-02-01,42,5496.3406893752881,5345.4814132617375,5627.607505455333
2025-02-01,43,4943.7811780906904,4759.1241929420084,5064.9358112920381
2025-02-01,44,4438.4048508159558,4214.8161526118247,4603.5386958235886
2025-02-01,45,3982.2408129690834,3689.4507003744257,4218.542510633536
2025-02-01,46,3600.9368321443617,3278.538744737426,3878.1606660316411
2025-02-01,47,3258.6848169107247,2866.2963132591744,3589.7382335842503
2025-02-01,48,2963.022067651485,2516.6740075339094,3313.5814524524026
2025-02-01,49,2732.4865256230187,2299.9468523765895,3099.1589859333849
2025-02-01,50,2554.5981154817091,2053.1010590234346,2968.7796342718075
2025-02-01,51,2432.5161747974794,1877.7451274103946,2905.1363316114293
2025-02-01,52,2342.2668455004418,1722.7561567022772,2849.0621228008849
2025-02-01,53,2250.9620012687892,1540.4171555434025,2769.7973737714665
2025-02-01,54,2194.1581599988517,1466.393159170158,2760.8308028527476
2025-02-01,55,2192.9312794138441,1452.2198789492738,2792.0793814790923
2025-02-01,56,2250.1723117521847,1418.8899376468471,2888.6890881183231
2025-02-01,57,2328.2696805805426,1429.771381600063,2999.6843744555777
2025-02-01,58,2420.0616395577299,1518.1547596907956,3115.4834282883271
2025-02-01,59,2558.4888653302464,1678.266034338616,3275.5947029361478
2025-02-01,60,2748.7700429532561,1877.7940828556218,3492.656143304313
2025-02-01,61,2976.4356083518642,2079.1329174788293,3757.8088479581925
2025-02-01,62,3227.2840161752033,2292.5123310934136,4077.6728361464784
2025-02-01,63,3477.7215199843299,2536.4491604159398,4390.076956262913
2025-02-01,64,3742.8044150428559,2802.0849814903618,4693.580734620502
2025-02-01,65,4036.7362298577696,3096.2092536296382,5008.7152765733454
2025-02-01,66,4372.0401664909141,3452.9907219759034,5343.950421096979
2025-02-01,67,4702.5335029805228,3815.0810716935771,5719.596833492581
2025-02-01,68,5048.1301505761658,4148.5039903663273,6154.4802992269306
2025-02-01,69,5393.6505765151069,4513.4070077578463,6547.4022486083077
2025-02-01,70,5760.0319079697647,4797.5961924566873,6916.410143127674
2025-02-01,71,6507.8582095097327,5538.3121038223344,7666.410143127674
2025-02-01,72,7254.0690022404569,6260.133099684369,8416.410143127674
2025-02-01,73,7683.168237011163,6733.5403175973233,8928.4352622276565
2025-02-01,74,8424.3726014238309,7483.5403175973233,9678.4352622276565
2025-02-01,75,9164.0662058273883,8233.5403175973224,10428.435262227656
2025-02-01,76,9463.368110458634,8475.1031139033767,10784.64261536061
2025-02-01,77,9704.1659802788727,8637.3796167862638,10800
2025-02-01,78,9925.5739271486982,8845.530544903846,10800
2025-02-01,79,10119.332768526961,9090.2833131124589,10800
2025-02-01,80,10284.274597253865,9327.6112124548745,10800
2025-02-01,81,10409.815196818554,9579.615226412272,10800
2025-02-01,82,10509.420011984146,9814.1410107598567,10800
2025-02-01,83,10597.060431630405,10015.679361117556,10800
2025-02-01,84,10643.39046354638,10172.028365205797,10800
2025-02-01,85,10680.605511887721,10290.45276993144,10800
2025-02-01,86,10706.064820779311,10389.692172443607,10800
2025-02-01,87,10724.871597842213,10491.910057793222,10800
2025-02-01,88,10734.088457120477,10556.838583994548,10800
2025-02-01,89,10731.18978654465,10557.756083507144,10800
2025-02-01,90,10734.257077892607,10566.886833621236,10800
2025-02-01,91,10725.558290604373,10557.871929225712,10800
2025-02-01,92,10722.099036452766,10538.859701101504,10800
2025-02-01,93,10714.187900325938,10535.637605213778,10800
2025-02-01,94,10705.13214087455,10530.469795022118,10800
2025-02-01,95,10690.127844878647,10498.931442896854,10800
2025-02-01,96,10679.650633864687,10480.010077897452,10800
2025-02-01,97,10687.004066372067,10505.406497794567,10800
2025-02-01,98,10695.963224413625,10508.968328562052,10800
