month,series,lag,pairs,correlation,scope
1,raw_pv,144,4320,0.99442949840409489,posthoc_month_never_online_features
1,within_month_profile_residual,144,4320,0.33163231736862853,posthoc_month_never_online_features
1,raw_pv,1008,3456,0.9939861946390115,posthoc_month_never_online_features
1,within_month_profile_residual,1008,3456,0.089646730153423809,posthoc_month_never_online_features
2,raw_pv,144,3888,0.99458008882497007,posthoc_month_never_online_features
2,within_month_profile_residual,144,3888,0.57179379662716079,posthoc_month_never_online_features
2,raw_pv,1008,3024,0.9949679958789297,posthoc_month_never_online_features
2,within_month_profile_residual,1008,3024,0.37034334315687589,posthoc_month_never_online_features
3,raw_pv,144,4320,0.99144966326785056,posthoc_month_never_online_features
3,within_month_profile_residual,144,4320,0.446209327181328,posthoc_month_never_online_features
3,raw_pv,1008,3456,0.99204748181031743,posthoc_month_never_online_features
3,within_month_profile_residual,1008,3456,0.29058429300209426,posthoc_month_never_online_features
4,raw_pv,144,4176,0.99100445853318508,posthoc_month_never_online_features
4,within_month_profile_residual,144,4176,0.1358734546171721,posthoc_month_never_online_features
4,raw_pv,1008,3312,0.99258962563536024,posthoc_month_never_online_features
4,within_month_profile_residual,1008,3312,0.17512973970046922,posthoc_month_never_online_features
5,raw_pv,144,4320,0.9905742867324534,posthoc_month_never_online_features
5,within_month_profile_residual,144,4320,-0.032111537045607125,posthoc_month_never_online_features
5,raw_pv,1008,3456,0.98983117040431479,posthoc_month_never_online_features
5,within_month_profile_residual,1008,3456,-0.1298865899782283,posthoc_month_never_online_features
6,raw_pv,144,4176,0.98537222303992766,posthoc_month_never_online_features
6,within_month_profile_residual,144,4176,0.027084449407102168,posthoc_month_never_online_features
6,raw_pv,1008,3312,0.9855761853552476,posthoc_month_never_online_features
6,within_month_profile_residual,1008,3312,0.022557733451955653,posthoc_month_never_online_features
7,raw_pv,144,4320,0.99099389371564528,posthoc_month_never_online_features
7,within_month_profile_residual,144,4320,-0.020418926232196495,posthoc_month_never_online_features
7,raw_pv,1008,3456,0.99078350602821696,posthoc_month_never_online_features
7,within_month_profile_residual,1008,3456,-0.05276862219169659,posthoc_month_never_online_features
8,raw_pv,144,4320,0.99301922657046438,posthoc_month_never_online_features
8,within_month_profile_residual,144,4320,0.11236219927371104,posthoc_month_never_online_features
8,raw_pv,1008,3456,0.99297342713530756,posthoc_month_never_online_features
8,within_month_profile_residual,1008,3456,0.046781985519938653,posthoc_month_never_online_features
9,raw_pv,144,4176,0.99208248285603251,posthoc_month_never_online_features
9,within_month_profile_residual,144,4176,0.20450572766641018,posthoc_month_never_online_features
9,raw_pv,1008,3312,0.99356292121012224,posthoc_month_never_online_features
9,within_month_profile_residual,1008,3312,0.25491369991413371,posthoc_month_never_online_features
10,raw_pv,144,4320,0.99593609247530546,posthoc_month_never_online_features
10,within_month_profile_residual,144,4320,0.64604122738021064,posthoc_month_never_online_features
10,raw_pv,1008,3456,0.99486802759945492,posthoc_month_never_online_features
10,within_month_profile_residual,1008,3456,0.43436570173452893,posthoc_month_never_online_features
11,raw_pv,144,4176,0.99593748498660273,posthoc_month_never_online_features
11,within_month_profile_residual,144,4176,0.55865070444211251,posthoc_month_never_online_features
11,raw_pv,1008,3312,0.99595692117543999,posthoc_month_never_online_features
11,within_month_profile_residual,1008,3312,0.34581445702357416,posthoc_month_never_online_features
12,raw_pv,144,4320,0.99510297928933267,posthoc_month_never_online_features
12,within_month_profile_residual,144,4320,-0.045897603193564014,posthoc_month_never_online_features
12,raw_pv,1008,3456,0.99549186005918522,posthoc_month_never_online_features
12,within_month_profile_residual,1008,3456,0.0057012957322358738,posthoc_month_never_online_features
