date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-01,original,1,17,17,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,20057.943168096444,19895.926766993434,0.0081431944839980529,21.596628875000533,32256,17136,68544,27221,14507,57714,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-01.json
2025-02-01,original,2,16,16,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,77510.252958226134,77011.386649540116,0.0064778252981761743,30.492581541000618,60768,32256,129024,55644,29632,118119,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-01.json
2025-02-01,original,3,15,15,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,134307.29589470365,133612.95326435234,0.0051966715306229275,81.610949333000463,85536,45360,181440,80274,42652,170225,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-01.json
2025-02-02,original,1,18,18,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,53937.946484616943,53642.326438843273,0.0055109475184806148,0.96982633300103771,34128,18144,72576,33834,17688,71250,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-02.json
2025-02-02,original,2,17,17,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,111234.54063549603,110253.92859910127,0.0088941233102032887,2.0679655829990224,64512,34272,137088,63919,33526,134732,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-02.json
2025-02-02,original,3,16,16,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,168095.5429224387,166609.2099442739,0.0089210733227889551,3.2230265419984789,91152,48384,193536,90292,47380,190262,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-02.json
2025-02-03,original,1,19,19,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,53172.442748513808,52859.920274725533,0.0059122766769987758,1.1684007919993746,36000,19152,76608,35557,18557,74782,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-03.json
2025-02-03,original,2,18,18,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,110000.7869477092,109031.07594301914,0.0088938955825479081,2.3090166250003676,68256,36288,145152,67438,35326,142028,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-03.json
2025-02-03,original,3,17,17,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,165882.48441217173,164366.06094207652,0.0092258916555139885,3.4882557089986221,96768,51408,205632,95583,50087,201238,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-03.json
2025-02-04,original,1,20,20,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,53107.95578239001,52685.765093981288,0.0080133730174671465,1.3924644580001768,37872,20160,80640,37380,19488,78588,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-04.json
