K,S,attempted,reliable,mean_seconds,max_seconds,max_gap,mean_continuous_before,max_binary_before,max_constraints_before,max_binary_after,max_constraints_after
1,17,1,1,21.596628875000533,21.596628875000533,0.0081431944839980529,32256,17136,68544,14507,57714
1,18,1,1,0.96982633300103771,0.96982633300103771,0.0055109475184806148,34128,18144,72576,17688,71250
1,19,1,1,1.1684007919993746,1.1684007919993746,0.0059122766769987758,36000,19152,76608,18557,74782
1,20,1,1,1.3924644580001768,1.3924644580001768,0.0080133730174671465,37872,20160,80640,19488,78588
1,21,1,1,1.3695690419990569,1.3695690419990569,0.0091996574442511324,39744,21168,84672,20382,82236
1,22,1,1,1.399921500000346,1.399921500000346,0.0094023679626746969,41616,22176,88704,21360,86178
1,23,1,1,43.729455000000002,43.729455000000002,0.0089806963964436555,43488,23184,92736,19787,78593
1,24,1,0,120.02122300000001,120.02122300000001,0.011219486736512411,45360,24192,96768,20441,81133
1,25,1,1,2.5986753330016654,2.5986753330016654,0.0045001371703154271,47232,25200,100800,24059,97144
1,26,1,1,1.6811023339996609,1.6811023339996609,0.0093561989200034515,49104,26208,104832,25160,101554
1,27,1,1,2.7197288329989533,2.7197288329989533,0.0041672929547384979,50976,27216,108864,25954,104852
1,28,64,60,50.714242464187762,900.06595433300026,0.012438028701875544,51840,28224,112896,26704,107996
2,16,1,1,30.492581541000618,30.492581541000618,0.0064778252981761743,60768,32256,129024,29632,118119
2,17,1,1,2.0679655829990224,2.0679655829990224,0.0088941233102032887,64512,34272,137088,33526,134732
2,18,1,1,2.3090166250003676,2.3090166250003676,0.0088938955825479081,68256,36288,145152,35326,142028
2,19,1,1,2.667836749998969,2.667836749998969,0.0091740360699031111,72000,38304,153216,37110,149322
2,20,1,1,4.346329791998869,4.346329791998869,0.0053396090706831828,75744,40320,161280,38988,156918
2,21,1,1,4.4490090409999539,4.4490090409999539,0.0071694584514467898,79488,42336,169344,38666,156814
2,22,1,0,120.012171,120.012171,1e+20,83232,44352,177408,37897,150256
2,23,1,1,4.6875454159999208,4.6875454159999208,0.0081945012308421231,86976,46368,185472,41982,170466
2,24,1,1,4.6838927080007124,4.6838927080007124,0.006060160637426662,90720,48384,193536,46424,187000
2,25,1,1,5.3631452500012529,5.3631452500012529,0.005581032544845454,94464,50400,201600,48546,195486
2,26,1,1,5.3766561259999435,5.3766561259999435,0.0054452129960649463,98208,52416,209664,50160,202158
2,27,64,38,72.562799243468675,900.13146458399933,0.019934419647838677,100008,54432,217728,51686,208522
3,15,1,1,81.610949333000463,81.610949333000463,0.0051966715306229275,85536,45360,181440,42652,170225
3,16,1,1,3.2230265419984789,3.2230265419984789,0.0089210733227889551,91152,48384,193536,47380,190262
3,17,1,1,3.4882557089986221,3.4882557089986221,0.0092258916555139885,96768,51408,205632,50087,201238
3,18,1,1,3.8230841259992303,3.8230841259992303,0.009190359540421,102384,54432,217728,52804,212300
3,19,1,1,6.6621470009977202,6.6621470009977202,0.0058669056474891157,108000,57456,229824,53542,216410
3,20,1,1,6.6119189580003876,6.6119189580003876,0.0079356625458688566,113616,60480,241920,54048,219708
3,21,1,1,6.5003185000005033,6.5003185000005033,0.0081138066914242888,119232,63504,254016,56774,230776
3,22,1,1,6.8160010830015381,6.8160010830015381,0.0069377974162818969,124848,66528,266112,61620,249264
3,23,1,1,7.5089335419997951,7.5089335419997951,0.0057790612626198012,130464,69552,278208,66845,269044
3,24,1,1,7.7985267069998372,7.7985267069998372,0.0057766419007076212,136080,72576,290304,69964,281522
3,25,1,1,7.3098932920001971,7.3098932920001971,0.0056358393079851974,141696,75600,302400,72350,291400
3,26,64,36,58.518723641953294,120.11752,0.018829198409881582,144504,78624,314496,73364,296476
